node,parent,time
1,-1,0.000000
2,1,20.000000
3,1,24.083189
4,1,32.984845
5,1,32.984845
6,1,42.755117
7,1,55.713553
8,1,63.245553
9,1,61.188234
10,1,70.880181
11,1,78.587531
12,1,86.348133
13,1,94.148818
14,1,101.980390
15,1,92.779308
16,1,100.079968
17,1,116.068945
18,1,124.064499
19,1,132.060592
20,1,140.057131
21,1,148.054044
22,1,141.421356
23,1,125.602548
24,1,117.711512
25,1,133.506554
26,1,149.345238
27,1,157.276826
28,1,165.215011
29,1,172.418096
30,1,184.043473
31,1,184.390889
32,1,185.083765
33,1,198.645413
34,1,208.153789
35,1,224.142812
36,1,224.570702
37,1,232.860473
38,1,232.310138
39,1,232.034480
40,1,232.034480
41,1,232.310138
42,1,232.860473
43,1,233.683547
44,1,249.575640
45,1,248.805145
46,1,248.290153
47,1,248.032256
48,1,248.032256
49,1,248.290153
50,1,248.805145
51,1,256.780062
52,1,256.281096
53,1,256.031248
54,1,256.031248
55,1,256.281096
56,1,256.780062
57,1,257.526698
58,1,258.518858
59,1,250.599282
60,1,234.776489
61,1,236.135554
62,1,245.153013
63,1,252.990118
64,1,261.227870
65,1,262.937255
66,1,270.732340
67,1,276.925983
68,1,274.925444
69,1,282.842712
70,1,284.787640
71,1,286.356421
72,1,288.138855
73,1,290.131005
74,1,292.328582
75,1,294.726992
76,1,287.137598
77,1,297.321375
78,1,300.106648
79,1,283.746366
80,1,277.848880
81,1,274.838134
82,1,272.029410
83,1,269.429026
84,1,267.043068
85,1,264.877330
86,1,256.632032
87,1,259.383885
88,1,262.488095
89,1,266.660833
90,1,266.030073
91,1,269.317656
92,1,272.800293
93,1,284.450347
94,1,291.671048
95,1,298.931430
96,1,302.337560
97,1,295.160973
98,1,288.027776
99,1,280.321244
100,1,270.968633
101,1,266.923210
102,1,263.058929
103,1,259.383885
104,1,255.906233
105,1,248.676497
106,1,241.495342
107,1,238.025209
108,1,252.634123
109,1,259.237343
110,1,249.575640
111,1,246.738728
112,1,254.943131
113,1,251.745904
114,1,244.131112
115,1,241.760212
116,1,248.909622
117,1,239.633053
118,1,237.756178
119,1,191.206694
120,1,189.187737
121,1,187.488666
122,1,186.118242
123,1,185.083765
124,1,184.390889
125,1,184.043473
126,1,172.046505
127,1,164.048773
128,1,156.051274
129,1,156.460858
130,1,148.485690
131,1,140.513345
132,1,132.544332
133,1,124.579292
134,1,118.456743
135,1,120.332872
136,1,122.702893
137,1,125.538839
138,1,128.809938
139,1,132.483961
140,1,125.538839
141,1,129.799846
142,1,134.402381
143,1,139.312598
144,1,144.499135
145,1,150.572242
146,1,145.602198
147,1,140.911320
148,1,136.528385
149,1,141.421356
150,1,153.935051
151,1,176.045449
152,1,173.297432
153,1,168.807583
154,1,165.746795
155,1,167.092789
156,1,170.880075
157,1,193.535526
158,1,196.163197
159,1,199.077874
160,1,202.267150
161,1,209.418242
162,1,213.354166
163,1,217.513218
164,1,221.882852
165,1,226.450878
166,279,240.865107
167,1,250.726943
168,1,257.402409
169,1,257.992248
170,1,249.062241
171,1,242.156974
172,1,242.156974
173,1,234.367233
174,1,223.606798
175,1,205.718254
176,1,182.471916
177,1,179.108905
178,1,170.176379
179,1,170.176379
180,1,179.108905
181,1,186.118242
182,1,190.031576
183,1,194.195778
184,1,198.595065
185,1,203.214173
186,1,201.791972
187,1,208.038458
188,1,218.686991
189,1,212.602916
190,1,206.649462
191,1,197.989899
192,1,188.350737
193,1,181.107703
194,1,172.742583
195,1,167.475371
196,1,161.443489
197,1,166.901168
198,1,161.245155
199,1,155.794737
200,1,149.933319
201,1,155.589203
202,1,147.186956
203,1,135.882302
204,1,124.579292
205,1,113.278418
206,1,101.980390
207,1,100.000000
208,1,93.722996
209,1,88.814413
210,1,95.414884
211,1,102.215459
212,1,106.508216
213,1,113.207774
214,1,109.178753
215,1,116.275535
216,1,120.066648
217,1,127.059041
218,1,123.482792
219,1,130.782262
220,1,134.164079
221,1,141.364776
222,1,138.159328
223,1,132.966161
224,1,123.223374
225,1,115.446958
226,1,107.703296
227,1,100.000000
228,1,92.347171
229,1,84.758480
230,1,77.252832
231,1,72.993150
232,1,80.894994
233,1,88.814413
234,1,96.747093
235,1,96.083297
236,1,88.090862
237,1,80.099938
238,1,72.111026
239,1,64.124878
240,1,56.142675
241,1,48.166378
242,1,40.000000
243,1,40.792156
244,1,49.477268
245,1,57.271284
246,1,65.115282
247,1,55.713553
248,1,48.826222
249,1,60.000000
250,1,62.609903
251,1,69.856997
252,1,82.462113
253,1,87.726849
254,1,82.073138
255,1,76.419893
256,1,70.767224
257,1,76.837491
258,1,72.111026
259,1,68.000000
260,1,64.621978
261,1,72.111026
262,1,82.462113
263,1,93.037627
264,1,103.768974
265,1,114.612390
266,1,121.655251
267,1,118.186294
268,1,115.169440
269,1,112.641023
270,1,110.634533
271,1,92.086915
272,1,84.095184
273,1,76.105190
274,1,68.117545
275,1,60.133186
276,1,52.153619
277,1,42.755117
278,1,43.266615
279,1,34.409301
280,1,17.888544
