node,parent,time
1,-1,0.000000
2,1,666.108099
3,1,281.113856
4,1,395.600809
5,1,291.204396
6,1,326.266762
7,1,640.800281
8,1,426.878203
9,1,600.187471
10,1,561.471282
11,1,1040.973102
12,1,655.019084
13,1,975.000000
14,1,1120.769825
15,1,299.040131
16,1,260.048072
17,1,429.534632
18,1,161.554944
19,1,305.000000
20,1,210.059515
21,1,286.923335
22,1,46.097722
23,1,181.176709
24,1,274.590604
25,1,410.030487
26,1,728.971879
27,1,798.514245
28,1,707.000707
29,1,406.263461
30,1,360.069438
31,1,146.372812
32,1,90.553851
33,1,827.314934
34,1,135.092561
35,1,121.655251
36,1,125.000000
37,1,207.966343
38,1,240.416306
39,1,166.207701
40,1,208.925824
41,1,395.379564
42,1,565.795900
43,1,463.815696
44,1,154.434452
45,1,240.208243
46,1,279.866039
47,1,791.280608
48,1,267.301328
49,1,64.031242
50,1,217.082933
51,1,789.382670
52,1,1220.460978
