node,parent,time
1,-1,0.000000
2,1,656.195093
3,1,1556.303312
4,1,1352.780840
5,1,1660.867243
6,1,991.104434
7,1,418.243948
8,1,1874.037353
9,1,1396.824971
10,1,1233.096914
11,1,1276.000000
12,1,1044.000000
13,1,844.492747
14,1,883.429680
15,1,836.487896
16,1,259.383885
17,1,1476.438959
18,1,2132.634052
19,1,1611.523503
20,1,1148.341413
21,1,1560.620389
22,1,1415.960451
23,1,1401.633333
24,1,1249.358235
25,1,3321.734487
26,1,2284.935010
27,1,1774.458791
28,1,3764.195532
29,1,3792.685592
30,1,1453.475834
31,1,1628.137586
32,1,4114.322301
33,1,3528.002268
34,1,1888.343189
35,1,1165.785572
36,1,1037.535542
37,1,883.429680
38,1,2320.000000
39,1,2132.634052
40,1,1724.463975
41,1,1069.467157
42,1,2320.000000
43,1,1648.669767
44,1,2167.058836
45,1,2498.716471
46,1,4153.383199
47,1,3268.648650
48,1,3535.622152
49,1,3603.476100
50,1,1050.424676
51,1,1069.467157
52,1,2091.219740
53,1,3411.662351
54,1,2065.321283
55,1,3266.589659
56,1,1982.208869
57,1,1640.487732
58,1,2624.780372
59,1,3235.547558
60,1,2678.067960
61,1,2698.091177
62,1,2864.988656
63,1,9304.617348
64,1,2708.047267
65,1,5833.543006
66,1,3395.849231
67,1,2678.067960
68,1,3603.476100
69,1,5020.267722
70,1,4537.364874
71,1,4158.240012
72,1,1870.443798
73,1,2805.665696
74,1,2737.698303
75,1,4547.732622
76,1,3506.962218
77,1,2391.401263
78,1,3381.952099
79,1,2311.283626
80,1,2479.796766
81,1,4915.991863
82,1,6808.518194
83,1,6827.267682
84,1,4697.641962
85,1,7345.649052
86,1,7488.965750
87,1,7446.621784
88,1,7631.354270
89,1,6089.723803
90,1,2348.820981
91,1,2705.561679
92,1,6406.309390
93,1,4778.580542
94,1,4518.047366
95,1,4277.868628
96,1,6704.960552
97,1,5926.226455
98,1,12003.618121
99,1,7540.000000
100,1,2138.934314
101,1,11020.610509
102,1,10722.943626
103,1,2645.206986
104,1,7007.206576
105,1,591.486264
106,1,883.429680
107,1,9752.972060
108,1,1094.341811
109,1,6433.557025
110,1,5851.967191
111,1,6564.001219
112,1,6149.094242
113,1,3899.394825
114,1,812.000000
115,1,1100.472626
116,1,2422.151110
117,1,4111.050474
118,1,3642.473885
119,1,8622.319873
120,1,820.243866
121,1,1556.303312
122,1,3640.626320
123,1,4721.926725
124,1,2345.954816
125,1,5096.084772
126,1,5911.449230
127,1,6612.000000
