node,parent,time
1,-1,0.000000
2,1,576.646386
3,1,188.061884
4,1,410.036551
5,1,139.097453
6,1,656.540352
7,1,76.226044
8,1,110.228444
9,1,630.847559
10,1,168.204066
11,1,752.142506
12,1,559.961963
13,1,543.337770
14,1,396.447661
15,1,329.859435
16,1,302.879715
17,1,777.318208
18,1,339.598100
19,1,595.985990
20,1,462.649158
21,1,329.602460
22,1,301.637208
23,1,475.071465
24,1,588.335763
25,1,444.439514
26,1,285.128596
27,1,589.289179
28,1,644.590061
29,1,533.891865
30,1,89.031929
31,1,571.133962
32,1,463.053794
33,1,270.257733
34,1,40.172831
35,1,172.429161
36,1,697.447990
37,1,606.123004
38,1,487.213253
39,1,635.595569
40,1,613.385091
41,1,603.117376
42,1,602.276371
43,1,489.475189
44,1,416.426200
45,1,434.575056
46,1,372.202125
47,1,539.486793
48,1,104.069612
49,1,488.103062
50,1,498.695507
51,1,465.037122
52,1,231.797919
53,1,583.921241
54,1,349.351255
55,1,452.007366
56,1,307.389403
57,1,637.026354
58,1,462.692958
59,1,295.374885
60,1,723.084810
61,1,703.283065
62,1,235.819625
63,1,104.104632
64,1,445.450695
65,1,404.556496
66,1,752.313292
67,1,475.363130
68,1,501.562760
69,1,669.970574
70,1,545.179782
71,1,435.715828
72,1,456.431853
73,1,86.922805
74,1,575.264134
75,1,310.419336
76,1,59.029462
77,1,386.026589
78,1,327.255273
79,1,274.710862
80,1,393.179166
81,1,494.688963
82,1,115.268051
83,1,358.692369
84,1,87.483172
85,1,391.679009
86,1,521.947418
87,1,21.039795
88,1,236.698811
89,1,118.110226
90,1,368.231212
91,1,524.012768
92,1,335.400478
93,1,194.213688
94,1,211.806755
95,1,110.339310
96,1,136.028192
97,1,182.993592
98,1,12.481373
99,1,619.485617
100,1,175.728639
101,1,575.846765
102,1,601.160046
103,1,24.628707
104,1,398.784666
105,1,295.719878
106,1,513.509290
107,1,113.870026
108,1,552.163974
109,1,461.309458
110,1,504.714163
111,1,289.781720
112,1,483.056889
113,1,165.235118
114,1,622.942521
115,1,388.461320
116,1,561.356515
117,1,664.121394
118,1,616.938549
119,1,517.878282
120,1,575.096685
121,1,238.589658
122,1,390.392755
123,1,584.406520
124,1,163.025262
125,1,298.721110
126,1,236.859736
127,1,653.891372
128,1,464.448338
129,1,554.941198
130,1,723.909082
131,1,434.207405
132,1,467.539540
133,1,341.327482
134,1,388.843691
135,1,522.974462
136,1,510.479341
137,1,541.027696
138,1,390.475624
139,1,579.112435
140,1,750.763234
141,1,424.106705
142,1,348.514079
143,1,202.302447
144,1,509.757062
145,1,504.893566
146,1,262.363817
147,1,489.365621
148,1,769.704255
149,1,270.450400
150,1,378.754116
