node,parent,time
1,-1,0.000000
2,1,14.560220
3,1,23.021729
4,1,26.419690
5,1,33.060551
6,1,16.278821
7,1,39.597980
8,1,40.224371
9,1,37.215588
10,1,47.539457
11,1,54.203321
12,1,31.780497
13,1,42.059482
14,1,53.150729
15,1,40.049969
16,1,14.035669
17,1,24.596748
18,1,36.400549
19,1,47.707442
20,1,44.721360
21,1,23.769729
22,1,9.848858
23,1,12.529964
24,1,25.806976
25,1,42.296572
26,1,30.610456
27,1,35.114100
28,1,14.317821
29,1,30.265492
30,1,21.377558
31,1,54.744863
32,1,31.000000
33,1,8.062258
34,1,33.286634
35,1,43.278170
36,1,34.176015
37,1,38.639358
38,1,50.606324
39,1,38.832976
40,1,29.120440
41,1,11.180340
42,1,10.630146
43,1,6.708204
44,1,26.019224
45,1,29.120440
46,1,35.227830
47,1,28.861739
48,1,26.019224
49,1,18.867962
50,1,34.713110
51,1,18.384776
52,1,35.777088
53,1,48.104054
54,1,48.846699
55,1,49.477268
56,1,16.278821
57,1,43.289722
58,1,42.047592
59,14,63.780875
60,1,45.694639
61,1,21.260292
62,1,8.246211
63,1,8.246211
64,1,18.384776
65,1,55.569776
66,1,61.032778
67,1,30.479501
68,1,19.416488
69,1,33.286634
70,1,46.173586
71,1,40.718546
72,1,40.162171
73,1,5.385165
74,1,18.110770
75,1,23.430749
76,1,25.455844
