node,parent,time
1,-1,0.000000
2,1,300.000000
3,1,199.002513
4,1,100.005000
5,1,500.001000
6,1,400.000000
7,1,823.502884
8,1,1119.679418
9,1,1219.623712
10,1,1319.576447
11,1,1419.535840
12,1,1544.492473
13,1,1744.056192
14,1,1724.371480
15,1,2119.046248
16,1,2120.744445
17,1,2219.292004
18,1,2344.276434
19,1,2296.683914
20,1,2396.571927
21,1,2405.138665
22,1,2620.411609
23,1,2555.071819
24,1,2705.012384
25,1,2854.959194
26,1,3004.911313
27,1,3154.867985
28,1,3304.828589
29,1,3454.792613
30,1,4219.485395
31,1,4369.468732
32,1,4519.453175
33,1,4519.818249
34,1,4369.846336
35,1,4719.433970
36,1,4919.416327
37,1,5104.401238
38,1,5103.388874
39,1,5470.690724
40,1,5254.389784
41,1,5404.378965
42,1,5253.377771
43,1,5404.367216
44,1,5669.114305
45,1,5554.368731
46,1,5555.368665
47,1,5719.358093
48,1,5819.351940
49,1,5919.345994
50,1,6019.340246
51,1,6119.334686
52,1,6219.329305
53,1,6319.324094
54,1,6669.014695
55,1,6670.263638
56,1,6671.593288
57,1,5572.105257
58,1,5579.126903
59,1,5329.601955
60,1,5476.473044
61,1,5436.511473
62,1,4930.462149
63,1,4677.751276
64,1,4639.531981
65,1,4838.683395
66,1,4528.041188
67,1,4057.934450
68,1,4291.206940
69,1,3858.656761
70,1,3893.489052
71,1,3523.912173
72,1,3124.541086
73,1,3274.287251
74,1,3374.130555
75,1,2875.022956
76,1,2845.304377
77,1,2932.977497
78,1,2951.382219
79,1,2629.611568
80,1,2783.730770
81,1,2538.125686
82,1,2640.465300
83,1,2305.923242
84,1,2404.388072
85,1,2042.812277
86,1,2011.437794
87,1,2158.490676
88,1,1738.701239
89,1,1773.430856
90,1,1849.772148
91,1,1870.523189
92,1,804.398533
93,1,923.299518
94,1,2082.662239
95,1,2228.381027
96,1,2198.535194
97,1,2227.275690
98,1,2325.829314
99,1,2423.485506
100,1,2513.271175
101,1,2538.450709
102,1,2663.711133
103,1,3095.958172
104,1,3375.223252
105,1,4656.023733
106,1,5158.357975
107,1,4948.116510
108,1,5313.469394
109,1,5419.211843
110,1,5345.938365
111,1,5663.804552
112,1,5694.282835
113,1,5763.027156
114,1,6694.696184
115,1,6610.102647
116,1,6570.736108
117,1,6715.158747
118,1,6470.029521
119,1,6628.480746
120,1,6539.990979
121,1,6292.811931
122,1,6391.657219
123,1,5878.746210
124,1,6129.770143
125,1,6144.614064
126,1,6041.941493
127,1,5901.945188
128,1,5684.624614
129,1,3283.406311
130,1,3411.074904
131,1,3453.075730
132,1,3186.213584
133,1,3132.611850
134,1,3191.810928
135,1,3065.396712
136,1,2954.954653
137,1,3050.320803
138,1,2909.683316
139,1,2166.600332
140,1,2246.899419
141,1,1946.042651
142,1,1766.205537
143,1,1422.772645
144,1,1099.616751
145,1,980.080099
146,1,1026.818874
147,1,893.955815
148,1,912.664780
149,1,886.203701
150,1,1147.027899
151,1,1150.764094
152,1,1163.625799
153,1,1183.360047
154,1,1212.490000
155,1,1250.171588
156,1,1498.384797
157,1,1719.500509
158,1,2012.928712
159,1,2172.436881
160,1,2393.774634
161,1,2292.543784
162,1,3058.325849
163,1,3132.260685
164,1,3262.216578
165,1,3501.004427
