node,parent,time
1,-1,0.000000
2,1,1134.346502
3,1,421.266541
4,1,359.286890
5,1,521.000255
6,1,626.739128
7,1,698.352238
8,1,55.359921
9,1,498.513986
10,1,547.181796
11,1,588.565973
12,1,324.644573
13,1,232.418327
14,1,278.489541
15,1,129.557498
16,1,758.896093
17,1,735.848264
18,1,87.729366
19,1,834.183051
20,1,516.249028
21,1,256.838928
22,1,551.191062
23,1,1050.076372
24,1,759.249816
25,1,824.882886
26,1,512.181423
27,1,655.663193
28,1,803.318785
29,1,913.744151
30,1,445.745158
31,1,878.277242
32,1,390.559974
33,1,519.918958
34,1,657.464195
35,1,957.109516
36,1,501.685788
37,1,817.369324
38,1,798.085739
39,1,846.637244
40,1,767.664492
41,1,600.976276
42,1,734.051242
43,1,791.171564
44,1,866.366654
45,1,786.770716
46,1,752.711971
47,1,546.322840
48,1,377.327786
49,1,259.852450
50,1,748.863386
51,1,240.930328
52,1,694.225337
53,1,591.021016
54,1,824.768663
55,1,866.097192
56,1,746.293685
57,1,573.784647
58,1,969.546193
59,1,814.263481
60,1,21.660013
61,1,565.796890
62,1,93.699457
63,1,159.074904
64,1,370.174657
65,1,315.242282
66,1,837.975524
67,1,182.557334
68,1,213.772948
69,1,102.919035
70,1,840.563501
71,1,130.722401
72,1,784.225426
73,1,756.084155
74,1,525.977056
75,1,281.367887
76,1,874.390778
77,1,821.209471
78,1,478.166228
79,1,585.755102
80,1,374.688450
81,1,402.810694
82,1,287.710271
83,1,244.289978
84,1,929.584575
85,1,294.621403
86,1,172.541643
87,1,172.499795
88,1,925.202217
89,1,1149.578839
90,1,219.388142
91,1,311.409184
92,1,668.949182
93,1,864.601128
94,1,693.867844
95,1,795.052622
96,1,886.385709
97,1,166.294521
98,1,766.443896
99,1,543.595880
100,1,820.047152
