node,parent,time
1,-1,0.000000
2,1,59.203040
3,1,73.171033
4,1,54.589376
5,1,33.120990
6,1,53.338541
7,1,64.288413
8,1,80.411442
9,1,80.529498
10,1,36.400549
11,1,60.406953
12,1,57.008771
13,1,14.560220
14,1,88.000000
15,1,49.819675
16,1,8.602325
17,1,65.551506
18,1,56.142675
19,1,68.029405
20,1,95.021050
21,1,64.070274
22,1,25.942244
23,1,8.544004
24,1,51.039201
25,1,105.394497
26,1,81.320354
27,1,93.407708
28,1,84.011904
29,1,14.142136
30,1,93.434469
31,1,19.697716
32,1,68.593003
33,1,60.141500
34,1,64.637450
35,1,32.572995
36,1,4.242641
37,1,20.615528
38,1,18.601075
39,1,95.210294
40,1,89.554453
41,1,58.855756
42,1,60.008333
43,1,66.098411
44,1,78.917679
45,1,97.943861
46,1,99.005050
47,1,12.529964
48,1,65.741920
49,1,90.801982
50,1,30.479501
51,1,43.829214
52,1,41.868843
53,1,33.955854
54,1,67.801180
55,1,95.273291
56,1,52.801515
57,1,43.829214
58,1,21.260292
59,1,26.248809
60,1,50.209561
61,1,87.664132
62,1,77.987178
63,1,30.016662
64,1,55.145263
65,1,49.040799
66,1,30.675723
67,1,60.827625
68,1,78.644771
69,1,21.470911
70,1,20.099751
