node,parent,time
1,-1,0.000000
2,1,500.000000
3,1,1000.000000
4,1,1500.000000
5,1,2000.000000
6,1,2500.000000
7,1,3000.000000
8,1,3500.000000
9,1,4000.000000
10,1,4500.000000
11,1,5000.000000
12,1,5500.000000
13,1,6000.000000
14,1,6500.000000
15,1,7000.000000
16,1,7500.000000
17,1,8000.000000
18,1,8500.000000
19,1,9000.000000
20,1,9500.000000
21,1,10000.000000
22,1,10500.000000
23,1,11000.000000
24,1,11500.000000
25,1,12000.000000
26,1,3000.000000
27,1,3041.381265
28,1,3162.277660
29,1,3354.101966
30,1,3605.551275
31,1,3905.124838
32,1,4242.640687
33,1,4609.772229
34,1,5000.000000
35,1,5408.326913
36,1,5830.951895
37,1,6264.982043
38,1,6708.203932
39,1,7158.910532
40,1,7615.773106
41,1,8077.747211
42,1,8544.003745
43,1,9013.878189
44,1,9486.832981
45,1,9962.429423
46,1,10440.306509
47,1,10920.164834
48,1,11401.754251
49,1,11884.864324
50,1,12369.316877
51,1,6000.000000
52,1,6020.797289
53,1,6082.762530
54,1,6184.658438
55,1,6324.555320
56,1,6500.000000
57,1,6708.203932
58,1,6946.221995
59,1,7211.102551
60,1,7500.000000
61,1,7810.249676
62,1,8139.410298
63,1,8485.281374
64,1,8845.903006
65,1,9219.544457
66,1,9604.686356
67,1,10000.000000
68,1,10404.326023
69,1,10816.653826
70,1,11236.102527
71,1,11661.903790
72,1,12093.386622
73,1,12529.964086
74,1,12971.121771
75,1,13416.407865
76,1,9000.000000
77,1,9013.878189
78,1,9055.385138
79,1,9124.143795
80,1,9219.544457
81,1,9340.770846
82,1,9486.832981
83,1,9656.603958
84,1,9848.857802
85,1,10062.305899
86,1,10295.630141
87,1,10547.511555
88,1,10816.653826
89,1,11101.801656
90,1,11401.754251
91,31,11715.374514
92,1,12041.594579
93,1,12379.418403
94,1,12727.922061
95,1,13086.252328
96,1,13453.624047
97,1,13829.316686
98,1,14212.670404
99,1,14603.081867
100,1,15000.000000
101,1,12000.000000
102,1,12010.412149
103,1,12041.594579
104,1,12093.386622
105,1,12165.525061
106,1,12257.650672
107,1,12369.316877
108,1,12500.000000
109,1,12649.110641
110,1,12816.005618
111,1,13000.000000
112,1,13200.378782
113,1,13416.407865
114,1,13647.344064
115,1,13892.443989
116,1,14150.971698
117,1,14422.205102
118,1,14705.441170
119,1,15000.000000
120,1,15305.227865
121,1,15620.499352
122,1,15945.218719
123,1,16278.820596
124,1,16620.770139
125,1,16970.562748
126,1,500.000000
127,1,1000.000000
128,1,1500.000000
129,1,2000.000000
130,1,2500.000000
131,1,3041.381265
132,1,3162.277660
133,1,3354.101966
134,1,3605.551275
135,1,3905.124838
136,1,6020.797289
137,1,6082.762530
138,1,6184.658438
139,1,6324.555320
140,1,6500.000000
141,1,9013.878189
142,1,9055.385138
143,1,9124.143795
144,1,9219.544457
145,1,9340.770846
146,1,12010.412149
147,1,12041.594579
148,1,12093.386622
149,1,12165.525061
150,1,12257.650672
151,1,3500.000000
152,1,4000.000000
153,1,4500.000000
154,1,5000.000000
155,1,5500.000000
156,1,4609.772229
157,1,5000.000000
158,1,5408.326913
159,1,5830.951895
160,1,6264.982043
161,1,6946.221995
162,1,7211.102551
163,1,7500.000000
164,1,7810.249676
165,1,8139.410298
166,1,9656.603958
167,1,9848.857802
168,1,10062.305899
169,1,10295.630141
170,1,10547.511555
171,1,12500.000000
172,1,12649.110641
173,1,12816.005618
174,1,13000.000000
175,1,13200.378782
176,1,6500.000000
177,1,7000.000000
178,1,7500.000000
179,1,8000.000000
180,1,8500.000000
181,1,7158.910532
182,1,7615.773106
183,1,8077.747211
184,1,8544.003745
185,1,9013.878189
186,1,8845.903006
187,1,9219.544457
188,1,9604.686356
189,1,10000.000000
190,1,10404.326023
191,1,11101.801656
192,1,11401.754251
193,135,11715.374514
194,1,12041.594579
195,1,12379.418403
196,1,13647.344064
197,1,13892.443989
198,1,14150.971698
199,1,14422.205102
200,1,14705.441170
201,1,9500.000000
202,1,10000.000000
203,1,10500.000000
204,1,11000.000000
205,1,11500.000000
206,1,9962.429423
207,1,10440.306509
208,1,10920.164834
209,1,11401.754251
210,1,11884.864324
211,1,11236.102527
212,1,11661.903790
213,1,12093.386622
214,1,12529.964086
215,1,12971.121771
216,1,13086.252328
217,1,13453.624047
218,1,13829.316686
219,1,14212.670404
220,1,14603.081867
221,1,15305.227865
222,1,15620.499352
223,1,15945.218719
224,1,16278.820596
225,1,16620.770139
