node,parent,time
1,-1,0.000000
2,1,728.010989
3,1,700.000000
4,1,921.954446
5,1,1118.033989
6,1,1300.000000
7,1,1513.274595
8,1,1711.724277
9,1,1811.077028
10,1,1910.497317
11,1,2109.502311
12,1,2100.000000
13,1,2308.679276
14,1,2507.987241
15,1,2607.680962
16,1,2700.000000
17,1,2807.133770
18,1,3337.663854
19,1,3551.056181
20,1,3634.556369
21,1,3622.154055
22,1,3405.877273
23,1,3505.709629
24,1,3700.000000
25,1,3905.124838
26,1,4300.000000
27,1,4204.759208
28,1,4428.317965
29,1,4464.302857
30,1,4143.669871
31,1,3640.054945
32,1,3417.601498
33,1,3584.689666
34,1,3328.663395
35,1,3275.667871
36,1,3080.584360
37,1,3023.243292
38,1,2983.286778
39,1,3111.269837
40,1,3182.766093
41,1,2906.888371
42,1,2941.088234
43,1,3220.248438
44,1,3275.667871
45,1,3551.056181
46,1,3721.558813
47,1,3894.868419
48,1,4070.626487
49,1,4356.604182
50,1,4614.108798
51,1,4716.990566
52,1,5021.951812
53,1,5500.000000
54,1,5700.877125
55,1,5656.854249
56,1,5872.818744
57,1,6081.118318
58,133,6222.539674
59,1,6511.528238
60,1,6621.933252
61,1,6440.496875
62,1,6268.173578
63,1,6021.627687
64,1,6053.924347
65,1,6003.332408
66,1,5953.990259
67,1,5905.929224
68,1,5859.180830
69,1,5813.776741
70,1,5769.748695
71,1,5727.128425
72,1,5685.947590
73,1,5456.189146
74,1,5100.000000
75,1,4875.448697
76,1,5147.815070
77,1,5126.402247
78,1,5571.355311
79,1,5536.244214
80,1,5502.726597
81,1,5470.831747
82,1,5440.588203
83,1,5412.023651
84,1,5385.164807
85,1,5360.037313
86,1,5336.665626
87,1,5000.999900
88,1,4805.205511
89,1,4657.252409
90,1,4464.302857
91,1,4272.001873
92,1,4079.215611
93,1,4044.749683
94,1,4512.205669
95,1,4751.841748
96,1,4866.210024
97,1,5277.309921
98,1,5261.178575
99,1,5246.903849
100,1,5234.500931
101,1,5223.983155
102,1,5215.361924
103,1,5208.646657
104,1,5203.844733
105,1,5200.961450
106,1,4901.020302
107,1,4501.110974
108,1,3600.000000
109,1,3401.470270
110,1,3201.562119
111,1,3001.666204
112,1,2801.785145
113,1,2601.922366
114,1,2692.582404
115,1,2886.173938
116,1,3080.584360
117,1,3275.667871
118,1,3471.310992
119,1,3640.054945
120,1,3453.983208
121,1,3269.556545
122,1,3087.069808
123,1,2906.888371
124,1,2088.061302
125,1,1403.566885
126,1,1077.032961
127,1,1565.247584
128,1,1923.538406
129,1,1931.320792
130,1,2193.171220
131,1,2080.865205
132,1,2420.743687
133,1,2404.163056
134,1,2475.883681
135,1,2690.724809
136,1,2624.880950
137,1,2607.680962
138,1,2865.309756
139,1,2416.609195
140,1,2600.000000
141,1,2340.939982
142,1,2473.863375
143,1,2236.067977
144,1,2137.755833
145,1,2158.703314
146,1,1941.648784
147,1,1843.908891
148,1,1746.424920
149,1,1868.154169
150,1,1708.800749
151,1,1552.417470
152,1,1414.213562
153,1,1315.294644
154,1,1360.147051
155,1,1392.838828
156,1,1077.032961
157,1,1118.033989
158,1,1000.000000
159,1,282.842712
