node,parent,time
1,-1,0.000000
2,1,1138.698555
3,1,1177.473448
4,1,1219.781095
5,1,1261.618326
6,1,1220.761484
7,1,1183.405797
8,1,1613.929974
9,1,1642.224357
10,1,1656.774505
11,1,1671.583979
12,1,1686.645950
13,1,1701.953713
14,1,1728.155606
15,1,1692.345367
16,1,1628.263431
17,1,1648.425673
18,1,1772.229195
19,1,1814.464637
20,1,1878.613244
21,1,1934.419489
22,1,1872.184008
23,1,1831.280252
24,1,1928.248791
25,1,1963.699621
26,1,1958.280235
27,1,1938.012611
28,1,1897.847897
29,1,1858.203885
30,1,1893.943906
31,1,1871.439029
32,1,1890.714426
33,1,1929.690649
34,1,1949.382969
35,1,2024.814787
36,1,1926.521093
37,1,1907.269305
38,1,1869.206388
39,1,2001.202858
40,1,1615.389798
41,1,1687.626037
42,1,1812.946552
43,1,1830.723977
44,1,1866.807810
45,1,1922.181178
46,1,1978.939726
47,1,2017.490689
48,1,2096.159584
49,1,2131.844507
50,1,2092.317270
51,1,2053.286001
52,1,2014.779521
53,1,1976.828500
54,1,1939.465545
55,1,1884.600096
56,1,1866.644530
57,1,1813.845793
58,1,1832.504570
59,1,1884.780688
60,1,1902.565100
61,1,1956.926938
62,1,1993.962728
63,1,2167.537229
64,1,2124.889352
65,1,2048.584809
66,1,1974.560660
67,1,1920.697977
68,1,1903.083025
69,1,1851.323786
70,1,1943.123079
71,1,1870.298596
72,1,1921.546794
73,1,1938.994018
74,1,1992.362136
75,1,2028.751143
76,1,2103.322058
77,1,2122.315387
78,1,2141.441533
79,1,2215.867523
80,1,2196.508293
81,1,2101.642805
82,1,2028.282840
83,1,2010.326909
84,1,1957.448646
85,1,1906.150309
86,1,1908.696403
87,1,1976.057418
88,1,2028.450640
89,1,2064.203556
90,1,2082.314568
91,1,2213.107860
92,1,2232.323140
93,1,2192.114276
94,1,2173.434094
95,1,2154.891375
96,1,2118.232745
97,1,2064.368436
98,1,2046.729108
99,1,1994.816022
100,1,1944.503731
101,1,2190.797599
102,1,2209.330976
103,1,2263.886366
104,1,2282.674239
105,1,2320.627725
106,1,2378.456954
107,1,2397.961551
108,1,2477.048905
109,1,2473.015746
110,1,2453.318936
111,1,2433.727807
112,1,2394.872957
113,1,2375.614590
114,1,2356.472618
115,1,2424.727284
116,1,2443.334582
117,1,2462.063297
118,1,2499.874045
119,1,2518.950774
120,1,2538.138310
121,1,2478.579888
122,1,2441.760697
123,1,2560.348236
124,1,2645.617130
125,1,2703.653831
126,1,2733.006749
127,1,2782.399547
128,1,2829.349970
129,1,2814.320643
130,1,2775.215026
131,1,2755.805291
132,1,2772.314015
133,1,2791.608970
134,1,2788.956350
135,1,2808.136955
136,1,2827.415626
137,1,2900.767061
138,1,2721.859344
139,1,2639.055016
140,1,2805.729916
141,1,2824.796630
142,1,2822.632374
143,1,2841.585677
144,1,2879.790166
145,1,2877.443066
146,1,2858.501817
147,1,2839.661423
148,1,2856.814800
149,1,2875.542808
150,1,2913.302023
151,1,2951.452558
152,1,2892.706442
153,1,2874.090277
154,1,2678.258135
155,1,2695.354975
156,1,2712.581899
157,1,2729.936446
158,1,2747.416197
159,1,2782.741857
160,1,2859.392845
161,1,2891.485667
162,1,2909.990550
163,1,3004.026964
164,1,3042.312186
165,1,3100.414327
166,1,3119.954833
167,1,2462.933860
168,1,2568.339892
169,1,2687.443544
170,1,2766.650683
171,1,2920.539272
172,1,2989.778910
173,1,3789.266486
174,1,3860.252139
175,1,3880.892003
176,1,3810.290889
177,1,3899.270173
178,1,3972.151457
179,1,4020.807342
180,1,3979.571761
181,1,3882.610756
182,1,3799.919936
183,1,3890.367695
184,1,3987.140068
185,1,4035.615244
186,1,4236.046149
187,1,4163.649901
188,1,3951.848552
189,1,3880.041301
190,1,3906.432728
191,1,3977.763585
192,1,4188.254608
193,1,4260.232757
194,1,4013.624023
195,1,4098.728664
196,1,4172.251567
197,1,4153.059954
198,1,4079.191158
