node,parent,time
1,-1,0.000000
2,1,32.557641
3,1,14.560220
4,1,32.202484
5,1,32.202484
6,1,24.839485
7,1,21.023796
8,1,31.575307
9,1,17.804494
10,1,15.556349
11,1,26.400758
12,1,16.643317
13,1,26.400758
14,1,46.872167
15,1,45.354162
16,1,42.449971
17,1,40.706265
18,1,22.847319
19,1,28.231188
20,1,16.492423
21,1,29.274562
22,1,39.204592
23,1,46.173586
24,1,27.784888
25,1,37.643060
26,1,19.416488
27,1,10.816654
28,1,12.000000
29,1,24.041631
30,1,11.045361
31,1,10.440307
32,1,20.880613
33,1,12.369317
34,1,24.738634
35,1,27.202941
36,1,40.521599
37,1,35.805028
38,1,56.850682
39,1,41.593269
40,1,24.020824
41,1,42.011903
42,1,40.718546
43,1,49.396356
44,1,46.097722
45,1,36.687873
46,1,39.012818
47,1,33.734256
48,1,28.160256
49,1,39.824616
50,1,6.324555
51,1,12.041595
52,1,15.231546
53,1,18.439089
54,1,25.612497
55,1,34.058773
56,1,38.897301
57,1,38.078866
58,1,23.537205
59,1,32.015621
60,1,28.301943
61,1,38.288379
62,1,19.235384
63,1,24.413111
64,1,38.209946
65,1,35.000000
66,1,25.298221
67,1,51.107729
68,1,18.027756
69,1,4.472136
70,1,8.062258
71,1,24.839485
72,1,33.541020
73,1,32.140317
74,1,36.345564
75,1,38.832976
76,1,10.630146
77,1,13.416408
78,1,20.223748
79,1,16.031220
80,1,19.209373
81,1,14.866069
82,1,26.076810
83,1,29.546573
84,1,34.985711
85,1,36.796739
86,1,48.270074
87,1,33.615473
88,1,15.297059
89,1,20.518285
90,1,20.591260
91,1,39.698866
92,1,33.015148
93,1,33.970576
94,1,26.627054
95,1,29.681644
96,1,29.068884
97,1,32.249031
98,1,35.608988
99,1,31.144823
100,1,38.600518
101,1,15.231546
