node,parent,time
1,-1,0.000000
2,1,136.098380
3,1,165.950767
4,1,142.380645
5,1,71.916338
6,1,78.876219
7,1,67.401033
8,1,18.679574
9,1,209.016524
10,1,34.448926
11,1,215.758879
12,1,146.246562
13,1,112.153346
14,1,245.890032
15,1,222.612181
16,1,58.491880
17,1,160.805416
18,1,52.829349
19,1,48.698732
20,1,113.688929
21,1,83.987043
22,1,67.359555
23,1,308.418630
24,1,65.228289
25,1,71.368185
26,1,74.702491
27,1,177.121928
28,1,117.293543
29,1,302.920648
30,1,280.389688
31,1,103.333056
32,1,95.216505
33,1,744.061562
34,1,361.765138
35,1,740.246182
36,1,370.069498
37,1,555.086047
38,1,555.078890
39,1,361.884778
40,1,705.138157
41,1,635.036442
42,1,540.014838
43,1,665.279365
44,1,549.201800
45,1,561.217141
46,1,618.115085
47,1,561.011130
48,1,707.774201
49,1,631.553913
50,1,710.118562
51,1,747.985756
52,1,808.300656
53,1,765.698148
54,1,844.858865
55,1,851.379751
56,1,791.853981
57,1,893.536224
58,1,989.069090
59,1,982.210781
60,1,1156.914501
61,1,1169.258847
62,1,1210.282576
63,1,1178.445397
64,1,1176.901997
65,1,1206.829528
66,1,1185.794126
67,1,1183.906877
68,1,1181.069148
69,1,1211.411472
70,1,1190.222242
71,1,1186.928714
72,1,1352.950065
73,1,1211.657450
74,1,1194.926630
75,1,1193.053431
76,1,1193.756171
77,1,1216.451855
78,1,1209.304665
79,1,1199.904385
80,1,1199.088413
81,1,1198.738569
82,1,1219.394321
83,1,1215.949677
84,1,1212.957629
85,1,1206.079853
86,1,1205.558264
87,1,1228.092371
88,1,1218.147293
89,1,1239.212101
90,1,1237.009080
91,1,1226.111987
92,1,1216.439000
93,1,1246.146144
94,1,1241.762653
95,1,1231.248204
96,1,1232.850823
97,1,1231.886898
98,1,1245.979016
99,1,1246.315529
100,1,1251.925895
101,1,1252.093375
102,1,1419.024124
103,1,1538.765779
104,1,1430.770418
105,1,1448.127320
106,1,607.875939
107,1,606.497784
108,1,596.152425
109,1,594.747105
110,1,584.422884
111,1,582.989290
112,1,572.707385
113,1,571.244391
114,1,560.986365
115,1,559.492723
116,1,549.279919
117,1,547.754356
118,1,537.578443
119,1,536.019577
120,1,525.872375
121,1,524.278705
122,1,514.181869
123,1,512.551850
124,1,502.497420
125,1,500.829375
126,1,490.809587
127,1,489.101682
128,1,479.138602
129,1,477.388945
130,1,601.289905
131,1,600.012760
132,1,589.543987
133,1,588.241341
134,1,577.811424
135,1,576.482268
136,1,566.082500
137,1,564.725738
138,1,554.347526
139,1,552.961972
140,1,542.626594
141,1,541.211034
142,1,530.900143
143,1,529.453232
144,1,519.188298
145,1,517.708655
146,1,507.481467
147,1,505.967590
148,1,495.770110
149,1,494.220361
150,1,484.074415
151,1,482.487100
152,1,472.384908
153,1,470.758180
154,1,386.061973
155,1,383.888332
156,1,397.656849
157,1,395.546930
158,1,409.263853
159,1,407.214079
160,1,420.883865
161,1,418.890956
162,1,432.514935
163,1,430.575863
164,1,444.155208
165,1,442.267174
166,1,455.805872
167,1,453.966296
168,1,467.464255
169,1,465.670736
170,1,479.131693
171,1,477.382010
172,1,490.806624
173,1,489.098709
174,1,502.488526
175,1,500.820451
176,1,514.175936
177,1,512.545898
178,1,390.744800
179,1,388.776621
180,1,402.377479
181,1,400.466476
182,1,414.021926
183,1,412.164916
184,1,425.676272
185,1,423.870324
186,1,437.338740
187,1,435.581148
188,1,449.010591
189,1,447.298864
190,1,460.690203
191,1,459.022032
192,1,472.376010
193,1,470.749251
194,1,484.069469
195,1,482.482138
196,1,495.768131
197,1,494.218375
198,1,507.473546
199,1,505.959645
200,1,519.184335
201,1,517.704681
202,1,1899.304856
203,1,1910.507506
204,1,1895.585264
205,1,1906.809767
206,1,1891.929144
207,1,1903.175210
208,1,1888.343064
209,1,1899.610361
210,1,1884.821339
211,1,1896.109563
212,1,1881.370301
213,1,1892.679107
214,1,1877.987317
215,1,1889.316373
216,1,1874.669980
217,1,1886.018963
218,1,1871.424263
219,1,1882.792811
220,1,1868.247692
221,1,1879.635452
222,1,1865.138019
223,1,1876.544650
224,1,1862.100851
225,1,1873.525974
226,1,1903.042673
227,1,1914.259879
228,1,1899.364098
229,1,1910.602902
230,1,1895.755234
231,1,1907.015306
232,1,1892.213324
233,1,1903.494348
234,1,1888.735833
235,1,1900.037504
236,1,1885.329013
237,1,1896.650984
238,1,1881.987467
239,1,1893.329421
240,1,1878.717210
241,1,1890.078788
242,1,1875.515744
243,1,1886.896599
244,1,1872.380802
245,1,1883.780597
246,1,1869.318032
247,1,1880.736392
248,1,1866.325097
249,1,1877.761656
250,1,1840.350409
251,1,1851.909723
252,1,1842.817611
253,1,1854.361546
254,1,1845.357061
255,1,1856.885208
256,1,1847.968887
257,1,1859.480842
258,1,1850.652574
259,1,1862.147938
260,1,1853.407572
261,1,1864.885954
262,1,1856.234030
263,1,1867.695041
264,1,1859.131144
265,1,1870.574405
266,1,1862.099073
267,1,1873.524207
268,1,1865.137239
269,1,1876.543875
270,1,1868.245299
271,1,1879.633074
272,1,1871.422633
273,1,1882.791190
274,1,1847.350363
275,1,1858.903664
276,1,1849.845805
277,1,1861.383617
278,1,1852.413566
279,1,1863.935485
280,1,1855.053141
281,1,1866.558765
282,1,1857.763989
283,1,1869.252928
284,1,1860.546258
285,1,1872.018121
286,1,1863.399401
287,1,1874.853807
288,1,1866.322845
289,1,1877.759417
290,1,1869.316751
291,1,1880.735119
292,1,1872.380278
293,1,1883.780076
294,1,1875.513600
295,1,1886.894468
296,1,1878.716115
297,1,1890.077699
298,1,866.536493
299,1,854.763601
300,1,831.211870
301,1,819.443106
302,1,807.665882
303,1,760.603219
304,1,725.323142
305,1,701.810414
306,1,690.052600
307,1,654.814621
308,1,631.343689
309,1,140.965869
310,1,151.020465
311,1,171.806962
312,1,182.460811
313,1,193.251609
314,1,237.399183
315,1,271.208392
316,1,293.964692
317,1,305.393115
318,1,339.842348
319,1,362.918535
320,1,848.354520
321,1,777.684989
322,1,754.146402
323,1,730.604411
324,1,153.326386
325,1,218.709203
326,1,241.202388
327,1,263.897385
328,1,853.784059
329,1,830.204540
330,1,818.421290
331,1,724.168534
332,1,700.617058
333,1,677.072452
334,1,145.373952
335,1,166.865326
336,1,177.815501
337,1,268.105197
338,1,291.104183
339,1,314.199387
340,1,871.043870
341,1,847.449795
342,1,835.658930
343,1,800.281521
344,1,788.494224
345,1,776.697950
346,1,753.128514
347,1,741.335513
348,1,729.553677
349,1,126.899010
350,1,148.238805
351,1,159.153916
352,1,192.543405
353,1,203.828924
354,1,215.173136
355,1,238.000746
356,1,249.472285
357,1,260.974315
358,1,1997.181733
359,1,1992.101954
360,1,1982.110631
361,1,1977.204184
362,1,1972.352291
363,1,1953.552313
364,1,1940.088411
365,1,1931.421041
366,1,1927.179798
367,1,1914.845051
368,1,1906.946312
369,1,1804.915721
370,1,1805.728818
371,1,1807.585963
372,1,1808.629683
373,1,1809.750139
374,1,1814.995249
375,1,1819.726181
376,1,1823.256598
377,1,1825.134060
378,1,1831.213314
379,1,1835.635924
380,1,1994.925376
381,1,1965.913479
382,1,1956.721406
383,1,1947.769152
384,1,1812.051557
385,1,1818.751105
386,1,1821.592835
387,1,1824.736610
388,1,2002.785613
389,1,1992.847855
390,1,1987.967908
391,1,1951.056908
392,1,1942.438482
393,1,1934.070862
394,1,1817.508344
395,1,1819.353465
396,1,1820.390438
397,1,1831.415679
398,1,1834.923606
399,1,1838.728977
400,1,2015.712438
401,1,2005.629668
402,1,2000.676150
403,1,1986.159541
404,1,1981.439464
405,1,1976.774877
406,1,1967.633545
407,1,1963.149906
408,1,1958.731165
409,1,1822.219133
410,1,1823.829475
411,1,1824.749073
412,1,1827.963942
413,1,1829.187098
414,1,1830.485916
415,1,1833.309457
416,1,1834.833952
417,1,1836.433174
