node,parent,time
1,-1,0.000000
2,1,1699.546410
3,1,1845.722894
4,1,942.327438
5,1,2709.406208
6,1,1440.001389
7,1,1315.028517
8,1,1751.112218
9,1,1226.928278
10,1,1379.023205
11,1,1953.647358
12,1,542.652743
13,1,744.452819
14,1,1288.504560
15,1,511.165335
16,1,1371.312510
17,1,1957.147158
18,1,876.812409
19,1,1267.465187
20,1,956.013075
21,1,2104.903086
22,1,1759.072767
23,1,2015.962549
24,1,658.599271
25,1,2052.035087
26,1,1051.492748
27,1,462.179619
28,1,2477.997780
29,1,844.618257
30,1,1615.004954
31,1,1136.866307
32,1,806.975216
33,1,1648.902665
34,1,2229.003589
35,1,1738.828629
36,1,1491.359447
37,1,1043.191737
38,1,2487.114392
39,1,2392.414053
40,1,379.032980
41,1,1641.038695
42,1,1195.006695
43,1,2875.230252
44,1,1519.570005
45,1,1646.797195
46,1,576.667148
47,1,1203.006650
48,1,1728.660175
49,1,861.975638
50,1,2216.636416
51,1,1523.496308
52,1,1977.131761
53,1,32.310989
54,1,1545.385712
55,1,1114.016607
56,1,2651.008865
57,1,1512.549173
58,1,2503.450619
59,1,1782.802569
60,1,1058.646778
61,1,948.052741
62,1,2002.191300
63,1,1472.761352
64,1,961.208094
65,1,1023.516487
66,1,1443.416087
67,1,1040.000000
68,1,1690.908927
69,1,1598.878670
70,1,2350.780721
71,1,2454.850301
72,1,2217.768698
73,1,1863.413266
74,1,1561.886680
75,1,1637.892548
76,1,2456.499135
77,1,1238.293180
78,1,1254.187386
79,1,740.762445
80,1,1224.054329
81,1,1723.772897
82,1,1365.711902
83,1,2029.072695
84,1,1859.226990
85,1,215.872648
86,1,2526.121533
87,1,2317.279655
88,1,2507.648500
89,1,1830.708060
90,1,2142.093369
91,1,2315.879531
92,1,1361.812028
93,1,924.876208
94,1,2431.335641
95,1,2400.624086
96,1,2036.654364
97,1,1832.882157
98,1,2406.534853
99,1,1271.769240
100,1,1650.458421
