node,parent,time
1,-1,0.000000
2,1,2793.172032
3,1,2096.962565
4,1,1655.275506
5,1,2250.918035
6,1,2118.340152
7,1,1514.527319
8,1,685.123347
9,1,2586.126254
10,1,2735.581291
11,1,589.896601
12,1,2971.077246
13,1,365.262919
14,1,2002.764340
15,1,1022.782479
16,1,1432.644059
17,1,635.649274
18,1,2103.715760
19,1,2630.069581
20,1,2439.551803
21,1,2938.500468
22,1,1326.701926
23,1,854.279814
24,1,406.975429
25,1,2415.122564
26,1,2869.240492
27,1,350.406906
28,1,3096.385150
29,1,1783.054963
30,1,2740.500867
31,1,1831.607491
32,1,560.508698
33,1,2057.087747
34,1,360.005556
35,1,2459.639201
36,1,1681.049672
37,1,2535.001775
38,1,521.070053
39,1,1182.688886
40,1,2093.771716
41,1,659.757531
42,1,1005.337754
43,1,1499.881662
44,1,1796.080455
45,1,2035.266076
46,1,874.982286
47,1,2858.447306
48,1,2949.661845
49,1,979.681581
50,1,93.348808
51,1,2608.809882
52,1,662.700536
53,1,2078.845834
54,1,1301.393484
55,1,2691.002044
56,1,3156.412679
57,1,1882.639105
58,1,1578.646572
59,1,1948.045431
60,1,1979.203122
61,1,1258.342163
62,1,2361.190590
63,1,1298.258834
64,1,1708.926271
65,1,1797.811169
66,1,607.645456
67,1,1661.376839
68,1,2010.535501
69,1,1059.745252
70,1,974.483453
71,1,1456.782757
72,1,1791.100500
73,1,1040.535439
74,1,1260.057142
75,1,1695.991156
76,1,1452.149097
77,1,1459.535885
78,1,1761.213502
79,1,438.001142
80,1,1525.015410
81,1,371.517160
82,1,2311.228678
83,1,2109.902367
84,1,709.930983
85,1,1917.977320
86,1,1655.450392
87,1,2872.216043
88,1,403.317493
89,1,779.637095
90,1,653.694118
91,1,1296.856584
92,1,2777.777889
93,1,1723.094019
94,1,509.345659
95,1,3179.242992
96,1,1638.841054
97,1,778.807422
98,1,970.786279
99,1,1877.164084
100,1,2718.803045
