node,parent,time
1,-1,0.000000
2,1,3475.353939
3,1,793.363095
4,1,3349.377554
5,1,1684.902668
6,1,2939.931462
7,1,146.731046
8,1,1303.905671
9,1,2084.011756
10,1,1489.227988
11,1,3496.432468
12,1,365.366939
13,1,2474.727056
14,1,869.508482
15,1,1050.453711
16,1,671.304700
17,1,854.419686
18,1,3242.253691
19,1,2851.404040
20,1,1064.592410
21,1,120.619236
22,1,2309.491935
23,1,909.620800
24,1,3384.896010
25,1,999.202182
26,1,909.375610
27,1,2882.437337
28,1,1052.397739
29,1,3519.952556
30,1,2059.439972
31,1,1808.872577
32,1,455.089002
33,1,1975.656094
34,1,3095.957687
35,1,535.306454
36,1,826.463550
37,1,3193.002349
38,1,1898.884146
39,1,2478.342995
40,1,681.622329
41,1,2706.149479
42,1,1752.103022
43,1,2701.229720
44,1,983.733704
45,1,931.124589
46,1,832.332265
47,1,447.182289
48,1,1766.586822
49,1,956.737163
50,1,1350.431413
51,1,379.747284
52,1,866.833317
53,1,3285.987218
54,1,1027.740240
55,1,2714.479692
56,1,949.873676
57,1,1604.680965
58,1,560.508698
59,1,711.512474
60,1,1606.111453
61,1,887.335337
62,1,748.108281
63,1,488.848647
64,1,753.299409
65,1,1397.376113
66,1,2084.476433
67,1,3030.164517
68,1,1830.000273
69,1,332.031625
70,1,3091.637754
71,1,911.357778
72,1,1263.104905
73,1,620.298315
74,1,74.027022
75,1,2620.153049
76,1,296.951174
77,1,3401.013084
78,1,3390.829545
79,1,872.213850
80,1,1513.248162
81,1,1040.550335
82,1,3004.243665
83,1,186.935818
84,1,828.065819
85,1,3341.344789
86,1,2688.902564
87,1,2699.712577
88,1,491.629942
89,1,1038.315944
90,1,1832.255986
91,1,2609.512790
92,1,2873.482382
93,1,2392.371627
94,1,2958.460748
95,1,727.771942
96,1,3385.965889
97,1,1292.070045
98,1,553.231416
99,1,912.796253
100,1,3496.164327
