node,parent,time
1,-1,0.000000
2,1,31.000000
3,1,309.260408
4,1,1210.010331
5,1,1150.794508
6,1,150.013333
7,1,181.011049
8,1,598.205650
9,1,696.649840
10,1,299.006689
11,1,331.006042
12,1,488.259152
13,1,1275.113328
14,1,1227.096166
15,1,472.885821
16,1,763.466437
17,1,845.993499
18,1,818.849192
19,1,715.017482
20,1,624.238736
21,1,579.366896
22,1,610.145065
23,1,660.705683
24,1,746.740249
25,1,846.690616
26,1,870.175270
27,1,773.266448
28,1,690.544713
29,1,641.938471
30,1,716.660310
31,1,757.250289
32,1,786.640960
33,1,849.368000
34,1,1461.490335
35,1,1428.400504
36,1,1084.214923
37,1,1146.686531
38,1,1654.684562
39,1,1631.376413
40,1,1220.379039
41,1,1356.531238
42,1,1408.707564
43,1,1423.829344
44,1,1366.757477
45,1,1317.498008
46,1,1481.530627
47,1,1426.768727
48,1,1379.653580
49,1,1357.836514
50,1,1441.882450
51,1,1487.027236
52,1,1539.647362
53,1,1598.134225
54,1,1547.504120
55,1,1504.175522
56,1,1566.525135
57,1,1608.174742
58,1,1656.952021
59,1,1673.166160
60,1,2123.094204
61,1,2114.843729
62,1,1932.609893
63,1,1972.076317
64,1,2045.966031
65,1,2382.236344
66,1,2379.019336
67,1,2130.218768
68,1,2160.225220
69,1,2228.257166
70,1,2263.657660
71,1,2182.155357
72,1,2226.410789
73,1,2253.440481
74,1,2288.505626
75,1,2326.240099
76,1,2291.752386
77,1,2265.179905
78,1,2269.111059
79,1,2296.001960
80,1,2322.221781
81,1,2356.263568
82,1,2300.096085
83,1,2340.580484
84,1,2343.741027
85,1,2418.042597
86,1,2451.303735
87,1,2743.765661
88,1,2744.846079
89,1,2627.160064
90,1,2658.485659
91,1,2693.000743
92,1,2724.000734
93,1,2756.265771
94,1,3022.583167
95,1,3026.709930
96,1,2843.000703
97,1,2874.000696
98,1,2927.858774
99,1,2956.830228
100,1,3189.393986
101,1,2992.000668
102,1,3024.000661
103,1,563.071931
104,1,1141.842809
105,1,1742.839637
