node,parent,time
1,-1,0.000000
2,1,312.000000
3,1,750.000000
4,1,1062.000000
5,1,2062.946679
6,1,1481.434778
7,1,1000.024500
8,1,252.634123
9,1,5440.583516
10,1,5736.213821
11,1,6328.708320
12,1,6625.462173
13,1,6922.495865
14,1,6464.452722
15,1,6563.042282
16,1,5497.740354
17,1,5613.334481
18,1,4456.043537
19,1,4278.261797
20,1,3929.112368
21,1,3758.340591
22,1,2562.996098
23,1,2728.360130
24,1,2329.280790
25,1,2133.201584
26,1,2317.466073
27,1,1300.018846
28,1,1600.015312
29,1,1900.012895
30,1,2191.950957
31,1,1937.691668
32,1,1698.425447
33,1,2728.488409
34,1,2456.552259
35,1,2200.011136
36,1,2400.010208
37,1,2747.826232
38,1,2534.866663
39,1,2905.847381
40,1,3093.371785
41,1,4163.706162
42,1,4281.185467
43,1,4440.872549
44,1,4603.710351
45,1,4769.376165
46,1,5890.666261
47,1,6164.750522
48,1,6441.145007
49,1,6719.564644
50,1,6999.767782
51,1,7281.548530
52,1,5892.813335
53,1,5996.872018
54,1,5085.395658
55,1,3481.773830
56,1,3821.508079
57,1,4194.967104
58,1,4048.116723
59,1,3146.593237
60,1,3892.434842
61,1,3524.872196
62,1,4033.057029
63,1,5532.144611
64,1,5670.781251
65,1,5255.275825
66,1,4998.044518
67,1,5963.507693
68,1,5810.298443
69,1,5950.634252
70,1,6091.732102
71,1,6233.540246
72,1,6376.011292
73,1,6519.101779
74,1,6662.771796
75,1,6806.984648
76,1,6951.706553
77,1,7096.906368
78,1,7242.555350
79,1,7388.626936
80,1,7535.096549
81,1,6796.796966
82,1,6849.023580
83,1,6219.539694
84,1,6819.701166
85,1,7426.893631
86,1,7626.739080
87,1,7683.415517
88,1,8255.233128
89,1,8924.397683
90,1,8200.409990
91,1,8469.266438
92,1,7681.941421
93,1,7829.140438
94,1,7976.673994
95,1,8124.523863
96,1,8272.673087
97,1,8421.105866
98,1,8569.807466
99,1,8718.764133
100,1,8867.963013
101,1,9211.989416
102,1,9520.905892
103,1,9659.862784
104,1,10439.274352
105,1,11297.841564
106,1,11206.282881
107,1,11116.159409
108,1,11027.506336
109,1,10940.359409
110,1,10854.754903
111,1,10770.729595
112,1,10688.320729
113,1,10607.565979
114,1,10528.503407
115,1,9160.232748
116,1,9177.859010
117,1,9198.097629
118,1,9220.931406
119,1,9246.341114
120,1,9274.305580
121,1,9304.801771
122,1,9337.804881
123,1,9373.288430
124,1,9411.224362
