node,parent,time
1,-1,0.000000
2,1,14.000000
3,1,20.223748
4,1,31.016125
5,1,44.011362
6,1,51.000000
7,1,63.126856
8,1,72.173402
9,1,83.216585
10,1,91.087870
11,1,104.043260
12,1,112.017856
13,1,120.037494
14,1,20.000000
15,1,23.323808
16,1,31.827661
17,1,37.202150
18,1,44.777226
19,1,51.662365
20,1,64.195015
21,1,73.763134
22,1,84.899941
23,1,93.380940
24,1,101.833197
25,1,111.628849
26,1,123.967738
27,1,36.000000
28,1,36.055513
29,1,44.418465
30,1,53.413481
31,1,58.898217
32,1,61.294372
33,1,74.060786
34,1,78.790862
35,1,92.703829
36,1,102.318131
37,1,108.461975
38,1,117.341382
39,1,129.402473
40,1,63.071388
41,1,64.132675
42,1,65.551506
43,1,69.354164
44,1,71.217975
45,1,78.746428
46,1,84.291162
47,1,89.810912
48,1,97.637083
49,1,110.113578
50,1,116.726175
51,1,125.717938
52,1,134.238594
53,1,72.062473
54,1,83.600239
55,1,84.899941
56,1,79.624117
57,1,86.954011
58,1,96.896852
59,1,95.268043
60,1,109.713263
61,1,111.036030
62,1,123.166554
63,1,128.062485
64,1,139.402296
65,1,144.779142
66,1,102.078401
67,1,99.724621
68,1,102.181212
69,1,101.513546
70,1,107.703296
71,1,107.042048
72,1,117.136672
73,1,122.065556
74,1,126.150704
75,1,135.059246
76,1,142.835570
77,1,153.639188
78,1,156.646098
79,1,115.039124
80,1,113.863954
81,1,124.338248
82,1,118.406081
83,1,125.865007
84,1,130.387883
85,1,127.059041
86,1,136.751600
87,1,145.344419
88,1,148.677503
89,1,151.644321
90,1,163.379925
91,1,173.242604
92,1,140.057131
93,1,135.624482
94,1,142.555252
95,1,142.635900
96,1,148.081059
97,1,143.735869
98,1,155.077400
99,1,156.540730
100,1,164.984848
101,1,169.811660
102,1,171.819673
103,1,181.320159
104,1,184.043473
105,1,152.000000
106,1,160.527256
107,1,154.573607
108,1,166.111408
109,1,162.265215
110,1,169.540556
111,1,167.502239
112,1,174.957138
113,1,181.595705
114,1,186.300832
115,1,186.935818
116,1,192.275844
117,1,198.829072
118,1,178.000000
119,1,176.479461
120,1,184.317661
121,1,177.290722
122,1,181.686543
123,1,189.010582
124,1,190.706581
125,1,194.617574
126,1,194.164878
127,1,195.010256
128,1,207.386113
129,1,211.804155
130,1,219.938628
131,1,195.010256
132,1,201.357890
133,1,198.116128
134,1,204.215572
135,1,198.080792
136,1,205.185282
137,1,210.052374
138,1,212.228650
139,1,215.779981
140,1,217.002304
141,1,226.737734
142,1,224.008928
143,1,232.776717
144,1,217.020736
145,1,215.232433
146,1,224.182961
147,1,215.244048
148,1,218.689277
149,1,219.255559
150,1,226.241022
151,1,233.383804
152,1,233.623629
153,1,241.232253
154,1,238.872351
155,1,241.588493
156,1,250.798724
157,1,237.018987
158,1,234.307490
159,1,244.086050
160,1,235.915239
161,1,240.066657
162,1,246.221445
163,1,244.008197
164,1,245.203997
165,1,251.445819
166,1,250.139961
167,1,264.077640
168,1,258.565272
169,1,270.120344
170,1,254.007874
171,1,262.322321
172,1,255.863245
173,1,256.265487
174,1,258.435679
175,1,259.069489
176,1,262.908729
177,1,262.773667
178,1,265.631323
179,1,274.854507
180,1,272.237029
181,1,282.577423
182,1,288.958475
183,1,275.029089
184,1,282.347304
185,1,275.726314
186,1,273.649411
187,1,278.883488
188,1,287.383020
189,1,283.323137
190,1,282.800283
191,1,293.286549
192,1,286.818758
193,1,296.718722
194,1,303.059400
195,1,304.401051
