node,parent,time
1,-1,0.000000
2,1,220.943997
3,1,28.500000
4,1,50.000000
5,1,54.230987
6,1,74.040529
7,1,79.380413
8,1,90.737258
9,1,110.751975
10,1,133.877743
11,1,158.760826
12,1,178.250526
13,1,198.156504
14,1,191.637679
15,1,188.375290
16,1,181.015193
17,1,178.797371
18,1,150.543183
19,1,149.000000
20,1,177.500000
21,1,206.000000
22,1,207.962136
23,1,215.712772
24,1,223.038674
25,1,235.440014
26,1,246.294539
27,1,232.452683
28,1,262.998574
29,1,246.895221
30,1,241.326542
31,1,221.208612
32,1,206.172864
33,1,223.005045
34,1,229.019650
35,1,227.623593
36,1,210.060110
37,1,191.396186
38,1,173.390455
39,1,156.656471
40,1,135.854702
41,1,122.234406
42,1,108.196580
43,1,101.691937
44,1,122.808794
45,1,141.000000
46,1,121.000000
47,1,220.500000
48,1,153.500000
49,1,199.990625
50,1,184.567061
51,1,200.938423
52,1,189.576502
53,1,196.290601
54,1,211.757526
55,1,205.549264
56,1,212.349947
57,1,209.529234
58,1,230.747156
59,1,229.774346
60,1,250.625717
61,1,251.517892
62,1,265.880612
63,1,268.109120
64,1,281.880294
65,1,286.438911
66,1,272.897875
67,1,276.870457
68,1,256.493665
69,1,259.075761
70,1,239.116081
71,1,244.872416
72,1,238.588558
73,1,241.794334
74,1,223.038674
75,1,230.755282
76,1,221.686716
77,1,253.509862
78,1,261.477054
79,1,271.529004
80,1,287.134550
81,1,294.603547
82,1,332.627795
83,1,326.031057
84,1,337.446662
85,1,345.604181
86,1,357.351368
87,1,338.133480
88,1,324.696782
89,1,311.721430
90,1,322.084616
91,1,310.104015
92,1,313.851079
93,1,296.030826
94,1,303.402373
95,1,286.547117
96,1,278.730156
97,1,267.791897
98,1,254.643378
99,1,266.122622
100,1,258.544484
101,1,277.108282
102,1,270.564225
103,1,289.953876
104,1,286.905037
105,1,306.304587
106,1,301.397578
107,1,315.121009
108,1,312.981229
109,1,319.675226
110,1,312.621177
111,1,308.937291
112,1,295.076685
113,1,293.387542
114,1,285.923941
115,1,285.007456
116,1,265.045751
117,1,264.500000
118,1,284.500000
119,1,299.000000
120,1,320.500000
121,1,321.187251
122,1,342.145072
123,1,344.134421
124,1,347.445319
125,1,353.805738
126,1,362.302705
127,1,369.846252
128,1,379.926967
129,1,388.390589
130,1,365.308089
131,1,376.378799
132,1,398.821075
133,1,192.000000
134,1,436.206660
135,1,454.825516
136,1,480.408160
137,1,474.573493
138,1,487.869091
139,1,494.311895
140,1,491.635281
141,1,486.364575
142,1,499.500250
143,1,486.635644
144,1,473.142949
145,1,467.784673
146,1,446.876101
147,1,445.259756
148,1,431.625127
149,1,417.529041
150,1,400.070619
151,1,403.780262
152,1,421.084908
153,1,435.065800
154,1,437.082372
155,1,443.813024
156,1,447.832558
157,1,461.200607
158,1,445.707584
159,1,470.333127
160,1,457.232162
161,1,459.781742
162,1,453.288264
163,1,458.938994
164,1,413.672576
165,1,404.514833
166,1,398.874667
167,1,392.506051
168,1,379.086072
169,1,375.494341
170,1,372.432880
171,1,370.595467
172,1,392.062814
173,117,391.500000
174,117,413.000000
175,1,320.655968
176,117,448.500000
177,117,469.500000
178,1,469.723855
179,1,441.238314
180,1,420.250223
181,1,398.763714
182,1,377.278743
183,1,467.799102
184,1,334.814128
185,1,313.335683
186,1,292.359795
187,1,270.888353
188,1,249.421831
189,1,215.488399
190,1,206.500000
191,1,185.567373
192,1,171.613665
193,1,147.215828
194,1,121.865705
195,1,100.550982
196,1,161.153653
197,1,58.815389
198,1,38.347099
199,1,183.500000
200,1,14.500000
201,1,492.576136
202,1,236.586665
203,1,163.500000
204,1,258.704948
205,1,200.524936
206,1,231.223917
207,1,207.971753
208,1,228.771174
209,1,292.357658
210,1,345.671810
211,1,370.472671
212,1,383.145207
213,1,433.009526
214,1,386.147964
215,1,423.480814
216,1,233.805475
217,1,243.243191
218,1,138.759684
219,1,238.623658
220,1,293.347064
221,1,311.295679
222,1,376.139934
223,1,275.025908
224,1,175.500000
225,1,213.000000
