node,parent,time
1,-1,0.000000
2,280,179.293990
3,5,164.989742
4,1,32.984845
5,276,137.204854
6,4,51.852807
7,276,137.881046
8,4,72.582825
9,7,149.194755
10,7,153.881046
11,10,161.881046
12,272,166.916681
13,10,177.881046
14,12,182.916681
15,272,160.805225
16,15,178.693769
17,16,194.693769
18,269,161.276964
19,18,169.276964
20,134,214.058622
21,128,206.479216
22,25,201.276964
23,14,206.916681
24,12,198.916681
25,19,193.276964
26,25,209.276964
27,22,217.276964
28,22,225.276964
29,128,221.106633
30,125,234.479216
31,29,233.106633
32,26,245.276964
33,31,247.666853
34,31,257.437683
35,34,273.437683
36,29,273.260252
37,33,281.901338
38,33,281.901338
39,35,282.381955
40,30,283.141316
41,34,288.678682
42,30,288.144848
43,122,289.312032
44,43,305.312032
45,42,304.144848
46,40,301.029860
47,40,299.141316
48,35,297.768733
49,36,297.591302
50,36,297.591302
51,50,305.591302
52,49,305.591302
53,48,305.768733
54,47,307.141316
55,46,309.029860
56,42,312.144848
57,44,313.312032
58,59,315.200576
59,43,307.200576
60,123,293.075659
61,122,291.908474
62,61,301.908474
63,61,308.996482
64,63,317.242693
65,62,320.776437
66,63,327.864444
67,64,333.242693
68,59,331.531626
69,44,339.488047
70,64,341.242693
71,66,343.864444
72,66,345.752988
73,65,349.620847
74,114,352.359874
75,88,353.222349
76,88,345.403341
77,82,355.050936
78,81,356.985279
79,89,340.528853
80,90,334.382334
81,89,331.687057
82,112,329.752715
83,111,328.418496
84,87,327.697774
85,62,325.991664
86,120,318.032999
87,113,319.697774
88,112,320.664707
89,110,323.440846
90,107,322.216809
91,106,323.284131
92,103,325.363118
93,103,337.244932
94,93,345.244932
95,91,353.016269
96,93,355.133475
97,92,347.723798
98,92,340.983618
99,101,331.346576
100,163,322.413632
101,172,317.930168
102,171,316.631947
103,173,311.946710
104,105,310.648489
105,106,302.648489
106,173,294.648489
107,160,293.581166
108,107,309.581166
109,110,316.352838
110,159,306.352838
111,159,304.418496
112,111,312.664707
113,114,311.697774
114,177,303.697774
115,158,303.976306
116,117,310.953745
117,120,300.953745
118,154,298.129778
119,152,255.837833
120,153,250.357302
121,130,247.857288
122,126,241.312032
123,125,242.479216
124,21,243.357394
125,126,226.479216
126,129,214.479216
127,21,222.479216
128,131,198.479216
129,131,196.590672
130,129,204.590672
131,19,180.590672
132,133,205.239828
133,134,197.239828
134,18,182.817623
135,136,181.299124
136,264,173.299124
137,136,181.299124
138,149,217.059108
139,265,172.214698
140,265,165.639863
141,140,173.639863
142,267,196.000902
143,141,189.639863
144,141,197.639863
145,140,198.624708
146,139,196.214698
147,139,188.214698
148,137,205.299124
149,147,202.636903
150,137,210.143534
151,149,242.836405
152,150,235.441755
153,135,229.961224
154,130,224.590672
155,135,229.299124
156,153,237.961224
157,152,255.837833
158,177,255.976306
159,178,255.756396
160,181,257.804079
161,175,265.804079
162,182,263.787536
163,182,268.748000
164,185,274.299596
165,187,282.299596
166,164,294.299596
167,163,302.689126
168,164,310.076684
169,171,309.124369
170,172,300.631947
171,162,292.631947
172,162,292.631947
173,175,286.648489
174,160,280.431496
175,181,257.804079
176,180,240.721709
177,178,235.580228
178,150,226.635956
179,147,220.463729
180,179,229.408001
181,180,237.408001
182,179,240.463729
183,142,256.927087
184,142,260.498964
185,146,253.903518
186,199,258.862313
187,185,261.903518
188,198,273.684000
189,198,266.778327
190,193,263.439692
191,197,253.865706
192,145,243.746764
193,199,237.827195
194,197,230.624708
195,144,229.639863
196,143,221.639863
197,143,222.624708
198,145,214.624708
199,146,212.214698
200,204,219.449385
201,144,213.639863
202,203,215.243987
203,204,203.930278
204,208,192.616570
205,253,194.988068
206,256,183.736058
207,253,185.375571
208,255,161.375571
209,252,159.487027
210,252,167.487027
211,209,175.487027
212,210,178.800736
213,209,184.785248
214,212,190.114444
215,210,191.487027
216,213,192.785248
217,213,200.785248
218,211,199.487027
219,211,207.487027
220,216,208.785248
221,216,216.785248
222,215,215.487027
223,215,220.331437
224,226,217.428153
225,226,209.428153
226,227,201.428153
227,228,193.428153
228,229,185.428153
229,255,177.428153
230,231,195.884312
231,246,179.884312
232,231,187.884312
233,229,195.316696
234,228,203.316696
235,236,201.995768
236,237,193.995768
237,239,185.995768
238,246,183.198021
239,241,169.995768
240,239,177.995768
241,242,153.995768
242,249,145.051496
243,248,181.602738
244,248,179.491282
245,240,185.995768
246,241,171.884312
247,244,188.435554
248,259,161.602738
249,6,108.173319
250,244,197.379825
251,247,202.857759
252,254,151.487027
253,208,169.375571
254,257,140.173319
255,257,143.487027
256,254,151.487027
257,249,132.173319
258,260,192.617893
259,261,128.617893
260,275,176.617893
261,8,117.304184
262,275,188.866924
263,256,184.471872
264,274,148.000902
265,269,154.326154
266,263,213.316282
267,264,164.000902
268,270,204.000902
269,6,129.027933
270,267,188.000902
271,15,176.805225
272,261,142.916681
273,9,171.822172
274,8,97.881046
275,259,156.617893
276,274,113.881046
277,5,156.072816
278,277,173.160823
279,277,174.511905
280,242,170.349718
