node,parent,time
1,276,177.474129
2,248,171.265054
3,279,154.453002
4,277,145.554995
5,4,161.554995
6,277,151.554995
7,9,169.047639
8,9,165.733931
9,275,157.733931
10,273,126.618731
11,273,125.320510
12,271,138.403005
13,15,113.657539
14,16,111.768995
15,16,105.657539
16,270,87.768995
17,270,87.768995
18,133,90.477367
19,133,93.791076
20,132,100.855753
21,132,107.430588
22,19,119.089297
23,17,113.067217
24,17,111.768995
25,18,115.775588
26,19,122.635486
27,20,129.700163
28,20,134.796879
29,21,136.274999
30,127,143.804063
31,128,147.679619
32,29,150.697204
33,127,161.709570
34,124,144.105529
35,123,156.730289
36,124,161.690753
37,36,170.635025
38,123,165.592887
39,122,127.409786
40,122,123.386597
41,121,118.426133
42,121,115.356945
43,120,112.429215
44,60,128.383417
45,43,130.317759
46,42,133.245488
47,41,136.314677
48,41,141.053550
49,39,145.298330
50,38,183.481431
51,39,156.254196
52,40,152.231007
53,47,147.628386
54,47,144.314677
55,42,140.655166
56,43,137.727436
57,60,135.793094
58,62,131.339275
59,61,128.314677
60,120,110.494873
61,158,110.426133
62,118,110.078984
63,118,117.957288
64,62,126.203499
65,116,142.654758
66,116,150.305384
67,65,160.543302
68,63,143.957288
69,63,151.483397
70,65,167.952979
71,85,165.372432
72,84,162.058723
73,84,160.760502
74,83,161.793329
75,76,162.285751
76,88,154.285751
77,82,164.055042
78,82,167.601231
79,109,139.470869
80,108,131.947267
81,112,142.929105
82,112,138.756821
83,88,137.793329
84,87,136.760502
85,87,140.074210
86,113,133.566750
87,113,128.760502
88,111,129.547118
89,110,114.510610
90,108,120.065454
91,105,121.418203
92,103,123.842541
93,103,135.724355
94,93,143.724355
95,91,151.150340
96,93,153.612899
97,92,146.203221
98,92,139.463041
99,102,132.888411
100,172,128.791677
101,173,119.546038
102,173,114.449322
103,106,110.426133
104,105,108.537590
105,106,100.537590
106,174,92.537590
107,174,90.649046
108,107,106.649046
109,107,114.732235
110,160,97.422602
111,159,113.422602
112,111,121.668813
113,114,120.760502
114,159,112.760502
115,160,99.356945
116,114,125.566750
117,158,105.422602
118,119,101.832772
119,157,53.832772
120,119,61.832772
121,156,64.760502
122,156,69.720966
123,155,107.904067
124,155,112.864530
125,129,141.495300
126,130,129.673082
127,130,122.263404
128,21,115.430588
129,131,112.374860
130,131,104.374860
131,134,96.374860
132,134,89.542045
133,268,82.477367
134,135,69.542045
135,268,61.542045
136,135,69.542045
137,138,38.914628
138,149,30.914628
139,138,38.914628
140,139,46.914628
141,146,55.921626
142,141,63.921626
143,147,83.235334
144,145,89.810169
145,142,81.810169
146,149,38.033082
147,142,71.921626
148,138,46.914628
149,150,16.492423
150,-1,0.000000
151,178,25.436694
152,151,33.436694
153,152,49.436694
154,137,92.580259
155,138,84.580259
156,152,41.436694
157,151,45.832772
158,176,56.760502
159,158,64.760502
160,177,48.760502
161,182,95.937692
162,181,95.825885
163,162,103.825885
164,184,109.205815
165,182,116.724134
166,164,129.205815
167,162,135.825885
168,171,117.835811
169,173,111.217409
170,173,103.493456
171,172,99.947267
172,174,99.947267
173,175,85.604912
174,175,74.649046
175,160,56.760502
176,177,33.436694
177,178,25.436694
178,150,16.492423
179,151,51.049191
180,179,59.993463
181,179,67.541614
182,181,75.541614
183,180,77.882007
184,183,85.882007
185,180,92.978308
186,183,103.180228
187,185,100.978308
188,185,113.374386
189,187,113.627419
190,186,115.829339
191,184,122.760185
192,191,136.760185
193,186,127.511278
194,193,144.003701
195,194,152.003701
196,201,71.331303
197,193,144.003701
198,145,97.810169
199,145,89.810169
200,144,97.810169
201,146,63.331303
202,144,104.232374
203,142,89.534123
204,142,90.754441
205,204,102.068150
206,205,113.381858
207,143,131.897434
208,206,122.326130
209,206,129.874281
210,143,139.803877
211,213,126.399200
212,205,118.560572
213,204,115.085491
214,213,123.085491
215,216,129.783153
216,203,121.783153
217,203,123.710137
218,217,131.710137
219,217,135.023846
220,202,145.993601
221,202,148.953734
222,221,156.953734
223,219,152.912390
224,218,157.008359
225,216,154.767998
226,214,148.383713
227,214,147.085491
228,211,150.399200
229,212,151.545417
230,253,143.511735
231,252,159.319046
232,211,167.191356
233,227,164.974035
234,227,163.085491
235,234,171.085491
236,233,172.974035
237,212,175.129115
238,252,167.188990
239,245,161.840598
240,245,158.526890
241,247,159.963584
242,243,164.855753
243,248,156.855753
244,247,152.415433
245,250,150.526890
246,256,157.235293
247,250,143.471162
248,258,136.855753
249,255,128.415433
250,255,134.526890
251,257,141.931062
252,253,118.526890
253,254,110.526890
254,264,102.526890
255,254,110.526890
256,257,114.153974
257,263,106.153974
258,263,104.855753
259,262,108.169462
260,261,111.483170
261,262,103.483170
262,265,92.169462
263,264,80.855753
264,140,69.542045
265,140,58.228336
266,265,66.228336
267,137,46.914628
268,137,50.228336
269,136,80.855753
270,268,66.228336
271,269,113.104784
272,269,117.733931
273,267,101.320510
274,271,137.104784
275,272,141.733931
276,273,125.320510
277,273,135.554995
278,260,135.483170
279,261,143.682673
280,277,170.483494
