node,parent,time
1,278,156.050155
2,259,148.673553
3,279,132.498141
4,259,124.363496
5,277,134.340501
6,275,127.988481
7,275,131.653395
8,272,132.538467
9,273,129.224759
10,16,174.734916
11,15,167.483357
12,15,160.908522
13,17,154.691528
14,19,149.436694
15,17,149.594813
16,133,134.734916
17,133,120.750403
18,19,117.436694
19,132,109.436694
20,131,101.436694
21,128,94.977354
22,21,120.275575
23,20,130.281105
24,20,135.377820
25,21,123.821764
26,127,123.821764
27,126,134.677183
28,126,131.130994
29,124,120.665588
30,123,109.832772
31,30,117.832772
32,30,125.832772
33,124,125.137724
34,125,128.665588
35,125,143.593999
36,34,146.554132
37,36,155.498404
38,35,152.538270
39,35,152.538270
40,34,155.498404
41,42,136.760502
42,43,128.760502
43,60,120.760502
44,60,130.649046
45,43,138.649046
46,42,146.649046
47,39,170.426814
48,39,168.538270
49,38,168.538270
50,38,170.426814
51,50,178.426814
52,49,176.538270
53,48,176.538270
54,45,156.537590
55,45,149.962754
56,44,141.962754
57,44,138.649046
58,61,138.720824
59,61,131.311146
60,121,112.760502
61,121,113.422602
62,118,134.741084
63,118,142.619388
64,86,150.203499
65,116,143.166991
66,65,151.166991
67,65,161.055535
68,62,168.267193
69,67,175.477740
70,66,169.055535
71,66,167.166991
72,85,166.325195
73,85,167.623416
74,88,161.731253
75,76,160.760502
76,82,152.760502
77,82,162.058723
78,80,161.017190
79,80,145.961462
80,90,137.017190
81,90,138.268073
82,110,136.760502
83,112,137.793329
84,87,145.146481
85,86,142.325195
86,116,134.078984
87,113,137.146481
88,112,129.668813
89,109,130.760502
90,104,124.851665
91,104,126.102548
92,103,128.581414
93,103,140.463228
94,91,148.463228
95,91,155.834686
96,93,158.351772
97,92,150.942094
98,92,144.201914
99,101,138.674804
100,169,130.736330
101,169,125.258396
102,105,122.574684
103,106,115.165007
104,105,112.686140
105,174,104.686140
106,174,97.276463
107,163,166.270698
108,106,115.165007
109,110,122.760502
110,175,112.760502
111,175,113.422602
112,111,121.668813
113,115,129.146481
114,111,121.422602
115,158,117.832772
116,115,126.078984
117,157,125.832772
118,157,126.494873
119,152,53.832772
120,119,61.832772
121,156,64.760502
122,120,77.832772
123,120,85.832772
124,122,93.832772
125,122,101.832772
126,123,105.832772
127,128,94.977354
128,154,86.977354
129,130,93.436694
130,154,85.436694
131,130,93.436694
132,131,101.436694
133,132,109.436694
134,135,84.298554
135,136,76.298554
136,138,68.298554
137,267,48.984845
138,139,52.298554
139,266,44.298554
140,141,73.436694
141,148,65.436694
142,148,68.750403
143,147,74.228336
144,146,129.904926
145,146,126.591217
146,176,118.591217
147,149,62.914628
148,149,57.436694
149,178,48.492423
150,-1,0.000000
151,178,25.436694
152,151,33.436694
153,155,65.436694
154,155,65.436694
155,156,57.436694
156,151,41.436694
157,158,77.832772
158,119,69.832772
159,151,48.760502
160,159,56.760502
161,159,72.760502
162,182,96.760502
163,181,130.493611
164,181,137.266830
165,164,145.266830
166,164,157.266830
167,163,164.434736
168,171,143.493456
169,173,116.314124
170,173,108.590171
171,162,125.604912
172,162,125.604912
173,160,90.701627
174,160,79.387919
175,159,64.760502
176,179,69.929117
177,151,33.436694
178,150,16.492423
179,177,53.436694
180,159,79.223594
181,161,96.084310
182,179,73.436694
183,176,93.929117
184,182,89.436694
185,183,109.929117
186,184,107.325238
187,186,115.325238
188,186,124.295801
189,184,117.720966
190,189,125.720966
191,189,137.720966
192,193,148.753049
193,183,131.665041
194,193,148.157464
195,194,156.157464
196,199,152.479761
197,198,150.591217
198,199,142.591217
199,145,134.591217
200,145,137.904926
201,144,145.904926
202,144,144.327131
203,147,94.155626
204,142,95.583219
205,141,99.612709
206,142,108.949905
207,205,116.105132
208,206,117.894177
209,206,125.442328
210,207,124.105132
211,212,124.105132
212,205,116.105132
213,204,119.914269
214,212,127.418840
215,216,130.416034
216,204,122.416034
217,143,127.893968
218,216,133.729743
219,143,138.726398
220,203,131.891551
221,203,136.676210
222,220,143.205259
223,218,156.357160
224,218,159.027964
225,213,155.691356
226,214,152.717062
227,211,149.403353
228,211,148.105132
229,210,148.105132
230,207,149.089977
231,230,165.089977
232,210,164.105132
233,228,164.105132
234,227,165.403353
235,227,173.403353
236,228,172.105132
237,229,172.105132
238,230,173.089977
239,246,172.623460
240,245,171.325238
241,244,172.117394
242,243,176.838754
243,256,168.838754
244,249,164.117394
245,250,163.325238
246,251,164.623460
247,250,156.269510
248,257,149.102239
249,256,140.117394
250,255,147.325238
251,255,148.623460
252,254,126.638947
253,140,121.436694
254,265,115.325238
255,254,123.325238
256,257,124.117394
257,265,116.117394
258,264,83.858234
259,263,87.485319
260,262,91.389350
261,262,84.814514
262,263,73.500806
263,264,62.187097
264,266,50.873389
265,149,75.325238
266,150,32.984845
267,266,40.984845
268,267,48.984845
269,134,95.612262
270,268,64.984845
271,270,90.597342
272,271,98.597342
273,272,106.597342
274,272,114.597342
275,261,106.355174
276,261,110.427011
277,260,115.472539
278,259,112.783540
279,278,121.727812
280,279,142.123890
