node,parent,time
1,4,170.594575
2,258,150.665126
3,279,142.373521
4,260,137.609730
5,276,145.370798
6,276,137.667489
7,273,136.674407
8,272,185.104784
9,273,125.360699
10,133,170.101135
11,15,162.582413
12,15,156.007577
13,19,182.161128
14,19,175.513513
15,18,144.693869
16,153,130.866933
17,18,116.916781
18,132,108.916781
19,130,135.513513
20,21,128.938677
21,129,120.938677
22,21,146.236899
23,130,157.624969
24,20,162.879803
25,128,151.566094
26,128,142.923190
27,127,141.382531
28,29,183.792273
29,125,172.478565
30,124,112.760502
31,30,120.760502
32,30,128.760502
33,124,128.065454
34,123,141.638680
35,33,155.268395
36,33,154.065454
37,36,163.009726
38,36,163.009726
39,35,164.212667
40,41,161.422602
41,123,153.422602
42,43,147.356945
43,60,139.356945
44,61,152.050019
45,60,153.984362
46,61,165.199690
47,43,168.201355
48,41,176.050019
49,38,179.009726
50,37,179.009726
51,37,187.009726
52,47,186.089899
53,47,179.515063
54,55,173.298070
55,45,165.298070
56,45,161.984362
57,59,157.107037
58,59,153.793329
59,62,145.793329
60,119,131.356945
61,118,129.422602
62,118,129.668813
63,62,137.668813
64,63,145.915025
65,86,149.628464
66,63,156.536776
67,64,161.915025
68,64,165.915025
69,68,173.915025
70,67,169.915025
71,84,186.107406
72,83,181.547368
73,83,178.001180
74,76,175.348250
75,82,172.034542
76,82,164.034542
77,81,170.280753
78,90,171.307590
79,81,155.225025
80,90,147.417602
81,89,146.280753
82,89,148.034542
83,88,152.702958
84,88,157.262995
85,113,146.649046
86,114,139.628464
87,113,136.760502
88,109,144.456747
89,109,138.034542
90,104,135.252077
91,104,136.502960
92,103,139.816668
93,92,151.982193
94,91,158.863640
95,94,166.863640
96,91,169.789594
97,93,163.295902
98,92,155.437168
99,102,152.839349
100,169,149.751195
101,102,142.400260
102,103,134.400260
103,105,126.400260
104,105,123.086552
105,174,115.086552
106,107,113.788331
107,174,105.788331
108,107,121.788331
109,108,130.034542
110,108,129.788331
111,159,121.422602
112,110,139.788331
113,114,128.760502
114,159,120.760502
115,160,109.025602
116,115,117.271814
117,119,129.422602
118,157,121.422602
119,157,80.760502
120,152,64.760502
121,122,88.760502
122,120,80.760502
123,121,104.760502
124,122,96.760502
125,33,152.478565
126,121,122.936517
127,154,116.084310
128,154,117.624969
129,155,109.624969
130,129,117.624969
131,156,92.703310
132,156,97.603073
133,132,105.603073
134,153,108.033137
135,136,86.914628
136,137,78.914628
137,138,70.914628
138,149,62.914628
139,178,56.691925
140,139,64.691925
141,140,72.691925
142,140,80.691925
143,146,78.914628
144,146,82.228336
145,182,89.540659
146,147,70.914628
147,149,62.914628
148,147,70.914628
149,178,48.492423
150,-1,0.000000
151,177,33.436694
152,177,41.436694
153,151,57.436694
154,155,96.084310
155,120,88.084310
156,151,49.436694
157,158,72.760502
158,152,64.760502
159,158,72.760502
160,181,58.429160
161,180,73.788331
162,161,81.788331
163,162,89.788331
164,162,97.788331
165,163,105.788331
166,165,120.210536
167,164,126.632741
168,167,134.632741
169,106,135.328990
170,106,129.788331
171,165,131.086552
172,171,131.086552
173,163,115.086552
174,161,89.788331
175,160,66.429160
176,152,65.436694
177,178,25.436694
178,150,16.492423
179,150,21.540659
180,177,43.325238
181,179,38.033082
182,179,41.540659
183,180,61.213782
184,180,68.623460
185,197,161.540659
186,193,147.484206
187,186,155.484206
188,187,168.133317
189,186,160.133317
190,191,153.041700
191,193,141.041700
192,197,135.901339
193,199,123.153156
194,198,121.540659
195,199,122.838881
196,200,106.228336
197,198,113.540659
198,145,105.540659
199,145,97.540659
200,144,90.228336
201,200,98.228336
202,144,96.650541
203,146,97.747443
204,146,103.163659
205,148,112.675854
206,253,125.841778
207,208,127.419573
208,253,119.419573
209,252,122.733282
210,208,130.733282
211,207,138.733282
212,207,135.419573
213,204,127.494709
214,209,146.733282
215,204,137.339674
216,203,129.996474
217,202,136.850044
218,217,144.850044
219,220,146.411767
220,202,138.411767
221,220,146.411767
222,203,146.573666
223,219,164.300311
224,217,169.834889
225,210,170.733282
226,209,162.733282
227,252,154.733282
228,229,148.674407
229,255,140.674407
230,255,135.577692
231,250,146.658920
232,230,153.466236
233,230,158.205109
234,229,163.301824
235,233,169.518817
236,232,164.779944
237,231,157.972628
238,231,154.658920
239,240,155.718127
240,247,147.718127
241,244,148.169976
242,243,154.046990
243,248,146.046990
244,247,140.169976
245,244,148.169976
246,251,148.031503
247,249,131.225704
248,249,126.046990
249,256,114.733282
250,256,124.031503
251,250,132.031503
252,254,114.733282
253,254,111.419573
254,257,103.419573
255,257,106.733282
256,258,98.733282
257,258,95.419573
258,263,87.419573
259,261,97.360699
260,259,105.360699
261,262,86.046990
262,263,74.733282
263,264,63.419573
264,265,52.105865
265,150,40.792156
266,267,86.914628
267,137,78.914628
268,265,58.680700
269,266,110.914628
270,267,102.914628
271,269,143.163659
272,271,151.163659
273,262,102.733282
274,261,106.046990
275,274,114.046990
276,274,122.046990
277,260,129.443888
278,259,122.658920
279,278,131.603192
280,279,151.999270
