node,parent,time
1,3,215.746463
2,279,208.909830
3,278,191.663274
4,277,184.064235
5,277,192.932197
6,275,185.155013
7,275,188.819926
8,10,184.125329
9,273,177.874212
10,272,176.125329
11,272,172.579140
12,15,168.966126
13,271,165.652417
14,17,162.281105
15,271,157.652417
16,134,148.227252
17,18,133.436694
18,19,125.436694
19,21,117.436694
20,21,109.436694
21,127,101.436694
22,20,133.436694
23,19,142.734916
24,18,150.734916
25,22,141.436694
26,27,136.750403
27,128,128.750403
28,128,130.048624
29,31,126.977354
30,125,106.977354
31,125,114.977354
32,30,122.977354
33,30,125.416443
34,123,130.710950
35,124,146.120918
36,34,148.599494
37,36,157.543766
38,35,155.065190
39,34,155.042000
40,124,150.061659
41,123,142.494873
42,43,141.832772
43,122,133.832772
44,121,158.330834
45,42,157.832772
46,41,158.494873
47,41,160.383417
48,40,167.950203
49,35,170.451968
50,36,172.930544
51,38,180.363411
52,49,178.451968
53,47,171.697125
54,47,168.383417
55,46,166.494873
56,42,165.832772
57,121,166.275854
58,63,162.441924
59,60,157.832772
60,43,141.832772
61,157,128.317408
62,61,138.317408
63,62,146.317408
64,62,154.441924
65,86,152.629277
66,65,160.629277
67,63,170.400597
68,64,174.441924
69,64,181.274739
70,67,178.400597
71,65,176.629277
72,85,174.753793
73,85,176.052014
74,84,180.733747
75,76,183.433936
76,81,175.433936
77,81,181.545392
78,80,180.294509
79,80,165.238781
80,90,156.294509
81,90,157.545392
82,109,160.448364
83,114,159.681287
84,86,155.435526
85,116,150.753793
86,116,142.629277
87,113,150.383066
88,110,151.471073
89,107,151.339606
90,104,144.128984
91,104,145.379867
92,102,149.663578
93,91,161.000366
94,91,167.740546
95,94,175.740546
96,97,178.239507
97,98,170.239507
98,169,162.239507
99,101,152.212682
100,169,144.412681
101,172,138.796275
102,170,137.498053
103,170,139.386597
104,105,131.963459
105,173,123.963459
106,174,123.181198
107,173,119.277167
108,105,135.277167
109,107,143.360357
110,160,134.383066
111,159,139.439145
112,110,144.383066
113,114,142.383066
114,115,134.383066
115,157,126.383066
116,115,134.629277
117,159,141.373487
118,61,136.317408
119,120,77.832772
120,153,69.832772
121,119,93.832772
122,120,85.832772
123,122,93.832772
124,126,101.399559
125,126,98.977354
126,154,86.977354
127,154,85.436694
128,129,104.750403
129,127,96.750403
130,129,104.750403
131,130,112.750403
132,130,120.750403
133,20,127.325238
134,268,122.614755
135,136,104.726212
136,267,96.726212
137,265,114.614755
138,151,74.098795
139,138,82.098795
140,139,90.098795
141,148,109.412503
142,140,106.098795
143,147,109.412503
144,142,122.098795
145,146,114.098795
146,147,106.098795
147,139,98.098795
148,140,101.412503
149,148,110.356775
150,-1,0.000000
151,178,25.436694
152,177,94.380966
153,156,49.436694
154,153,65.436694
155,119,106.117044
156,151,41.436694
157,158,77.720966
158,156,69.720966
159,176,90.777044
160,158,85.720966
161,162,97.019538
162,184,89.019538
163,182,82.665238
164,183,89.498053
165,164,97.498053
166,162,123.195553
167,165,122.796275
168,165,130.482898
169,171,129.990476
170,172,121.498053
171,164,113.498053
172,171,113.498053
173,163,107.963459
174,163,105.292655
175,160,93.720966
176,182,70.380966
177,176,78.380966
178,150,16.492423
179,178,34.380966
180,179,43.325238
181,183,77.213782
182,179,54.380966
183,180,61.213782
184,180,68.623460
185,181,109.213782
186,187,92.623460
187,184,84.623460
188,187,97.272570
189,188,105.272570
190,186,105.272570
191,190,117.272570
192,190,131.272570
193,186,116.954510
194,193,133.446932
195,194,141.446932
196,199,139.987338
197,193,133.446932
198,145,130.098795
199,146,122.098795
200,143,125.412503
201,145,131.987338
202,200,134.356775
203,143,129.412503
204,142,132.931610
205,141,143.588518
206,141,149.612006
207,206,158.556278
208,206,158.556278
209,208,166.556278
210,207,166.556278
211,212,165.262661
212,204,157.262661
213,205,163.588518
214,212,168.576369
215,216,167.764426
216,204,159.764426
217,203,163.588518
218,216,171.078135
219,217,174.902227
220,203,167.148428
221,220,175.148428
222,220,178.462136
223,217,192.432928
224,218,196.376356
225,215,193.062647
226,215,191.764426
227,211,190.560882
228,211,189.262661
229,252,188.198039
230,252,184.651850
231,255,199.121239
232,230,202.540394
233,228,205.262661
234,227,206.560882
235,227,214.560882
236,228,213.262661
237,230,209.950071
238,251,206.636363
239,245,202.667337
240,245,199.353629
241,248,200.651850
242,243,203.353629
243,248,195.353629
244,247,193.242172
245,250,191.353629
246,251,197.338141
247,250,184.297901
248,249,175.353629
249,256,164.039920
250,249,175.353629
251,255,181.338141
252,254,159.353629
253,256,165.928464
254,257,148.039920
255,254,156.039920
256,257,148.039920
257,264,140.039920
258,259,154.667337
259,262,146.667337
260,261,149.981046
261,262,141.981046
262,264,130.667337
263,269,138.024433
264,265,108.039920
265,267,96.726212
266,268,120.726212
267,138,85.412503
268,136,104.726212
269,135,112.726212
270,135,116.039920
271,270,141.652417
272,270,147.280919
273,269,155.246795
274,273,163.246795
275,261,163.521705
276,260,171.521705
277,260,174.064235
278,259,171.965558
279,278,180.909830
280,279,201.305908
