node,parent,time
1,3,199.996707
2,279,193.160074
3,278,175.913518
4,277,168.904801
5,277,177.772763
6,275,171.420743
7,274,177.091187
8,274,173.544998
9,275,165.787436
10,272,170.825987
11,271,166.196840
12,271,162.650651
13,16,159.942279
14,16,158.644058
15,270,152.498830
16,270,134.644058
17,268,133.981577
18,133,136.112382
19,135,139.240974
20,133,146.000926
21,131,149.546650
22,19,164.539195
23,17,159.279798
24,17,157.981577
25,18,161.410603
26,19,168.085384
27,134,174.456218
28,126,175.483990
29,125,166.185768
30,124,154.185768
31,30,162.185768
32,30,170.185768
33,124,169.490720
34,125,173.018584
35,34,189.018584
36,34,190.907128
37,36,199.851400
38,35,197.962856
39,35,197.962856
40,156,202.503403
41,42,194.847869
42,43,186.847869
43,121,178.847869
44,43,194.847869
45,60,200.813185
46,42,204.736412
47,41,212.736412
48,39,213.962856
49,38,213.962856
50,36,215.238178
51,50,223.238178
52,38,221.962856
53,39,221.962856
54,46,216.050121
55,45,212.126894
56,44,206.161577
57,44,202.847869
58,59,202.185768
59,60,194.185768
60,121,178.185768
61,118,178.847869
62,118,179.094080
63,62,187.094080
64,62,195.218595
65,86,197.094080
66,86,204.182087
67,63,211.177269
68,63,213.094080
69,68,221.094080
70,67,219.177269
71,66,220.182087
72,85,219.218595
73,83,219.523025
74,88,218.041032
75,76,215.823865
76,89,207.823865
77,89,215.147670
78,81,216.507968
79,81,200.154018
80,90,193.221636
81,109,191.209746
82,110,192.890585
83,88,194.224804
84,112,197.701759
85,116,195.218595
86,116,187.094080
87,113,190.161577
88,110,185.978593
89,109,183.085231
90,104,181.056111
91,104,182.306993
92,103,184.195537
93,92,196.361062
94,93,204.361062
95,91,212.039131
96,91,215.593627
97,93,207.674771
98,92,199.816036
99,101,195.151404
100,170,186.473869
101,169,181.734996
102,103,178.779129
103,106,170.779129
104,105,168.890585
105,106,160.890585
106,174,152.890585
107,174,151.002042
108,105,172.204294
109,107,175.085231
110,107,168.890585
111,176,170.587585
112,111,178.833796
113,115,182.161577
114,111,178.587585
115,117,170.847869
116,115,179.094080
117,119,162.847869
118,117,170.847869
119,120,114.185768
120,158,106.185768
121,119,130.185768
122,120,122.185768
123,122,130.185768
124,122,138.185768
125,123,146.185768
126,123,150.185768
127,154,152.595069
128,155,153.715509
129,155,146.135729
130,131,146.232941
131,135,138.232941
132,134,134.991943
133,136,128.112382
134,137,114.991943
135,136,106.991943
136,137,98.991943
137,138,90.991943
138,140,82.991943
139,138,90.991943
140,147,71.678234
141,147,65.103399
142,141,73.103399
143,148,102.305651
144,146,95.730816
145,144,103.730816
146,142,84.417107
147,179,53.789690
148,142,84.417107
149,148,93.361379
150,-1,0.000000
151,152,61.789690
152,179,53.789690
153,158,116.595069
154,153,132.595069
155,153,124.595069
156,177,121.509576
157,152,74.185768
158,151,82.185768
159,151,85.113498
160,159,93.113498
161,160,109.113498
162,161,117.113498
163,175,141.113498
164,163,149.113498
165,162,141.113498
166,165,155.535703
167,166,167.535703
168,166,175.535703
169,170,172.790724
170,173,163.846452
171,173,161.957908
172,171,161.957908
173,175,145.957908
174,162,135.002042
175,161,117.113498
176,157,102.470040
177,157,97.509576
178,177,106.453848
179,150,21.540659
180,176,113.783748
181,159,108.437305
182,160,116.437305
183,181,124.437305
184,181,132.437305
185,183,140.437305
186,182,149.422150
187,182,148.437305
188,165,159.002042
189,183,160.658846
190,186,162.071261
191,194,151.249923
192,194,140.037607
193,199,137.343313
194,198,124.417107
195,198,126.305651
196,199,129.619360
197,201,123.044524
198,146,108.417107
199,145,111.730816
200,145,115.044524
201,144,111.730816
202,201,120.675088
203,143,122.305651
204,143,126.636701
205,266,133.512526
206,266,135.713302
207,206,144.657574
208,207,152.657574
209,253,158.305651
210,206,152.205725
211,207,155.971282
212,205,150.004948
213,204,150.967751
214,213,158.967751
215,216,161.469517
216,204,153.469517
217,203,156.481666
218,217,164.481666
219,217,167.795375
220,203,160.041576
221,202,165.396447
222,220,171.355284
223,220,185.339797
224,216,189.246605
225,215,186.767738
226,213,183.952596
227,211,181.269504
228,211,179.971282
229,210,176.205725
230,210,177.503946
231,251,192.868274
232,229,192.205725
233,229,194.094268
234,227,197.269504
235,227,205.269504
236,233,202.094268
237,232,200.205725
238,251,200.277952
239,246,196.964243
240,247,194.876774
241,244,195.328623
242,243,199.075700
243,248,191.075700
244,247,187.328623
245,250,187.075700
246,250,188.964243
247,256,178.384351
248,249,171.075700
249,259,159.761991
250,249,171.075700
251,256,174.979731
252,253,154.991943
253,139,146.991943
254,139,147.560485
255,257,154.135320
256,258,146.135320
257,258,142.821612
258,262,134.821612
259,263,130.917581
260,262,134.821612
261,263,128.246777
262,264,116.933068
263,264,105.619360
264,265,94.305651
265,140,82.991943
266,265,90.991943
267,141,89.103399
268,267,97.103399
269,267,105.103399
270,268,113.103399
271,269,137.352430
272,269,141.981577
273,272,149.981577
274,261,148.246777
275,261,149.787436
276,260,156.362271
277,260,158.904801
278,259,156.215802
279,278,165.160074
280,279,185.556152
