node,parent,time
1,-1,0.000000
2,42,988.837173
3,18,592.855059
4,15,403.643410
5,24,354.791690
6,15,343.829777
7,21,958.063915
8,45,636.731542
9,8,820.170905
10,45,778.328571
11,12,1065.934647
12,25,678.862302
13,28,1056.174808
14,26,1245.638665
15,38,303.518488
16,44,520.059724
17,18,729.887493
18,22,458.225939
19,32,517.816914
20,50,598.033040
21,31,596.331970
22,49,341.928905
23,31,598.647433
24,40,323.168914
25,38,433.862302
26,46,849.627301
27,28,872.647449
28,25,762.533871
29,16,720.870580
30,23,777.881916
31,22,446.331970
32,49,297.987434
33,6,912.072683
34,35,142.868454
35,1,121.655251
36,40,329.111972
37,39,257.293653
38,35,242.485710
39,34,201.391954
40,39,244.111972
41,19,609.740795
42,21,886.245751
43,6,603.877850
44,37,387.677701
45,32,449.314894
46,37,395.947899
47,46,936.318143
48,24,338.980302
49,34,247.987434
50,44,562.677701
51,4,800.663561
52,12,1297.429195
