node,parent,time
1,22,512.957078
2,42,1112.772971
3,18,798.723825
4,6,275.878742
5,38,309.938171
6,24,206.236800
7,21,1082.994366
8,19,853.530742
9,40,849.303315
10,40,786.746205
11,4,939.071775
12,6,555.521784
13,28,896.631853
14,25,1080.643374
15,5,334.938171
16,44,543.535107
17,18,935.756259
18,32,664.094705
19,45,727.633959
20,50,709.274494
21,31,721.262421
22,36,466.859356
23,1,694.133788
24,48,149.228029
25,48,281.487570
26,46,950.658313
27,28,713.104494
28,48,602.990916
29,16,744.345963
30,50,889.151587
31,22,571.262421
32,49,501.306499
33,15,903.642839
34,-1,0.000000
35,36,314.976163
36,24,299.976163
37,24,215.936349
38,37,258.947976
39,36,342.987790
40,38,294.303315
41,45,818.238910
42,31,1010.181548
43,5,576.630878
44,35,411.153084
45,32,652.633959
46,35,496.978910
47,46,1037.349154
48,34,133.416641
49,40,451.306499
50,16,673.919155
51,6,670.806494
52,48,1113.888466
