node,parent,time
1,49,338.118378
2,20,1009.157760
3,18,621.504462
4,5,305.420922
5,38,201.017857
6,38,236.341045
7,22,993.354837
8,15,659.771073
9,10,797.703039
10,5,714.486454
11,12,959.437692
12,48,572.365348
13,27,948.597453
14,26,1121.334041
15,40,207.222733
16,44,279.613243
17,18,758.536896
18,32,486.875342
19,45,550.414595
20,16,444.688983
21,31,634.491190
22,1,384.216101
23,50,537.472779
24,37,187.921524
25,48,329.284132
26,24,725.322677
27,24,763.529898
28,25,657.955701
29,50,601.373883
30,20,633.699565
31,1,484.491190
32,49,324.087136
33,6,804.583951
34,-1,0.000000
35,34,21.213203
36,35,36.213203
37,36,121.213203
38,39,150.027662
39,35,74.363932
40,39,117.083951
41,45,641.019547
42,22,919.239465
43,15,449.090466
44,36,147.231220
45,32,475.414595
46,44,278.093743
47,46,818.463987
48,37,181.213203
49,40,274.087136
50,16,409.997291
51,6,700.910738
52,25,1164.418852
