node,parent,time
1,49,181.638549
2,42,869.521910
3,18,465.024633
4,5,305.420922
5,38,201.017857
6,38,236.341045
7,21,839.743305
8,19,519.831549
9,8,703.270912
10,19,684.838530
11,12,961.356477
12,25,574.284132
13,27,948.597453
14,26,1121.334041
15,40,207.222733
16,44,411.020918
17,18,602.057067
18,32,330.395512
19,45,393.934766
20,22,451.343069
21,31,478.011360
22,1,227.736271
23,22,402.378763
24,37,187.921524
25,48,329.284132
26,24,725.322677
27,24,763.529898
28,25,657.955701
29,16,611.831775
30,23,581.613246
31,1,328.011360
32,49,167.607306
33,15,775.927402
34,-1,0.000000
35,34,21.213203
36,35,36.213203
37,36,121.213203
38,39,150.027662
39,35,74.363932
40,39,117.083951
41,45,484.539718
42,31,766.930487
43,15,449.090466
44,40,278.638895
45,32,318.934766
46,48,306.213203
47,46,846.583447
48,37,181.213203
49,36,117.607306
50,44,453.638895
51,6,700.910738
52,28,1171.886630
