node,parent,time
1,-1,0.000000
2,7,3711.234514
3,24,3577.470428
4,105,1411.730130
5,13,4306.943821
6,22,2046.497901
7,6,2866.741767
8,72,2538.644220
9,106,1823.549267
10,120,3455.846283
11,8,3375.132116
12,114,2173.473642
13,9,3309.074090
14,106,2448.228384
15,24,2858.497901
16,12,3130.034147
17,108,2613.394268
18,21,2339.730130
19,17,3031.638216
20,17,2941.491814
21,4,1759.730130
22,4,1527.730130
23,22,1787.114015
24,108,2394.497901
25,26,4737.717346
26,31,3700.181804
27,30,3840.228384
28,33,5418.913648
29,25,5215.997599
30,41,3260.228384
31,12,2764.959906
32,25,5557.961212
33,26,4954.913648
34,41,3632.716280
35,37,3522.667425
36,37,3268.472250
37,14,3104.423477
38,34,4212.716280
39,34,3892.100166
40,36,3974.072704
41,14,2796.228384
42,39,4258.924374
43,30,3884.907502
44,36,4829.092640
45,44,5247.336588
46,53,7026.432051
47,56,6028.502554
48,5,6538.248372
49,47,6506.782807
50,115,4020.370106
51,7,4061.034863
52,115,4698.837611
53,56,6283.669640
54,35,4989.964259
55,52,5881.810138
56,13,4705.899061
57,51,4641.034863
58,61,4581.887261
59,62,4087.225746
60,9,3309.074090
61,60,3675.898298
62,60,3568.457975
63,76,9630.197635
64,61,4673.768029
65,64,8271.638511
66,10,5916.577881
67,72,3214.482234
68,73,3902.577489
69,74,5342.013409
70,68,4837.799388
71,73,4493.534530
72,23,2279.260335
73,21,3082.333623
74,18,3045.330583
75,76,4899.664792
76,77,3830.197635
77,18,2687.730130
78,77,3984.649557
79,31,3762.829637
80,79,4090.927183
81,84,5539.253050
82,81,7511.253050
83,117,7588.893423
84,78,5307.253050
85,110,7871.978328
86,110,8024.845571
87,74,7966.793780
88,67,8170.004406
89,125,8013.694610
90,62,4087.225746
91,90,4678.712009
92,125,8199.729566
93,40,7275.490581
94,54,7450.695858
95,40,6549.690688
96,68,7015.184114
97,42,7871.723843
98,122,13809.233522
99,92,9496.648993
100,10,4361.835245
101,83,12066.553526
102,117,11533.893349
103,35,5134.190928
104,59,7879.911338
105,1,591.486264
106,114,1198.870149
107,103,12315.893233
108,23,2135.114015
109,71,6781.412149
110,71,6363.978328
111,118,9514.103171
112,47,8981.380472
113,64,6070.593000
114,105,850.870149
115,120,3556.370106
116,8,4046.644220
117,78,4804.893423
118,53,6543.053525
119,69,8951.086420
120,6,3037.602335
121,51,4641.034863
122,33,5186.913648
123,39,6649.388689
124,5,5002.943821
125,59,6732.432732
126,81,6583.253050
127,95,9156.466474
