node,parent,time
1,-1,0.000000
2,81,657.147600
3,113,330.077026
4,125,531.711033
5,107,238.216600
6,2,739.078756
7,124,284.797870
8,7,322.627684
9,42,719.098639
10,89,260.675316
11,69,812.126183
12,109,615.917659
13,112,678.212023
14,15,455.323443
15,121,388.726959
16,59,388.821877
17,57,832.602822
18,75,449.331444
19,29,685.693176
20,46,552.505271
21,94,478.932733
22,3,444.878895
23,77,513.757050
24,12,645.611067
25,83,541.771855
26,124,328.136127
27,147,647.391785
28,42,728.497930
29,81,623.344025
30,7,332.091055
31,72,630.526818
32,23,536.258389
33,105,371.894099
34,87,61.896053
35,8,388.232289
36,24,755.013045
37,2,695.290190
38,23,531.332242
39,101,683.197701
40,109,674.576419
41,122,669.251873
42,47,685.630358
43,138,550.610429
44,115,551.555441
45,150,551.802453
46,92,453.960352
47,51,620.651957
48,30,398.969707
49,14,547.167708
50,55,589.740606
51,138,521.260589
52,34,257.535306
53,43,658.124780
54,105,402.414007
55,65,541.158908
56,26,374.090214
57,101,691.438945
58,55,562.031331
59,79,364.101895
60,39,776.655734
61,69,762.383180
62,3,378.076079
63,30,376.733617
64,15,542.561433
65,75,475.888596
66,60,806.835384
67,134,576.346897
68,4,623.263062
69,24,728.985960
70,50,639.354126
71,45,578.246265
72,80,515.608258
73,96,301.206517
74,136,675.901726
75,26,381.102481
76,73,336.950381
77,111,421.449595
78,16,447.398975
79,121,331.856524
80,79,451.036366
81,141,575.122080
82,5,341.720822
83,56,435.030607
84,87,118.643721
85,142,500.158235
86,58,624.159869
87,1,21.039795
88,10,330.025967
89,84,151.352808
90,46,491.237288
91,45,642.287059
92,111,413.550665
93,8,407.047963
94,88,355.769419
95,82,373.625711
96,89,179.355858
97,5,316.691171
98,73,391.297339
99,29,713.241871
100,143,322.230202
101,38,623.420649
102,70,695.595789
103,98,405.464532
104,149,523.168455
105,52,321.495115
106,115,633.974942
107,34,196.886201
108,58,651.529097
109,54,514.827390
110,141,596.535175
111,52,316.606812
112,64,583.284173
113,10,271.011683
114,70,720.752736
115,150,506.250839
116,38,622.926044
117,129,728.861194
118,12,674.935494
119,128,639.799888
120,47,656.971943
121,96,295.728786
122,77,448.055492
123,145,662.077463
124,84,197.962727
125,149,420.099772
126,33,406.543733
127,43,715.725892
128,125,585.857315
129,122,613.122547
130,39,775.867146
131,133,523.322668
132,65,546.826273
133,59,420.076737
134,92,481.474783
135,50,621.327601
136,64,609.008875
137,132,625.244368
138,54,443.771751
139,51,637.398327
140,129,812.583066
141,83,500.923785
142,143,456.821797
143,107,294.999002
144,14,568.634815
145,72,567.812505
146,56,422.587821
147,80,547.421062
148,130,831.350216
149,113,391.090291
150,88,495.468604
