node,parent,time
1,42,2381.688026
2,6,1339.112265
3,5,1270.948375
4,57,1204.555000
5,57,1179.367373
6,68,1247.531263
7,58,1317.183218
8,9,907.727095
9,85,856.927095
10,87,832.041012
11,85,807.653386
12,71,782.626414
13,71,757.903750
14,38,662.491934
15,45,697.212750
16,29,783.011980
17,30,766.914527
18,28,711.923523
19,24,530.583208
20,24,523.315117
21,26,424.928631
22,51,608.098703
23,33,611.033496
24,35,393.800022
25,26,380.527803
26,35,344.606779
27,39,527.793502
28,33,532.318400
29,30,548.835551
30,36,512.914527
31,37,523.435551
32,37,512.914527
33,46,481.518400
34,39,482.989629
35,50,264.284926
36,46,462.114527
37,36,487.514527
38,45,514.385756
39,52,426.193502
40,61,767.915553
41,42,695.741474
42,59,568.741474
43,56,552.503059
44,61,517.774505
45,53,457.589629
46,52,405.318400
47,51,409.843298
48,50,219.884098
49,64,205.005122
50,64,183.963073
51,76,373.922274
52,65,369.397376
53,62,400.793502
54,53,451.593502
55,60,506.061010
56,60,516.582034
57,59,577.221277
58,68,566.700253
59,67,496.899425
60,70,480.661010
61,62,426.193502
62,65,375.393502
63,79,112.121024
64,80,133.163073
65,81,318.597376
66,83,420.197376
67,70,460.978400
68,67,486.378400
69,72,557.315355
70,83,438.041531
71,84,548.449985
72,88,476.993502
73,84,469.123102
74,82,418.726147
75,76,399.322274
76,81,297.722274
77,93,321.247999
78,93,317.126147
79,91,35.921024
80,79,61.321024
81,95,261.801249
82,97,382.805122
83,89,369.397376
84,88,443.723102
85,87,518.048828
86,99,538.332005
87,98,437.726975
88,89,363.401249
89,96,312.601249
90,77,434.840253
91,-1,0.000000
92,79,61.321024
93,101,240.926147
94,102,179.605122
95,94,205.005122
96,95,255.805122
97,96,332.005122
98,97,357.405122
99,98,433.605122
100,99,509.805122
101,94,205.005122
102,79,143.684098
103,101,285.326975
104,92,137.521024
105,103,361.526975
106,113,451.374882
107,105,463.126975
108,107,564.726975
109,110,542.453858
110,112,517.053858
111,107,499.047999
112,114,440.853858
113,114,415.453858
114,103,390.053858
115,105,491.042071
116,104,300.160380
117,113,520.180741
118,112,554.446111
119,118,579.846111
120,118,605.246111
121,115,544.923607
122,104,314.411556
123,117,619.370912
124,119,706.846111
125,111,769.053703
126,169,797.020788
127,109,852.500371
128,170,903.544947
129,169,878.230287
130,111,840.770050
131,119,819.469232
132,124,833.846111
133,131,855.390256
134,124,850.530209
135,132,869.767136
136,132,890.642238
137,126,965.076523
138,117,780.762954
139,115,713.201338
140,123,869.854065
141,134,886.451234
142,123,883.640793
143,140,905.775089
144,135,941.609185
145,142,940.436919
146,142,919.561817
147,138,900.574515
148,138,915.765806
149,147,936.495539
150,145,976.357944
151,134,1013.169565
152,148,951.686831
153,116,731.212674
154,122,608.985859
155,122,613.334054
156,121,839.497910
157,121,843.846106
158,139,853.477423
159,139,866.656022
160,120,961.374740
161,116,749.532253
162,148,972.561933
163,141,1066.056356
164,135,1103.943565
165,131,1164.946583
166,129,1184.086789
167,79,367.096507
168,167,494.096507
169,110,751.230287
170,109,838.666214
171,170,1014.510350
172,127,1060.684160
173,63,2099.614748
174,63,2172.157709
175,176,2098.843961
176,167,2025.243961
177,181,2095.750878
178,181,2164.556737
179,178,2215.356737
180,183,2161.226538
181,182,2059.829854
182,167,1961.299656
183,182,2056.499656
184,189,2184.311587
185,184,2235.111587
186,187,2373.844557
187,188,2297.644557
188,189,2073.844557
189,168,1997.644557
190,168,1994.885026
191,190,2071.085026
192,190,2294.885026
193,191,2371.085026
194,178,2221.352864
195,175,2325.243961
196,194,2400.298721
197,176,2409.083615
198,173,2399.614748
