node,parent,time
1,15,2282.512661
2,5,1277.191721
3,5,1208.129018
4,41,1137.237862
5,44,1116.548016
6,41,1188.325690
7,43,1260.988700
8,69,873.860010
9,69,823.210524
10,11,797.906191
11,12,772.506191
12,13,747.106191
13,68,721.706191
14,32,554.426309
15,32,590.167295
16,30,661.792657
17,33,645.470486
18,22,551.256285
19,26,530.997820
20,21,511.885754
21,25,410.285754
22,26,437.664032
23,27,470.028174
24,25,395.406779
25,48,359.485754
26,49,346.083029
27,35,362.265100
28,35,397.684098
29,30,427.707977
30,33,391.786953
31,36,412.662055
32,36,391.786953
33,47,355.865928
34,39,341.956155
35,48,270.684098
36,47,355.865928
37,46,377.877179
38,52,418.220284
39,51,285.160028
40,53,676.884038
41,44,626.072722
42,55,506.957811
43,54,481.825328
44,54,432.632085
45,53,367.356155
46,52,306.035130
47,51,264.284926
48,49,198.842049
49,63,162.921024
50,63,207.321853
51,64,228.363902
52,64,270.114106
53,65,310.560028
54,62,352.310232
55,61,426.635958
56,55,452.035958
57,60,527.240989
58,68,521.475874
59,60,447.914106
60,61,422.514106
61,62,346.314106
62,65,295.514106
63,79,127.000000
64,78,156.521853
65,76,238.717979
66,74,359.721853
67,70,415.754021
68,67,441.154021
69,67,517.354021
70,74,392.817152
71,72,517.354021
72,73,441.154021
73,70,415.754021
74,75,334.321853
75,76,283.521853
76,77,181.921853
77,78,156.521853
78,79,131.121853
79,80,50.800000
80,91,25.400000
81,77,213.317979
82,75,319.442877
83,82,344.842877
84,82,421.042877
85,73,496.075874
86,87,522.239832
87,88,420.639832
88,89,344.439832
89,81,293.639832
90,81,270.114106
91,-1,0.000000
92,80,61.321024
93,92,141.642877
94,93,167.042877
95,94,192.442877
96,94,243.242877
97,95,319.442877
98,95,344.842877
99,96,421.042877
100,96,497.242877
101,102,192.442877
102,93,167.042877
103,104,162.921024
104,92,137.521024
105,104,188.321024
106,114,281.038176
107,113,301.913278
108,111,401.639004
109,110,372.117151
110,111,346.717151
111,112,321.317151
112,113,270.517151
113,105,245.117151
114,105,224.242049
115,103,325.560380
116,114,328.968932
117,116,354.368932
118,112,384.109404
119,118,409.509404
120,118,434.909404
121,116,369.129858
122,103,350.434277
123,117,453.559103
124,119,536.509404
125,119,602.950041
126,169,626.684082
127,109,682.163664
128,170,733.208240
129,126,708.003759
130,169,672.474583
131,124,650.101658
132,124,663.509404
133,131,686.022682
134,117,685.544414
135,132,699.430429
136,131,721.943707
137,126,794.739816
138,121,613.088892
139,121,539.518238
140,123,704.042256
141,132,720.305531
142,123,717.828984
143,140,739.963280
144,135,771.272478
145,142,774.625110
146,142,753.750008
147,138,732.900452
148,138,748.091743
149,147,768.821476
150,145,810.546135
151,135,843.114527
152,148,784.012768
153,148,773.491743
154,122,645.008580
155,122,649.356776
156,115,664.438647
157,115,671.037731
158,139,679.794323
159,139,692.972922
160,120,791.038033
161,153,798.891743
162,153,809.412768
163,144,898.272478
164,144,933.911833
165,137,995.010483
166,129,1013.860262
167,107,520.412340
168,107,632.113278
169,110,580.893580
170,109,668.329507
171,170,844.173643
172,127,890.347453
173,168,2183.292423
174,173,2256.892423
175,168,2237.873590
176,106,2164.840103
177,181,2226.062652
178,181,2294.868511
179,178,2345.668511
180,183,2291.538312
181,182,2190.141628
182,108,2091.611429
183,182,2186.811429
184,183,2288.411429
185,184,2339.211429
186,187,2500.370986
187,191,2424.170986
188,189,2201.248767
189,106,2125.048767
190,108,2111.554235
191,190,2187.754235
192,190,2411.554235
193,191,2487.754235
194,178,2351.664637
195,194,2457.224194
196,194,2530.610495
197,176,2548.679757
198,176,2474.366257
