node,parent,time
1,392,3348.592959
2,36,2887.796690
3,36,2637.360762
4,41,2876.145810
5,51,2844.401136
6,51,2852.360490
7,49,2852.740111
8,50,2794.148727
9,49,2934.758558
10,8,2925.045213
11,50,2879.424050
12,43,2850.745542
13,47,2467.406462
14,45,2510.862881
15,53,2569.530065
16,54,2604.916579
17,58,2661.153851
18,55,2668.451792
19,54,2749.278293
20,61,2713.855661
21,224,1782.165510
22,305,1775.736143
23,301,1784.190418
24,301,1832.565955
25,391,1152.113197
26,391,1223.162367
27,25,1462.459101
28,26,1547.056486
29,392,887.831241
30,399,963.570681
31,399,940.917244
32,31,1138.074262
33,23,1972.289461
34,23,2065.382967
35,22,2051.480989
36,22,2144.255044
37,35,2237.324929
38,35,2196.283268
39,33,2185.225742
40,33,2287.509780
41,269,1960.803065
42,224,1992.293337
43,42,2068.794840
44,42,2105.382771
45,21,2028.754906
46,45,2073.613796
47,21,2049.258677
48,266,2210.257694
49,44,2245.658856
50,44,2230.463265
51,269,2199.068694
52,266,2384.631943
53,47,2410.750060
54,235,2299.453750
55,173,2308.792815
56,235,2372.783293
57,65,2446.808151
58,65,2356.837042
59,170,2361.525180
60,163,2381.511662
61,58,2537.337956
62,59,2568.266202
63,60,2562.012576
64,170,2467.533403
65,210,2159.070614
66,59,2922.844786
67,63,2876.838321
68,60,2871.738242
69,63,2931.868345
70,84,2908.390569
71,74,3070.591512
72,82,3024.914737
73,82,3009.437659
74,87,2996.313656
75,121,2836.361355
76,122,2816.105816
77,121,2748.519393
78,86,2894.019879
79,122,2727.300568
80,86,2845.195869
81,149,2864.756554
82,87,2736.049491
83,64,2742.276410
84,64,2620.461654
85,149,2561.263356
86,139,2527.695869
87,139,2396.171131
88,119,2739.912212
89,101,2735.957580
90,107,2766.958316
91,102,2787.868769
92,102,2743.378954
93,120,2712.271451
94,182,2796.244311
95,127,2552.279611
96,154,2687.474538
97,117,2553.967505
98,101,2526.295377
99,107,2545.802896
100,113,2493.383422
101,136,2494.575352
102,120,2470.306271
103,202,2674.090343
104,111,2650.447706
105,127,2438.758024
106,132,2490.396437
107,117,2380.702896
108,137,2360.015809
109,213,2597.833205
110,123,2357.233853
111,208,2535.968669
112,113,2334.874894
113,146,2283.685735
114,123,2273.748492
115,134,2254.289489
116,161,2388.522847
117,146,2248.111003
118,164,2434.952919
119,136,2215.672715
120,144,2177.930315
121,145,2214.363976
122,154,2227.462384
123,144,2139.844870
124,153,2303.214600
125,167,2139.044048
126,145,2172.181953
127,137,2101.300753
128,161,2226.749026
129,167,2080.942120
130,142,2049.179017
131,148,2032.737714
132,160,2064.614850
133,148,2025.292476
134,150,2018.946569
135,147,2002.140797
136,156,1999.772715
137,166,1990.354099
138,172,1998.618590
139,163,2116.080503
140,150,1979.769160
141,164,2173.418407
142,172,1972.979017
143,191,2238.262178
144,197,1930.150211
145,160,1964.202987
146,156,1902.633652
147,166,1887.661760
148,185,1872.892476
149,171,1964.228265
150,197,1841.034990
151,192,2146.928166
152,159,1870.889601
153,212,2013.033398
154,162,1866.772906
155,175,1901.682840
156,179,1797.906769
157,204,2102.706002
158,221,2048.130382
159,162,1799.943636
160,186,1756.899104
161,171,1834.069296
162,186,1727.472331
163,181,1820.118529
164,217,1906.718407
165,200,2011.163160
166,179,1698.186168
167,185,1709.303370
168,203,1925.017775
169,182,1690.512829
170,173,1789.182189
171,175,1759.697460
172,231,1661.879017
173,181,1757.402164
174,180,1718.463004
175,201,1727.357856
176,216,1723.426981
177,199,1952.113983
178,249,2110.196693
179,198,1612.991978
180,189,1670.037184
181,201,1725.702164
182,241,1625.755281
183,205,1973.621583
184,212,1796.771831
185,198,1601.397485
186,189,1616.623019
187,219,1839.462757
188,200,1877.223950
189,222,1584.842994
190,210,1731.310724
191,221,1834.649864
192,204,1851.533701
193,199,1880.551251
194,209,1626.166223
195,248,1864.129230
196,248,1936.670286
197,215,1555.334990
198,215,1532.670125
199,247,1846.401874
200,220,1811.827238
201,209,1628.731034
202,217,1716.187002
203,228,1733.971053
204,220,1789.039141
205,247,1802.926006
206,208,1681.894122
207,246,1703.687232
208,267,1643.260329
209,222,1511.642819
210,216,1603.677303
211,267,1627.124047
212,229,1637.846912
213,228,1645.333205
214,265,2002.912405
215,230,1424.580487
216,240,1526.426219
217,229,1627.712995
218,231,1435.571514
219,243,1646.290657
220,246,1658.284638
221,258,1649.544570
222,230,1400.631784
223,241,1397.959536
224,225,1597.979300
225,240,1520.728216
226,287,1926.830469
227,243,1591.767467
228,242,1560.673592
229,242,1555.346912
230,236,1342.049705
231,236,1363.108972
232,249,1676.942914
233,238,1574.710559
234,278,1537.562671
235,225,1609.202223
236,276,1276.691844
237,261,1651.003449
238,257,1548.540921
239,253,1702.636974
240,255,1395.529733
241,272,1294.579799
242,273,1476.435062
243,256,1491.406120
244,256,1507.436489
245,257,1515.847415
246,258,1523.909008
247,280,1536.464057
248,260,1551.566197
249,260,1570.532529
250,281,1590.859431
251,282,1609.789327
252,263,1629.694090
253,263,1653.418583
254,284,1675.640202
255,272,1282.973570
256,273,1467.793835
257,279,1489.688478
258,279,1497.750070
259,289,1521.744664
260,290,1525.407259
261,280,1546.159136
262,282,1565.636267
263,283,1584.568819
264,293,1609.610241
265,284,1652.867322
266,277,1564.931156
267,317,1430.324047
268,255,1320.017328
269,277,1565.980067
270,287,1701.973997
271,-1,0.000000
272,297,1169.381316
273,304,1403.447118
274,296,1673.243086
275,300,1694.106368
276,297,1149.530686
277,298,1384.143739
278,304,1396.572388
279,321,1430.828475
280,290,1443.385112
281,291,1463.974878
282,291,1482.904773
283,292,1501.837326
284,283,1527.837326
285,293,1551.544468
286,295,1573.409747
287,296,1596.064177
288,303,1687.253148
289,299,1406.747925
290,321,1417.139351
291,309,1437.729116
292,309,1456.661669
293,292,1482.661669
294,322,1506.958714
295,313,1528.234089
296,313,1550.888520
297,341,1081.139093
298,276,1297.822189
299,337,1325.288180
300,312,1606.551014
301,305,1554.033210
302,308,1662.087351
303,308,1581.440814
304,299,1351.447118
305,298,1407.382264
306,333,1427.082861
307,315,1677.071483
308,312,1553.655207
309,338,1407.095148
310,326,1061.518684
311,329,1601.193561
312,353,1506.652015
313,322,1468.864316
314,333,1420.258518
315,336,1650.825722
316,328,1692.050564
317,323,1321.579898
318,330,1132.643954
319,329,1576.574209
320,328,1664.263650
321,323,1354.747925
322,327,1426.244837
323,337,1273.288180
324,340,1591.103359
325,317,1344.433563
326,334,935.618207
327,338,1366.140760
328,344,1638.017888
329,327,1405.038061
330,310,1106.643954
331,340,1564.944447
332,351,1661.657477
333,360,1375.082861
334,342,857.060903
335,347,1842.671977
336,344,1576.714319
337,349,1247.288180
338,346,1340.140760
339,336,1635.574323
340,353,1518.319776
341,326,990.231392
342,382,816.899977
343,389,1363.205904
344,359,1550.555382
345,352,1118.560670
346,364,1313.894999
347,351,1655.661549
348,347,1727.137769
349,318,1211.949250
350,396,1382.331174
351,355,1574.102123
352,370,1078.399744
353,360,1349.328622
354,365,1638.195107
355,356,1547.943186
356,359,1482.043186
357,349,1264.222857
358,330,1189.690929
359,346,1393.099102
360,357,1323.082861
361,363,1655.661549
362,361,1854.079921
363,355,1574.102123
364,318,1226.432493
365,357,1347.828718
366,363,1632.962127
367,356,1552.886746
368,364,1252.591430
369,334,943.389809
370,326,1024.518207
371,370,1049.918207
372,366,1784.512052
373,367,1657.089673
374,381,1330.818542
375,378,1418.776936
376,375,1577.337997
377,358,1243.417365
378,383,1345.758787
379,376,1636.198000
380,375,1555.687125
381,358,1269.154128
382,385,708.769223
383,368,1319.513026
384,388,1659.873729
385,392,543.545223
386,393,1373.509283
387,386,1529.509283
388,387,1578.314303
389,377,1269.417365
390,371,1092.537686
391,342,921.987036
392,271,498.700491
393,383,1345.758787
394,387,1637.147241
395,388,1724.816795
396,377,1288.542635
397,409,1374.137375
398,390,1157.295234
399,385,628.204836
400,368,1335.322923
401,403,1659.912770
402,405,1539.575556
403,404,1513.575556
404,405,1487.575556
405,407,1461.575556
406,407,1435.575556
407,393,1409.575556
408,378,1401.110210
409,389,1295.417365
410,403,1578.654278
411,371,1122.380749
412,381,1366.654128
413,400,1387.727599
414,413,1413.727599
415,413,1439.727599
416,406,1461.734494
417,386,1485.367139
418,406,1504.425320
419,418,1530.425320
420,404,1556.425320
421,410,1662.260139
422,429,913.299566
423,429,931.771019
424,374,1448.009369
425,374,1439.000102
426,419,1641.687398
427,402,1709.664298
428,402,1734.571402
429,382,840.863318
430,419,1666.237286
431,397,1440.639255
432,400,1435.401343
433,396,1390.283728
434,446,1461.705147
435,447,1480.455243
436,414,1475.392013
437,414,1487.839001
438,415,1513.839001
439,415,1532.109956
440,416,1554.116851
441,440,1580.116851
442,417,1616.177116
443,409,1409.986646
444,433,1416.529490
445,444,1442.529490
446,433,1435.459385
447,412,1454.209482
448,412,1466.813700
449,448,1492.813700
450,437,1514.084763
451,437,1533.014659
452,439,1558.355718
453,439,1577.285613
454,416,1598.920280
455,418,1621.685459
456,417,1644.244261
457,390,1281.336759
458,443,1476.296977
459,444,1452.313565
460,459,1484.731615
461,443,1491.306323
462,458,1584.427731
463,461,1548.102450
464,458,1581.023860
465,463,1594.283074
466,461,1562.350676
467,463,1748.654738
468,471,1633.560255
469,472,1612.789986
470,460,1611.731615
471,472,1594.942902
472,459,1563.162877
473,446,1614.194944
474,447,1831.786295
475,481,1837.200485
476,454,1827.951719
477,483,1704.447285
478,451,1713.878060
479,454,1810.622004
480,453,1711.389230
481,483,1624.942222
482,442,1805.967026
483,448,1536.750386
484,489,1839.616517
485,420,1820.449732
486,442,1675.533076
487,430,1808.162689
488,490,1786.410855
489,420,1670.956801
490,430,1726.232702
491,366,1936.671609
492,372,1988.607741
493,489,2035.303257
