node,parent,time
1,28,3466.652961
2,35,2130.346193
3,35,1879.423489
4,301,2158.362564
5,41,2127.442010
6,51,2135.810899
7,49,2138.109719
8,49,2081.247811
9,7,2220.640501
10,8,2212.144297
11,44,2168.458949
12,47,2128.639787
13,47,1753.690036
14,53,1775.810779
15,54,1814.876587
16,57,1846.255934
17,55,1901.153085
18,58,1912.662866
19,57,1991.046225
20,61,1965.633971
21,225,1069.713821
22,301,1048.456062
23,399,988.918991
24,23,1037.305456
25,429,642.738907
26,423,703.084222
27,25,953.084811
28,26,1026.978341
29,422,1022.960061
30,26,1008.940725
31,399,994.409248
32,30,1187.193719
33,23,1177.018034
34,33,1272.432917
35,24,1288.498071
36,24,1387.012891
37,38,1469.788053
38,33,1423.607429
39,31,1385.643461
40,31,1482.988003
41,305,1243.471054
42,235,1287.963205
43,224,1355.150191
44,43,1395.311117
45,21,1316.303217
46,235,1357.700043
47,224,1335.542252
48,42,1494.704227
49,42,1531.028464
50,43,1520.250191
51,41,1482.519104
52,277,1673.014446
53,21,1658.722565
54,210,1541.741126
55,216,1548.056540
56,210,1611.847368
57,55,1687.535929
58,65,1608.615353
59,65,1615.305204
60,170,1635.820954
61,58,1789.116267
62,59,1822.046225
63,60,1816.321868
64,170,1721.475264
65,190,1410.848925
66,61,2175.681462
67,63,2131.147613
68,60,2126.047534
69,63,2186.177637
70,84,2162.332430
71,128,2320.913743
72,149,2277.455280
73,82,2259.816615
74,82,2247.751026
75,121,2073.365941
76,154,2053.763103
77,132,1985.135944
78,87,2144.448400
79,122,1964.675260
80,86,2095.574826
81,86,2115.549032
82,87,1986.428448
83,64,1996.218271
84,64,1874.403515
85,149,1812.334855
86,139,1778.074826
87,139,1646.550087
88,112,1952.854599
89,112,1947.666417
90,97,1991.610885
91,93,1947.643979
92,217,1903.528260
93,217,1870.392895
94,202,1932.771706
95,120,1732.601790
96,122,1924.849609
97,119,1774.593190
98,101,1748.443658
99,117,1776.697631
100,144,1693.445393
101,119,1716.723633
102,110,1634.248042
103,164,1617.798409
104,124,1596.703684
105,134,1629.877437
106,129,1722.843054
107,146,1611.987771
108,133,1565.243685
109,168,1536.342517
110,153,1519.244651
111,124,1482.257316
112,127,1541.068028
113,127,1490.760486
114,213,1440.719792
115,123,1428.978475
116,154,1631.288179
117,146,1479.398254
118,203,1379.429570
119,148,1433.288561
120,138,1349.003145
121,132,1451.368561
122,159,1464.837077
123,138,1311.890261
124,153,1247.172885
125,129,1369.991578
126,160,1409.382103
127,135,1296.016911
128,174,1472.009926
129,179,1310.112282
130,142,1209.936844
131,135,1224.957137
132,179,1299.870178
133,208,1213.740043
134,150,1197.085558
135,150,1192.637174
136,156,1231.059966
137,148,1204.746687
138,169,1160.904102
139,163,1366.459459
140,244,1147.109762
141,184,1117.029699
142,169,1133.736844
143,207,1167.414159
144,208,1106.387704
145,160,1201.641591
146,156,1133.920903
147,172,1091.418743
148,172,1065.353825
149,163,1215.299764
150,182,1019.173979
151,191,1077.332172
152,180,1106.889371
153,184,956.991683
154,159,1104.655812
155,194,1144.875880
156,166,1029.194020
157,192,1036.334695
158,191,977.150345
159,180,1036.011657
160,166,994.337708
161,174,1096.670100
162,241,974.670520
163,171,1070.497485
164,212,851.997886
165,192,944.753694
166,197,926.803347
167,198,944.427639
168,203,856.447098
169,182,844.607374
170,171,1043.124050
171,176,1002.963123
172,206,826.742488
173,176,1017.509836
174,194,941.646843
175,236,1002.148559
176,209,920.432341
177,204,893.740368
178,239,1040.102864
179,197,845.501165
180,222,898.873771
181,190,1001.253560
182,206,779.849827
183,246,918.987018
184,212,739.602700
185,198,836.720960
186,230,868.697739
187,227,769.145309
188,200,811.129720
189,241,839.913494
190,222,956.753560
191,219,763.665311
192,221,784.445334
193,220,821.871887
194,230,846.366835
195,220,803.973562
196,251,878.259200
197,211,737.435028
198,231,767.993600
199,258,790.471139
200,204,745.733007
201,216,908.558028
202,213,660.094901
203,219,665.400376
204,221,722.879342
205,246,748.459788
206,211,653.279293
207,233,630.638824
208,223,621.233605
209,255,743.253054
210,240,869.298757
211,223,593.399998
212,229,580.677780
213,229,589.050548
214,265,921.200878
215,297,680.629461
216,209,800.049180
217,244,582.522866
218,231,624.556142
219,228,569.257878
220,247,596.718695
221,238,581.857181
222,255,665.968468
223,242,534.904699
224,225,895.075545
225,268,817.824460
226,270,841.610385
227,233,518.984321
228,242,479.077780
229,228,498.177780
230,276,619.182328
231,267,552.093600
232,237,618.787385
233,238,499.884321
234,256,518.276956
235,240,885.916989
236,297,571.004198
237,261,590.389321
238,243,473.714682
239,253,620.531535
240,268,692.781052
241,267,482.460280
242,273,394.839250
243,273,407.614001
244,243,433.614001
245,257,453.961857
246,258,465.381760
247,259,473.443352
248,247,499.443352
249,260,518.409685
250,261,530.670278
251,263,543.193296
252,263,562.159629
253,286,571.313144
254,253,597.313144
255,272,538.812304
256,289,422.378833
257,289,427.802920
258,280,439.222823
259,280,447.284415
260,259,473.284415
261,283,485.545008
262,284,508.972766
263,284,517.034359
264,286,537.094202
265,287,571.155795
266,298,853.383919
267,304,432.833171
268,276,550.790736
269,305,854.123219
270,274,613.311612
271,-1,0.000000
