node,parent,time
1,22,2957.894087
2,42,2071.855757
3,64,2024.768028
4,75,1969.627908
5,85,1876.907670
6,102,1768.126939
7,79,1694.913545
8,42,1739.734507
9,64,1858.495057
10,37,1837.788811
11,33,2752.669883
12,51,2676.929574
13,22,1411.826119
14,60,2459.587091
15,29,2176.691191
16,29,2147.884097
17,21,2466.503414
18,58,2449.445771
19,53,2063.901498
20,30,1899.268995
21,58,2428.403414
22,123,1242.772488
23,30,1842.877102
24,26,2558.238848
25,41,1814.416401
26,38,2512.448346
27,32,2512.898896
28,27,2541.296960
29,53,2014.449581
30,49,1766.677102
31,32,2508.338912
32,38,2418.536351
33,50,2485.933571
34,46,2488.089396
35,43,2368.233493
36,46,2470.182033
37,86,1634.528658
38,59,2349.808991
39,59,2330.926212
40,114,1619.063709
41,22,1507.995187
42,86,1608.794368
43,71,2304.733493
44,71,2321.469821
45,50,2356.474101
46,55,2361.974963
47,43,2327.670363
48,76,840.280119
49,22,1620.026156
50,55,2293.888160
51,73,2253.998599
52,76,831.572913
53,56,1767.417012
54,74,1643.505021
55,73,2256.930211
56,22,1690.165928
57,63,856.155621
58,70,2115.658518
59,91,2229.326212
60,70,2096.097380
61,74,1633.940381
62,81,2431.825169
63,82,793.661061
64,104,1499.284812
65,85,1630.497899
66,121,1310.549965
67,72,2406.148677
68,83,781.352438
69,75,1501.314826
70,93,2038.997380
71,91,2139.633493
72,81,2348.591749
73,93,2081.259923
74,92,1463.004107
75,92,1419.995149
76,82,677.070744
77,83,731.325206
78,98,1444.074767
79,116,1642.550104
80,116,1552.468948
81,113,2304.191749
82,108,651.670744
83,97,678.961765
84,97,716.838813
85,98,1422.467036
86,104,1221.046615
87,22,1853.429905
88,95,777.003459
89,90,766.233773
90,95,696.433773
91,105,2048.704840
92,115,1325.632603
93,87,1885.209930
94,103,1361.698132
95,111,678.473260
96,109,787.372482
97,101,612.651434
98,115,1322.134289
99,119,1327.634454
100,121,1051.397158
101,108,570.031954
102,133,1430.679551
103,119,1253.704012
104,149,1125.766606
105,22,1983.947292
106,113,2264.057251
107,101,648.565005
108,112,543.161897
109,124,715.530433
110,109,801.851983
111,112,586.892258
112,144,516.992258
113,122,2171.599856
114,155,1056.306976
115,149,1185.749759
116,158,1318.248454
117,141,1465.540542
118,132,1652.715549
119,171,1145.798127
120,140,1079.995750
121,148,968.827914
122,22,2079.142460
123,177,323.289220
124,111,643.688384
125,128,871.568349
126,125,973.168349
127,146,1044.868780
128,147,839.130716
129,141,1481.098538
130,138,1514.071193
131,172,1464.263848
132,138,1595.919422
133,158,1330.346804
134,137,1148.062189
135,124,714.705918
136,145,965.490218
137,136,1112.141164
138,133,1428.877003
139,156,1576.140901
140,155,965.561096
141,172,1333.446447
142,157,1705.626243
143,156,1478.299203
144,123,408.483410
145,147,796.051085
146,145,827.851085
147,154,643.122834
148,150,865.466606
149,148,935.266606
150,178,794.422254
151,180,1542.965668
152,168,590.304976
153,146,982.436466
154,144,466.040339
155,150,822.820317
156,169,1360.193107
157,163,1543.384633
158,170,1057.666240
159,180,1519.257059
160,175,1726.682405
161,194,1650.273488
162,178,856.817850
163,169,1434.739799
