node,parent,time
1,22,2958.835230
2,11,2885.240592
3,8,2787.265695
4,80,2858.300814
5,80,2739.707488
6,156,2602.112996
7,117,2529.246559
8,42,2501.545692
9,42,2620.876307
10,45,2916.603049
11,51,2726.110048
12,51,2645.345510
13,22,1412.767262
14,30,1408.473194
15,21,1296.990792
16,21,1265.224227
17,56,1216.835071
18,30,1418.304329
19,31,1127.400959
20,32,1695.580956
21,56,1187.741261
22,113,1243.713631
23,31,1038.252017
24,39,1566.775796
25,41,1815.357543
26,39,1521.708271
27,32,1523.207190
28,72,940.565659
29,107,1373.563978
30,107,1214.966088
31,71,907.374938
32,43,1428.844644
33,70,2461.152830
34,45,2728.183316
35,44,1354.941214
36,50,2710.615664
37,114,2396.778848
38,43,1362.255432
39,44,1324.142636
40,86,2379.330454
41,22,1508.936330
42,104,2370.605553
43,62,1316.464931
44,67,1255.751043
45,50,2594.203840
46,73,2604.240248
47,62,1316.580007
48,82,1231.265179
49,91,1131.017231
50,66,2531.617899
51,70,2222.414535
52,82,1222.869185
53,91,1128.554934
54,75,2414.552757
55,66,2499.524926
56,71,828.082283
57,77,1155.824317
58,60,1691.827766
59,72,662.033188
60,22,1657.678388
61,102,2522.004107
62,67,1171.662652
63,77,1162.136267
64,120,2262.400482
65,102,2505.257773
66,93,2380.174015
67,76,1139.882626
68,83,1129.135876
69,104,2270.882862
70,87,2012.140024
71,81,600.897777
72,81,531.705524
73,93,2325.953255
74,92,2235.588060
75,120,2190.814875
76,97,1017.864062
77,84,1009.208015
78,98,2216.286627
79,117,2483.380901
80,133,2407.316679
81,113,487.305524
82,76,1043.264062
83,95,1026.745202
84,101,991.247503
85,98,2194.678896
86,114,1983.791202
87,22,1854.371047
88,95,1053.433352
89,109,1058.108815
90,84,1029.347503
91,122,798.333296
92,115,2098.216556
93,105,2129.903262
94,115,2134.469682
95,108,954.903153
96,109,1058.978052
97,101,887.609504
98,103,2094.346150
99,103,2099.990626
100,122,899.351118
101,108,844.990025
102,133,2277.586738
103,119,2025.618790
104,140,1889.671254
105,22,1984.888435
106,154,865.030183
107,123,608.817262
108,112,818.119967
109,124,987.136003
110,124,1050.992333
111,97,953.919835
112,168,791.950328
113,177,354.713631
114,148,1816.106617
115,119,1958.333712
116,158,2216.571215
117,141,2281.239120
118,139,2438.037898
119,162,1917.712905
120,140,1837.946798
121,150,985.319672
122,123,664.353820
123,144,556.453820
124,112,915.293954
125,111,1234.472005
126,128,1255.563301
127,126,1331.763301
128,110,1122.009866
129,138,2304.748294
130,156,2328.456570
131,138,2286.862948
132,163,2384.535020
133,166,2177.253992
134,127,1436.490184
135,152,831.535352
136,128,1265.261323
137,136,1411.912269
138,141,2246.242141
139,163,2352.573929
140,148,1723.512144
141,166,2149.145024
142,157,2467.037630
143,187,2266.171876
144,113,471.259630
145,135,948.213413
146,135,978.121333
147,154,803.040722
148,178,1649.459055
149,155,960.696171
150,180,840.517393
151,113,494.989716
152,159,662.481721
153,146,1132.706714
154,167,625.958227
155,180,828.104278
156,179,2148.623537
157,165,2304.796020
158,172,1955.989002
159,113,532.966625
160,137,1555.596367
161,136,1440.468315
162,178,1665.625103
163,173,2199.980285
164,165,2326.812115
165,173,2212.338624
166,205,1957.155832
167,151,558.489716
168,113,587.854640
169,187,2097.503265
170,172,1841.521303
171,162,1694.023166
172,216,1822.421303
173,179,2077.768011
174,204,1946.475372
175,176,1262.249323
176,189,1020.949323
177,-1,0.000000
178,215,1482.746728
179,181,2057.750768
180,167,697.776614
181,188,1999.157851
182,188,1980.575327
183,204,1880.166084
184,212,1966.005064
185,208,1503.381602
186,181,2063.915399
187,182,2014.724705
188,205,1928.211885
189,152,891.434227
190,212,1831.806719
191,186,2166.306072
192,182,2030.202436
193,208,1646.260532
194,189,1222.186173
195,217,1929.812739
196,192,2048.162949
197,207,2141.966265
198,200,2063.632043
199,200,2047.728261
200,218,2027.711018
201,213,1907.974960
202,201,2009.574960
203,214,2016.185612
204,245,1739.143923
205,216,1755.473210
206,217,1783.659853
207,218,2022.154705
208,209,1307.805069
209,225,1230.553985
210,219,2026.633339
211,221,2281.786390
212,245,1557.028463
213,223,1730.020556
214,213,1831.620556
215,209,1257.494846
216,233,1584.451515
217,223,1705.126802
218,226,1900.077598
219,226,1968.127186
220,215,1298.115654
221,207,2119.040669
222,220,1482.653184
223,257,1662.552045
224,113,915.978934
225,224,1042.978934
226,233,1630.669914
227,224,1062.530256
228,251,1253.094619
229,224,996.300786
230,246,1930.827054
231,240,2104.092722
232,239,2247.529034
233,242,1467.363301
234,250,1440.978080
235,219,2039.171538
236,239,2221.360758
237,249,1648.493243
238,263,2324.568260
239,240,2124.283264
240,254,2067.083264
241,249,1855.870093
242,228,1441.193662
243,256,1151.741986
244,243,1247.041986
245,278,1408.922285
246,257,1655.082208
247,259,1991.839631
248,252,1381.413874
249,255,1620.095179
250,278,1330.060048
251,224,1076.204088
252,228,1361.301689
253,252,1463.096826
254,241,2008.501184
255,242,1554.785915
256,224,1043.747866
257,284,1389.871481
258,259,1975.353557
259,266,1827.062053
260,285,1221.547866
261,248,1452.431407
262,241,2002.045057
263,254,2105.221503
264,237,1955.715394
265,237,1933.890247
266,279,1704.958941
267,274,1880.526254
268,275,1421.703754
269,248,1494.441526
270,263,2321.955926
271,229,1202.846689
272,265,2012.423297
273,224,1167.426105
274,266,1795.866642
275,284,1298.457983
276,255,1642.977752
277,253,1563.562393
278,273,1215.760048
279,268,1602.325126
280,281,1970.645151
281,282,1824.545151
282,279,1634.045151
283,287,1469.387380
284,273,1270.059920
285,256,1145.347866
286,268,1558.088284
287,275,1348.021075
288,276,1683.138678
289,276,1800.068076
290,264,2172.733089
291,265,2096.131857
292,260,1426.329213
293,261,1697.419672
294,289,1842.687555
295,261,1632.932321
296,302,1697.123358
297,286,1773.659363
298,282,1836.964495
299,294,2116.354890
300,288,1854.164085
301,271,1326.092460
302,283,1656.962431
303,302,1721.719979
304,288,1870.805111
305,285,1261.232722
306,301,1529.343241
307,303,1903.556307
308,289,2053.022182
309,295,1803.868596
310,295,1767.935173
311,269,1709.328124
312,306,1603.621098
313,312,1679.821098
314,287,1498.939927
315,314,1581.439927
316,314,1600.539927
317,283,1625.049353
318,304,2058.380162
319,328,1680.029637
320,286,1751.945371
321,271,1445.911948
322,326,1755.618893
323,304,2106.802780
324,293,2001.515217
325,293,1951.419672
326,327,1701.382006
327,321,1472.782006
328,306,1617.535077
329,313,1938.851289
330,316,1668.008438
331,320,1796.846707
332,303,1875.507430
333,315,1657.899916
334,312,1730.621098
335,309,1930.868596
336,300,2115.981293
337,317,1755.377017
338,296,2030.100624
339,315,1692.357960
340,319,1885.204416
341,325,2053.810346
342,300,2173.046085
343,326,1805.569385
344,317,1805.550267
345,339,1724.077985
346,324,2163.756826
347,343,2029.216428
348,336,2220.089409
349,350,1769.866512
350,327,1699.966512
351,378,1813.448080
352,358,1779.860472
353,340,1998.796669
354,339,1755.857960
355,337,1845.634538
356,320,1918.592933
357,332,2034.227435
358,328,1751.462408
359,301,1598.773024
360,340,1975.525233
361,344,1911.262376
362,325,2175.157555
363,353,2099.262236
364,319,2005.907605
365,350,1786.376292
366,321,1638.693301
367,369,1946.342237
368,353,2146.902848
369,358,1887.846938
370,378,1746.846838
371,365,1837.528222
372,324,2360.949898
373,349,2142.525632
374,352,1903.126850
375,334,1949.120159
376,337,1914.077017
377,334,1952.780365
378,366,1692.965301
379,359,1732.700355
380,369,1944.643065
381,363,2317.878978
382,355,1980.380818
383,364,2160.930861
384,363,2363.312174
385,395,1963.412573
386,403,1879.432780
387,366,1727.823374
388,370,1868.787315
389,365,1889.737600
390,371,1996.658766
391,373,2313.551040
392,349,2156.128923
393,385,2091.840802
394,355,2044.420981
395,396,1889.134717
396,379,1800.234717
397,359,1786.286277
398,389,1930.436494
399,390,2093.379084
400,373,2445.847574
401,371,2031.110789
402,406,1891.779191
403,396,1828.632780
404,395,1917.532780
405,401,2057.304681
406,387,1859.999166
407,379,1856.023386
408,403,1933.359663
409,331,2287.245861
410,390,2281.976782
411,397,1852.596608
412,404,2186.940463
413,407,1960.750269
414,407,1884.421449
415,387,1895.507959
416,401,2082.312351
417,410,2348.258378
418,408,2171.329451
419,412,2386.293116
420,411,1895.216087
421,399,2304.749210
422,398,2114.550290
423,389,2045.419969
424,415,1952.304086
425,420,1926.996112
426,397,1923.069463
427,356,2303.466990
428,356,2372.688297
429,404,2278.981116
430,408,2109.793701
431,388,2053.397092
432,411,1953.011597
433,406,1979.810727
434,414,2015.361588
435,413,2101.772430
436,370,2057.192741
437,423,2104.002048
438,399,2309.652291
439,421,2394.551771
440,398,2223.951008
441,470,1571.261311
442,38,1585.182976
443,470,1551.741214
444,38,1613.415182
445,26,1687.939977
446,26,1667.883235
447,442,1643.775894
448,442,1671.600104
449,451,1601.256249
450,465,1572.354655
451,63,1564.212491
452,466,1531.128683
453,455,1545.761874
454,63,1551.717952
455,466,1496.134764
456,461,1480.661682
457,460,1510.965444
458,68,1498.971042
459,52,1497.931541
460,468,1452.459290
461,468,1416.839977
462,471,1419.630519
463,469,1478.318664
464,35,1473.555631
465,469,1449.108884
466,471,1381.705660
467,48,1420.064252
468,57,1346.747181
469,48,1391.908884
470,35,1386.641214
471,57,1266.702268
472,83,1260.965697
473,492,1289.262997
474,460,1530.992341
475,473,1644.503000
476,68,1549.772453
477,473,1496.566880
478,483,1526.044258
479,487,1474.832239
480,89,1422.003154
481,487,1331.820198
482,486,1355.992898
483,89,1265.412698
484,90,1216.860756
485,488,1377.410398
486,495,1296.060603
487,492,1259.978149
488,491,1320.614272
489,491,1334.764111
490,489,1392.321039
491,495,1263.818145
492,88,1174.783959
493,497,1388.916985
494,498,1322.088512
495,88,1161.427472
496,497,1422.919520
497,96,1225.610372
498,96,1161.368725
499,506,1247.133176
