node,parent,time
1,-1,0.000000
2,126,83.248147
3,2,88.156393
4,127,83.218609
5,128,29.390380
6,126,102.662784
7,4,97.931522
8,7,102.839767
9,8,107.748013
10,6,122.266211
11,4,117.410988
12,11,122.319232
13,11,127.224522
14,7,132.123900
15,12,137.032145
16,12,141.922660
17,13,146.827950
18,9,151.568262
19,18,156.476507
20,8,160.896704
21,20,165.804949
22,20,170.710238
23,9,175.125984
24,23,180.034230
25,24,184.942476
26,23,189.838897
27,24,194.747142
28,13,199.203529
29,14,204.102907
30,14,208.660587
31,30,213.568832
32,15,218.080409
33,15,222.543164
34,2,224.669504
35,3,229.577750
36,3,233.005810
37,34,239.382417
38,36,242.819345
39,36,247.718723
40,6,250.853008
41,40,255.761254
42,40,260.666544
43,16,264.968979
44,124,267.906131
45,16,272.557229
46,124,271.439037
47,122,275.885437
48,47,280.793682
49,47,285.698972
50,10,288.560134
51,50,293.468379
52,17,298.269719
53,10,296.283609
54,53,301.191855
55,53,306.097143
56,17,310.344912
57,109,308.044201
58,109,306.561771
59,110,301.680106
60,110,300.083282
61,116,297.119092
62,116,295.984917
63,65,293.982462
64,65,289.077173
65,121,284.168928
66,120,286.186160
67,120,284.935122
68,121,280.767085
69,118,278.778467
70,122,274.518291
71,118,275.021859
72,111,270.400917
73,111,267.525460
74,76,264.333492
75,76,259.428202
76,107,254.519957
77,94,251.535609
78,94,247.024032
79,95,242.115787
80,82,237.599437
81,82,232.694148
82,97,227.785901
83,98,222.889481
84,85,218.772075
85,97,213.863830
86,98,208.967409
87,89,204.411799
88,89,199.506509
89,99,194.598264
90,91,189.852014
91,100,184.943769
92,100,180.141585
93,96,175.383767
94,95,170.487345
95,96,165.579100
96,102,160.670854
97,102,155.806895
98,99,150.910474
99,104,146.002228
100,104,141.123521
101,108,145.940266
102,105,131.324760
103,107,136.215276
104,105,121.520093
105,106,116.611847
106,112,111.703601
107,106,116.611848
108,113,111.747889
109,108,116.656135
110,114,111.774470
111,114,106.883954
112,115,82.357507
113,112,87.265753
114,117,92.171041
115,128,67.644594
116,113,101.978666
117,115,77.458128
118,119,92.179908
119,117,87.271663
120,119,92.179909
121,125,88.011872
122,123,83.130224
123,125,78.221979
124,123,83.130225
125,5,68.408444
126,127,63.644720
127,5,58.736474
128,1,4.908245
