node,parent,time
1,51,16.128512
2,1,28.497829
3,22,35.406135
4,47,19.480299
5,12,19.517870
6,27,33.246155
7,23,43.800136
8,26,42.207577
9,5,31.887187
10,49,35.379855
11,38,45.875501
12,51,10.298326
13,18,34.154512
14,6,43.541785
15,37,32.457306
16,9,39.887187
17,12,20.147184
18,47,19.732307
19,4,34.245122
20,22,38.232876
21,50,45.354291
22,1,23.199580
23,48,37.717373
24,6,47.174543
25,14,49.944909
26,1,34.996474
27,1,24.190770
28,26,51.027694
29,50,48.724381
30,49,37.813957
31,26,45.046350
32,1,22.211274
33,37,43.685292
34,30,44.522161
35,20,45.303944
36,3,47.489181
37,17,25.246203
38,9,39.167297
39,10,45.379855
40,19,44.875268
41,4,32.933923
42,44,38.986817
43,23,50.755778
44,17,28.691187
45,44,38.986817
46,-1,0.000000
47,51,11.670049
48,1,28.497829
49,5,27.764081
50,9,37.544041
51,46,2.236068
