node,parent,time
1,27,18.298326
2,32,23.637822
3,22,37.575949
4,47,19.480299
5,12,26.889594
6,27,19.291453
7,23,36.554556
8,6,37.319209
9,38,32.554583
10,49,40.506019
11,32,18.639192
12,47,17.670049
13,18,46.127923
14,6,29.587083
15,37,34.931027
16,11,28.639192
17,4,27.096072
18,12,31.705718
19,4,34.245122
20,22,40.402690
21,2,38.402645
22,1,25.369394
23,6,30.471793
24,14,40.357413
25,18,42.886058
26,1,37.166288
27,51,10.236068
28,22,35.419269
29,2,32.693207
30,9,41.039864
31,28,41.743824
32,51,12.236068
33,15,46.592931
34,50,40.699171
35,29,48.217382
36,3,49.658995
37,12,27.719925
38,32,25.274473
39,49,49.919632
40,19,44.875268
41,4,32.933923
42,44,45.935706
43,23,43.510198
44,17,35.640076
45,44,45.935706
46,-1,0.000000
47,51,11.670049
48,6,28.235725
49,38,32.890246
50,16,34.296046
51,46,2.236068
