node,parent,time
1,27,18.298326
2,32,35.782843
3,22,37.575949
4,18,27.348080
5,12,26.889594
6,14,40.323567
7,23,34.140700
8,48,28.057938
9,38,41.240771
10,49,42.751578
11,32,30.784212
12,47,17.670049
13,25,49.584008
14,18,30.027937
15,44,41.082797
16,11,40.784212
17,37,32.818944
18,47,19.732307
19,4,42.112903
20,3,45.386199
21,2,50.547666
22,1,25.369394
23,48,28.057938
24,23,37.491919
25,14,36.431061
26,8,35.269040
27,51,10.236068
28,22,35.419269
29,2,44.838228
30,49,45.185680
31,8,37.277482
32,1,24.381088
33,15,52.744701
34,9,50.240771
35,3,47.625825
36,35,53.708587
37,12,27.719925
38,5,33.960661
39,10,52.751578
40,19,52.743049
41,4,40.801704
42,44,45.295665
43,7,46.182295
44,37,35.000035
45,15,47.791001
46,-1,0.000000
47,51,11.670049
48,27,18.838393
49,5,35.135805
50,38,45.141001
51,46,2.236068
