node,parent,time
1,32,18.318831
2,22,36.020044
3,28,44.926607
4,47,24.108575
5,12,19.517870
6,27,35.436473
7,23,50.285721
8,48,44.202958
9,38,32.627506
10,49,35.379855
11,32,18.639192
12,51,10.298326
13,41,46.996181
14,18,34.656214
15,37,38.042681
16,11,28.639192
17,4,31.724349
18,47,24.360583
19,41,42.562199
20,29,47.908612
21,50,42.106296
22,1,25.389898
23,48,44.202958
24,14,45.426543
25,18,35.540923
26,8,51.414061
27,1,26.381088
28,22,35.439774
29,16,37.858737
30,49,37.813957
31,28,41.764329
32,51,12.236068
33,10,47.462901
34,50,40.699171
35,29,53.382911
36,3,57.009653
37,5,30.831579
38,11,25.347396
39,10,45.379855
40,19,53.192345
41,4,37.562199
42,17,46.042170
43,23,57.241363
44,37,38.111689
45,15,44.750885
46,-1,0.000000
47,12,16.298326
48,27,34.983414
49,5,27.764081
50,16,34.296046
51,46,2.236068
