node,parent,time
1,33,32.043712
2,68,17.560220
3,44,32.506977
4,76,10.071068
5,30,32.707020
6,68,15.379129
7,46,27.352870
8,46,24.290612
9,39,31.893567
10,58,49.510830
11,7,43.164258
12,26,37.285411
13,34,41.762748
14,35,39.190107
15,5,40.769278
16,51,26.009386
17,76,11.062258
18,32,39.656129
19,8,31.906385
20,37,45.860850
21,48,47.597844
22,62,34.107759
23,16,38.815634
24,49,42.299998
25,9,42.189197
26,40,29.475162
27,34,36.572998
28,74,31.174447
29,5,39.415224
30,4,19.290612
31,39,43.801681
32,40,26.314465
33,6,23.981455
34,52,28.762748
35,8,29.290612
36,47,38.732141
37,5,39.778088
38,35,47.179156
39,40,27.770462
40,17,17.770462
41,1,43.224052
42,62,42.200996
43,1,38.751916
44,51,29.506977
45,29,43.887360
46,4,19.290612
47,30,32.329017
48,47,38.653572
49,16,35.228930
50,44,39.506977
51,17,17.465382
52,46,24.290612
53,7,35.955195
54,13,49.572998
55,32,47.123117
56,23,44.646586
57,27,48.779554
58,26,43.510830
59,19,49.794929
60,36,50.394045
61,74,39.331542
62,2,26.045501
63,33,30.064217
64,22,47.709229
65,53,49.883584
66,11,50.444368
67,4,17.071068
68,76,10.280110
69,47,43.329017
70,37,48.997632
71,36,45.803209
72,26,44.706708
73,6,27.041033
74,2,24.771322
75,-1,0.000000
76,75,3.000000
