node,parent,time
1,33,30.991478
2,62,34.029729
3,51,31.096764
4,76,10.071068
5,37,42.286810
6,51,27.499888
7,46,22.242598
8,46,19.180340
9,39,29.501782
10,72,31.893296
11,7,38.053986
12,76,15.083046
13,52,27.724344
14,35,34.079835
15,5,50.349068
16,63,35.094746
17,26,31.139507
18,32,42.067733
19,8,26.796113
20,37,41.298505
21,47,40.666506
22,62,33.606705
23,63,38.231528
24,3,45.238899
25,9,39.797412
26,12,22.893296
27,52,23.303446
28,74,32.285580
29,45,21.614272
30,29,30.614272
31,72,40.575468
32,40,28.726069
33,68,22.929221
34,46,16.416408
35,8,24.180340
36,47,40.745075
37,29,35.215742
38,35,42.068884
39,12,25.378676
40,12,20.182065
41,43,41.543492
42,1,41.621624
43,33,37.071356
44,17,43.788618
45,4,17.142136
46,76,14.180340
47,48,34.341951
48,29,28.017396
49,3,42.498518
50,32,36.341842
51,68,21.096764
52,46,19.180340
53,35,31.180340
54,13,35.534593
55,9,48.918270
56,63,43.878052
57,13,36.268347
58,72,29.083046
59,14,44.709981
60,37,46.920442
61,74,40.442676
62,68,25.544447
63,33,29.011983
64,62,46.757651
65,11,45.125054
66,11,45.334096
67,46,20.180340
68,76,10.280110
69,48,45.134639
70,37,44.435287
71,36,47.816143
72,12,24.083046
73,68,24.492780
74,4,25.882456
75,-1,0.000000
76,75,3.000000
