node,parent,time
1,8,1413.936628
2,12,1442.995283
3,17,1435.371140
4,17,1435.371140
5,21,1461.264890
6,21,1456.857406
7,31,1420.761918
8,24,1395.257053
9,11,1403.355621
10,24,1383.913578
11,74,1395.004687
12,27,1412.887530
13,20,1418.274357
14,30,1375.728601
15,74,1389.876434
16,31,1397.621580
17,27,1398.021477
18,26,1428.696904
19,26,1431.489341
20,39,1399.594783
21,45,1419.504578
22,32,1368.199893
23,56,1350.589693
24,44,1346.560749
25,32,1351.825105
26,45,1405.076904
27,42,1367.905883
28,39,1379.561801
29,53,1324.216662
30,53,1322.903728
31,47,1348.922848
32,44,1317.386296
33,40,1340.525112
34,49,1320.993814
35,40,1332.263616
36,46,1316.077299
37,56,1221.371932
38,46,1371.286257
39,42,1121.605518
40,58,1061.686354
41,51,1167.500024
42,53,917.726353
43,51,1081.258598
44,66,862.350749
45,64,917.261178
46,49,990.813384
47,44,874.160749
48,52,1062.437263
49,68,972.142662
50,52,1047.170556
51,68,862.592306
52,61,890.245090
53,58,684.725730
54,55,929.496126
55,71,904.424946
56,58,663.979218
57,61,821.601238
58,63,439.103288
59,-1,0.000000
60,65,797.498112
61,75,303.253065
62,93,453.692287
63,59,203.880149
64,85,296.983443
65,94,414.015849
66,63,222.567946
67,63,212.235324
68,71,312.935341
69,73,411.400061
70,63,215.690149
71,74,294.248177
72,62,802.941856
73,90,381.256029
74,67,228.950627
75,79,276.840629
76,81,348.786834
77,73,389.610497
78,88,351.135003
79,67,246.696598
80,86,273.749056
81,75,306.984660
82,88,378.236409
83,70,294.555726
84,78,369.822800
85,86,266.871772
86,79,255.051772
87,82,396.933378
88,83,324.699757
89,77,424.072284
90,83,354.843593
91,84,386.531027
92,80,308.210844
93,94,386.848767
94,90,363.198767
95,78,377.548334
96,67,265.060197
97,66,271.264250
98,100,331.200051
99,80,349.422907
100,74,312.503082
101,100,347.983082
102,95,566.509334
103,93,784.184505
104,95,578.319334
105,84,606.183726
106,132,1684.201471
107,109,1568.418151
108,110,1672.381982
109,135,1556.598151
110,136,1660.551982
111,137,1657.152500
112,114,1692.838426
113,115,1646.817533
114,138,1681.008426
115,139,1634.987533
116,140,1637.259496
117,141,1623.167533
118,140,1637.259496
119,116,1653.968431
120,118,1649.089496
121,118,1653.975507
122,124,1627.533634
123,146,1615.720702
124,146,1615.713634
125,147,1599.004697
126,148,1592.063632
127,150,1582.494663
128,150,1582.487595
129,153,1565.778660
130,132,1677.336081
131,133,1561.552761
132,136,1665.506081
133,135,1549.722761
134,111,1665.510502
135,37,1537.902761
136,117,1641.866081
137,139,1638.466599
138,119,1672.657492
139,141,1626.636599
140,145,1628.908562
141,143,1614.816599
142,144,1635.898704
143,29,1602.986599
144,123,1624.078704
145,147,1602.473763
146,125,1607.362700
147,149,1590.653763
148,151,1583.712698
149,151,1578.823763
150,153,1574.136661
151,23,1567.003763
152,153,1569.237726
153,23,1557.427726
154,156,1649.215220
155,157,1649.222288
156,180,1637.391220
157,180,1637.398288
158,159,1637.391928
159,181,1625.581928
160,158,1649.215928
161,182,1642.300761
162,184,1659.012527
163,185,1659.005460
164,186,1670.835527
165,187,1670.828460
166,162,1682.659527
167,189,1675.286012
168,169,1687.930157
169,191,1676.120157
