node,parent,time
1,8,1514.295113
2,17,1635.096559
3,27,1625.755531
4,17,1627.469822
5,21,1500.812780
6,21,1496.405296
7,16,1503.826481
8,24,1495.615539
9,15,1383.071935
10,26,1483.098514
11,15,1374.721003
12,27,1605.508888
13,20,1600.309282
14,30,1618.528701
15,58,1366.363001
16,31,1470.401537
17,39,1590.120159
18,26,1464.968100
19,24,1465.601976
20,42,1581.629708
21,31,1459.052468
22,25,1473.959347
23,56,1346.741222
24,44,1446.919235
25,47,1457.247582
26,44,1441.348100
27,39,1560.527242
28,47,1451.194540
29,53,1567.016762
30,53,1565.703829
31,45,1421.702805
32,45,1424.479524
33,40,1340.525112
34,49,1323.885043
35,40,1332.263616
36,46,1317.866964
37,56,1217.523460
38,46,1373.075922
39,42,1312.517242
40,58,1061.686354
41,49,1196.314875
42,66,1108.638077
43,50,1119.140657
44,64,962.709235
45,64,954.267201
46,51,992.603049
47,70,959.961197
48,55,1083.008544
49,51,975.033892
50,55,1070.443382
51,71,850.883049
52,76,966.540033
53,66,927.525830
54,57,923.786062
55,57,899.091364
56,63,660.130747
57,71,813.897722
58,63,439.103288
59,-1,0.000000
60,73,919.299990
61,63,280.956680
62,77,577.288337
63,59,203.880149
64,86,333.989467
65,73,536.345793
66,96,452.938055
67,61,352.873182
68,71,306.175621
69,87,542.210750
70,79,328.578393
71,63,287.488456
72,77,922.824095
73,82,498.961660
74,70,347.275361
75,68,343.559754
76,92,396.387671
77,82,491.223698
78,91,450.843017
79,80,291.193945
80,63,267.543945
81,74,424.351892
82,83,472.526414
83,91,448.876414
84,88,472.584713
85,63,245.660268
86,79,299.549119
87,78,499.595348
88,95,464.223169
89,87,529.739183
90,78,518.242736
91,67,432.168186
92,68,343.524335
93,83,527.751510
94,84,551.450065
95,96,447.507158
96,67,405.698055
97,86,352.409770
98,85,322.715333
99,98,346.362333
100,98,341.412302
101,99,354.714679
102,97,543.042410
103,93,925.087249
104,97,554.409924
105,95,665.284627
106,136,1642.277957
107,109,1642.270788
108,110,1630.622511
109,139,1630.450788
110,138,1618.792511
111,113,1618.785443
112,114,1607.344849
113,141,1606.965443
114,116,1595.514849
115,117,1595.507781
116,142,1583.694849
117,143,1583.687781
118,120,1573.360393
119,144,1571.878007
120,144,1561.530393
121,123,1556.641457
122,124,1556.628537
123,147,1544.821457
124,148,1544.808537
125,148,1544.815599
126,127,1545.256421
127,151,1533.446421
128,150,1545.256421
129,150,1545.263489
130,132,1635.949459
131,133,1635.942391
132,134,1624.119459
133,135,1624.112391
134,136,1612.299459
135,137,1612.292391
136,138,1600.479459
137,139,1600.472391
138,142,1588.649459
139,141,1588.642391
140,120,1580.225783
141,143,1576.822391
142,121,1564.999459
143,121,1564.992391
144,123,1553.179459
145,125,1563.501500
146,147,1548.280523
147,149,1536.470523
148,149,1536.450523
149,37,1524.640523
150,151,1536.905487
151,37,1525.095487
152,128,1553.607355
153,127,1552.132322
154,318,1712.652205
155,179,1712.571111
156,157,1724.021882
157,181,1712.211882
158,159,1722.556376
159,183,1710.746376
160,185,1721.822017
161,183,1710.746376
162,163,1723.200186
163,187,1711.390186
164,189,1722.850020
165,187,1711.390894
166,167,1724.341625
167,191,1712.531625
168,192,1717.080277
169,191,1712.530917
170,194,1705.256277
171,195,1705.249210
172,196,1700.354511
173,197,1688.544511
174,175,1700.354434
175,199,1688.544434
176,177,1700.355142
177,199,1688.545142
178,179,1716.028761
179,43,1704.218761
180,181,1715.670240
181,43,1703.860240
182,159,1719.105792
183,50,1702.394026
184,185,1714.961295
185,48,1703.151295
186,163,1719.748895
187,48,1703.038544
188,189,1715.989298
189,41,1704.179298
190,192,1720.550927
191,41,1704.179275
192,194,1708.727927
193,195,1708.720861
194,173,1696.903927
195,173,1696.896861
196,197,1692.002869
197,38,1680.192869
198,175,1696.903143
199,38,1680.192792
200,177,1696.904558
201,200,1708.714558
202,204,1245.034034
203,226,1246.521533
204,230,1233.214034
205,209,1236.182163
206,208,1224.352163
207,210,1222.254896
208,232,1212.532163
209,211,1212.532163
210,89,1195.820097
211,234,1200.702163
212,90,1184.328443
213,215,1199.239135
214,89,1184.818903
215,240,1187.419135
216,84,1178.878721
217,218,1177.076634
218,220,1160.367699
219,221,1172.177699
220,224,1148.547699
221,220,1160.357699
222,93,1155.153816
223,247,1153.416634
224,105,1124.897699
225,224,1136.707699
226,230,1238.167065
227,207,1240.951864
228,207,1230.609363
229,232,1230.603549
230,210,1214.517065
231,211,1219.399132
232,234,1204.177696
233,235,1214.833274
234,90,1192.347696
235,212,1203.003274
236,212,1192.682910
237,215,1195.773602
238,217,1185.431101
239,240,1185.431101
240,218,1168.722166
241,221,1179.045179
242,244,1167.225179
243,245,1168.712166
244,225,1155.395179
245,247,1156.882166
246,88,1152.173788
247,225,1145.062166
248,249,1147.498675
249,105,1135.688675
250,378,1100.040211
251,379,1102.824985
252,250,1111.864211
253,274,1105.242725
254,250,1123.687211
255,253,1117.065725
256,278,1133.777490
