node,parent,time
1,10,1441.982504
2,12,1417.807134
3,12,1421.117251
4,27,1410.053866
5,6,1423.654734
6,20,1415.289658
7,21,1421.702510
8,19,1423.303844
9,3,1466.140917
10,24,1407.533578
11,3,1473.986849
12,27,1387.699381
13,20,1391.376574
14,30,1461.473055
15,30,1475.490995
16,21,1412.707309
17,28,1439.326621
18,19,1400.683490
19,24,1388.863490
20,39,1372.697000
21,31,1386.272510
22,45,1426.916258
23,29,1411.410618
24,47,1370.180749
25,45,1412.686956
26,31,1383.387206
27,39,1342.717735
28,42,1367.905883
29,42,1384.998182
30,29,1408.648182
31,47,1348.922848
32,64,1401.520518
33,40,1360.683802
34,36,1305.509364
35,40,1352.422306
36,44,1297.149947
37,56,1221.371932
38,49,1370.440145
39,53,1094.707735
40,56,1081.845044
41,51,1167.500024
42,53,917.726353
43,51,1081.258598
44,66,862.350749
45,84,909.859978
46,49,990.813384
47,44,874.160749
48,52,1062.437263
49,68,972.142662
50,52,1047.170556
51,68,862.592306
52,61,890.245090
53,58,684.725730
54,55,929.941405
55,61,904.870224
56,58,663.979218
57,71,820.657442
58,63,439.103288
59,-1,0.000000
60,65,770.789766
61,75,303.253065
62,93,431.874290
63,59,203.880149
64,97,318.167320
65,94,387.307503
66,63,222.567946
67,63,212.235324
68,71,312.935341
69,73,401.402063
70,63,215.690149
71,74,294.248177
72,62,781.123858
73,90,371.258032
74,67,228.950627
75,79,276.840629
76,81,379.499879
77,73,379.612499
78,88,328.801496
79,67,246.696598
80,74,270.749831
81,61,337.697705
82,87,371.896324
83,59,233.985069
84,83,257.625069
85,74,245.660269
86,85,257.480269
87,94,353.199356
88,97,302.366250
89,90,356.675595
90,94,344.845595
91,84,274.333297
92,81,356.372537
93,89,365.030769
94,84,336.490421
95,88,319.082260
96,88,336.828038
97,63,257.353745
98,75,337.654204
99,98,361.301204
100,75,337.062992
101,98,356.351172
102,90,554.318911
103,87,787.180236
104,95,519.853260
105,73,614.014097
106,130,1653.638796
107,109,1650.236394
108,111,1643.305325
109,133,1638.416394
110,134,1631.478250
111,135,1626.589314
112,113,1626.579314
113,137,1614.769314
114,136,1614.783456
115,139,1598.060366
116,140,1614.769302
117,139,1598.060366
118,140,1614.769302
119,141,1614.762234
120,144,1553.548672
121,145,1553.541604
122,150,1665.100638
123,147,1536.839735
124,148,1653.646660
125,147,1536.839735
126,150,1643.308520
127,151,1643.301453
