node,parent,time
1,32,1557.905836
2,12,1560.664363
3,17,1556.687873
4,12,1554.176610
5,7,1543.141044
6,21,1536.705870
7,21,1534.783042
8,24,1545.820839
9,15,1537.076717
10,18,1527.215457
11,15,1528.725784
12,42,1530.556610
13,28,1533.779617
14,30,1506.349841
15,30,1520.367782
16,26,1519.360573
17,42,1519.338211
18,26,1508.545368
19,24,1515.807276
20,13,1552.459192
21,45,1499.353042
22,44,1505.923067
23,53,1476.264669
24,32,1497.124535
25,47,1493.130169
26,45,1484.925368
27,17,1549.453805
28,66,1488.797971
29,53,1451.759334
30,56,1453.524968
31,28,1526.182420
32,44,1462.689331
33,40,1458.102863
34,46,1406.179240
35,40,1449.841367
36,49,1399.912643
37,56,1349.452065
38,43,1448.703358
39,60,1537.998421
40,65,1179.264105
41,43,1244.554078
42,66,1040.115663
43,51,1157.340630
44,47,1007.653784
45,58,997.109642
46,49,1075.277920
47,61,995.843784
48,50,1148.316498
49,71,1056.607199
50,51,1131.604734
51,61,938.674338
52,71,981.900627
53,88,812.268402
54,57,1014.636132
55,57,989.941434
56,58,792.059352
57,64,904.747792
58,88,567.183421
59,-1,0.000000
60,69,741.543896
61,74,387.595974
62,73,398.764317
63,70,298.870987
64,74,342.616296
65,90,389.622274
66,64,384.415641
67,63,307.226161
68,67,401.816161
69,73,350.042997
70,84,287.060987
71,75,384.967674
72,69,746.177011
73,78,319.898965
74,67,323.941465
75,63,366.270706
76,92,433.390188
77,83,316.526732
78,91,266.362313
79,70,324.445436
80,85,362.944837
81,75,396.414737
82,95,344.793395
83,78,274.717488
84,59,230.979254
85,79,332.800610
86,80,381.642121
87,77,328.337732
88,95,316.496900
89,90,358.854897
90,87,347.024897
91,84,247.687482
92,79,380.526852
93,87,365.722181
94,77,342.940063
95,83,299.780890
96,91,296.439812
97,96,308.259812
98,85,409.855675
99,101,431.478238
100,97,394.324451
101,92,423.125893
102,96,484.116746
103,94,760.855408
104,82,567.163439
105,102,536.977397
106,108,1766.305675
107,135,1765.930179
108,134,1754.485675
109,133,1754.480108
110,136,1742.656186
111,136,1742.659346
112,117,1731.706536
113,139,1727.436193
114,140,1720.492715
115,139,1717.091737
116,142,1708.675129
117,141,1705.271737
118,120,1705.261737
119,142,1698.344816
120,121,1693.431737
121,145,1681.621737
122,124,1693.448805
123,147,1664.919869
124,146,1681.628805
125,146,1681.635873
126,128,1688.421711
127,148,1688.566937
128,153,1676.601711
129,152,1678.099625
130,132,1759.440285
131,133,1757.952094
132,134,1747.610285
133,113,1746.122094
134,115,1735.790285
135,113,1735.787127
136,117,1723.970285
137,115,1725.449751
138,140,1713.626814
139,141,1708.740803
140,143,1701.806814
141,143,1696.920803
142,121,1689.979739
143,145,1685.090803
144,124,1700.314706
145,123,1673.270803
146,123,1673.277871
147,37,1656.568935
148,149,1680.208935
149,147,1668.398935
150,152,1681.561622
151,149,1680.218935
152,153,1669.741622
153,37,1657.931622
154,319,1768.088051
155,179,1769.924710
156,154,1779.912051
157,179,1769.924710
158,159,1782.630688
159,183,1770.820688
160,161,1782.630688
161,183,1770.820688
162,163,1783.607083
163,185,1771.797083
164,188,1777.482594
165,187,1776.698848
166,167,1772.580828
167,191,1760.770828
168,169,1772.580120
169,191,1760.770120
170,192,1772.855979
171,193,1761.045979
172,173,1775.981946
173,197,1764.171946
174,175,1775.981869
175,199,1764.171869
176,198,1780.882928
177,199,1764.172577
178,319,1774.583142
179,52,1761.572360
180,157,1778.283419
181,157,1778.276352
182,159,1779.180104
183,52,1762.468338
184,185,1775.254734
185,50,1763.444734
186,163,1780.155793
187,48,1768.346498
188,167,1769.130244
189,48,1768.459192
190,169,1769.128829
191,41,1752.418478
192,193,1764.503630
193,41,1752.693630
194,171,1769.405396
195,171,1769.398329
196,197,1767.630305
197,38,1755.820305
198,175,1772.530579
199,38,1755.820228
200,177,1772.531994
201,177,1772.524927
202,226,1080.595232
203,228,1085.350838
204,230,1073.903775
205,230,1073.903775
206,208,1065.048773
207,232,1063.561786
208,232,1053.228773
209,213,1053.228773
210,212,1036.509838
211,236,1039.911786
