node,parent,time
1,18,1566.619883
2,4,1521.148348
3,17,1512.790334
4,17,1512.790334
5,21,1530.456617
6,13,1534.814011
7,20,1531.817675
8,24,1555.415694
9,27,1512.174966
10,18,1532.460623
11,9,1520.525900
12,45,1535.604327
13,20,1500.363371
14,30,1517.750705
15,9,1528.883901
16,21,1515.131103
17,27,1475.440671
18,31,1513.790535
19,26,1523.846180
20,28,1481.683796
21,28,1488.696304
22,25,1523.434760
23,30,1507.540680
24,32,1506.719391
25,32,1506.722995
26,31,1497.433744
27,39,1445.325077
28,39,1455.271360
29,45,1522.929476
30,58,1464.925832
31,42,1462.969385
32,42,1472.284186
33,40,1475.965317
34,49,1455.196369
35,40,1467.703821
36,49,1449.650662
37,83,1427.433020
38,43,1502.171307
39,53,1197.315077
40,53,1197.126559
41,51,1297.050004
42,56,1020.278450
43,51,1210.808579
44,63,1038.961558
45,58,1012.602131
46,68,1124.966651
47,63,1027.255411
48,52,1197.872820
49,68,1106.345218
50,52,1182.606113
51,71,992.142286
52,71,1025.680647
53,56,787.333072
54,57,1048.939164
55,57,1024.244465
56,65,760.920636
57,61,939.050823
58,78,582.675911
59,-1,0.000000
60,62,712.269920
61,64,420.702651
62,93,367.660105
63,67,407.578754
64,66,367.175938
65,89,329.810124
66,82,325.376593
67,88,399.223579
68,61,447.137897
69,93,336.247585
70,67,407.577340
71,75,428.747694
72,73,792.041616
73,69,366.391616
74,66,362.760726
75,74,410.050726
76,75,480.993726
77,82,257.999622
78,91,348.693794
79,86,409.971460
80,74,404.559929
81,80,440.029929
82,59,239.302338
83,73,415.143946
84,96,437.835476
85,79,418.326634
86,64,401.616286
87,69,378.862987
88,95,338.379799
89,77,292.461410
90,87,397.550152
91,95,330.018963
92,80,439.021717
93,89,300.816585
94,87,395.571922
95,77,321.663789
96,97,395.212304
97,88,383.392304
98,86,468.994964
99,92,480.799713
100,97,469.456943
101,92,481.620758
102,78,561.604149
103,62,753.514223
104,102,573.414149
105,91,552.389990
106,109,1794.339869
107,131,1789.355531
108,111,1794.339865
109,133,1777.630934
110,136,1784.490611
111,133,1777.623854
112,138,1772.673025
113,115,1769.269633
114,138,1762.328570
115,139,1757.439633
116,117,1757.429633
117,141,1745.619633
118,119,1756.079634
119,143,1744.269634
120,142,1756.072553
121,142,1756.079622
122,146,1751.975738
123,125,1751.979881
124,127,1745.051749
125,148,1740.159881
