node,parent,time
1,71,154.414543
2,195,103.320844
3,-1,0.000000
4,164,102.989186
5,191,94.317061
6,116,107.913464
7,126,96.478984
8,112,55.468207
9,26,113.820854
10,11,104.053456
11,157,82.213127
12,30,89.092183
13,193,122.167971
14,48,133.519279
15,52,115.894208
16,243,89.489664
17,259,137.261403
18,198,70.592478
19,213,66.408204
20,29,101.595417
21,72,115.032748
22,37,134.815538
23,111,113.268045
24,78,130.888502
25,104,58.123029
26,114,108.820854
27,250,100.777717
28,160,104.342306
29,132,95.270861
30,73,68.573899
31,79,144.339132
32,59,107.348909
33,185,90.922712
34,7,139.583508
35,28,131.249554
36,183,129.143784
37,116,107.229310
38,122,84.422158
39,223,96.046790
40,78,137.181934
41,109,112.229175
42,10,119.053456
43,237,77.063387
44,222,148.705659
45,128,142.560473
46,63,108.316111
47,168,128.614087
48,23,118.653210
49,30,91.897707
50,216,133.034059
51,67,114.843021
52,16,106.460227
53,27,140.589776
54,198,62.555804
55,168,131.289532
56,38,98.422158
57,203,95.046914
58,2,121.040889
59,181,80.948151
60,97,109.085216
61,133,112.313787
62,249,58.577505
63,208,99.371839
64,224,71.111176
65,83,133.920999
66,56,115.886407
67,59,105.787636
68,33,117.493373
69,237,68.234965
70,254,122.219656
71,19,132.210939
72,166,89.734527
73,190,48.449287
74,126,78.108018
75,162,81.932295
76,4,133.859884
77,216,131.955019
78,32,111.472014
79,166,93.299931
80,242,120.601495
81,74,123.052428
82,157,70.785381
83,217,117.796484
84,123,22.804494
85,111,126.409180
86,94,155.704914
87,258,125.237863
88,91,141.309098
89,9,129.976349
90,5,112.121555
91,180,124.279711
92,105,125.018285
93,179,114.490515
94,63,149.301790
95,7,134.688930
96,112,54.051799
97,132,83.065992
98,196,139.334867
99,254,119.275464
100,186,105.533376
101,64,88.831222
102,15,120.017314
103,66,124.941793
104,118,40.234486
105,97,102.170965
106,153,149.083839
107,174,144.629411
108,244,128.836642
109,20,103.009630
110,20,107.595417
111,171,104.048501
112,213,42.051799
113,56,121.767393
114,101,99.876583
115,186,112.500422
116,8,79.069054
117,92,147.378964
118,123,6.000000
119,192,134.368602
120,236,117.202331
121,248,137.292249
122,62,71.615910
123,3,5.000000
124,137,134.087276
125,64,77.193939
126,215,61.464701
127,201,146.034452
128,23,125.917156
129,133,121.509894
130,49,105.314114
131,214,96.185090
132,171,80.237565
133,191,95.109136
134,51,134.767880
135,84,28.189659
136,162,97.785410
137,261,119.087276
138,72,116.210931
139,231,143.646111
140,141,70.237745
141,104,48.836811
142,234,117.954306
143,48,126.268983
144,152,114.891101
145,100,110.533376
146,16,110.105193
147,201,135.648949
148,114,105.261747
149,192,158.107389
150,2,124.907877
151,50,150.498308
152,246,90.725009
153,148,117.303342
154,4,127.340777
155,244,140.462637
156,160,109.369559
157,62,67.179830
158,227,117.317996
159,51,152.045171
160,246,80.300675
161,200,107.077293
162,181,79.103868
163,69,79.415304
164,140,78.781749
165,85,140.969400
166,96,65.713703
167,253,130.131904
168,66,122.289532
169,171,65.568211
170,253,109.079925
171,84,58.860007
172,74,102.315455
173,261,110.938011
174,196,123.534387
175,136,125.856748
176,38,102.449915
177,135,47.502867
178,109,123.625158
179,200,103.673861
180,208,98.202902
181,169,71.892766
182,28,113.397691
183,217,122.740660
184,144,124.739958
185,213,65.624491
186,140,95.237745
187,161,114.887543
188,258,109.853087
189,9,134.216933
190,118,19.038405
191,207,86.506811
192,144,121.215656
193,125,91.754159
194,242,123.505688
195,125,91.616144
196,236,117.131263
197,241,119.164323
198,190,49.402858
199,251,86.307203
200,251,93.475822
201,32,115.951234
202,68,140.752779
203,82,93.632701
204,73,54.280239
205,79,137.504003
206,83,124.867552
207,96,66.258354
208,25,73.123029
209,138,127.256293
210,227,112.319750
211,5,110.595881
212,128,158.566811
213,123,32.202941
214,11,92.061984
215,104,51.414825
216,180,103.301921
217,195,106.616144
218,184,126.976026
219,52,114.460227
220,183,131.960204
221,61,126.206231
222,111,124.664029
223,122,78.019034
224,177,59.709422
225,43,86.007658
226,75,102.328374
227,29,99.513502
228,27,134.792420
229,71,142.110434
230,148,113.324005
231,19,132.332403
232,234,125.110953
233,15,126.939569
234,33,103.088237
235,241,86.732722
236,111,110.131263
237,249,61.831840
238,214,106.379805
239,260,127.397988
240,98,145.334867
241,82,82.490081
242,223,92.441239
243,169,80.434279
244,100,125.231091
245,67,129.953728
246,141,64.648199
247,91,157.581363
248,26,130.081146
249,177,55.749078
250,224,71.915978
251,25,76.011573
252,105,123.051578
253,101,97.375225
254,185,99.858976
255,252,128.051578
256,43,101.105017
257,137,126.897526
258,164,106.853087
259,75,121.136887
260,152,121.741134
261,250,101.882626
262,207,88.281070
