node,parent,time
1,71,157.040094
2,125,87.007965
3,-1,0.000000
4,81,96.021337
5,191,120.325079
6,215,79.612606
7,74,69.292074
8,190,63.927747
9,114,100.958377
10,131,95.732254
11,225,70.556364
12,18,126.779402
13,193,108.255188
14,22,128.634391
15,102,49.975028
16,118,24.638719
17,55,128.044986
18,54,106.779402
19,213,66.650844
20,29,98.003787
21,172,97.388057
22,199,99.479631
23,111,112.950768
24,259,135.312071
25,141,55.016637
26,253,96.281319
27,195,95.858364
28,160,101.035298
29,132,91.679231
30,207,108.297592
31,72,133.090897
32,15,87.511677
33,19,91.650844
34,7,112.396598
35,28,127.942547
36,170,113.940549
37,6,93.214077
38,122,67.403357
39,223,79.027989
40,259,140.490783
41,227,108.173340
42,256,104.790869
43,237,53.549834
44,74,92.096794
45,161,118.113036
46,63,105.209718
47,66,113.566596
48,236,117.624236
49,18,128.802117
50,216,129.927666
51,59,96.696792
52,102,58.579844
53,173,135.685792
54,204,95.377648
55,168,113.727164
56,38,81.403357
57,11,84.009988
58,2,104.728010
59,181,63.940113
60,97,105.493586
61,133,138.321805
62,157,72.592466
63,208,96.265446
64,163,64.646382
65,206,129.867987
66,256,102.386256
67,219,88.284827
68,138,132.394246
69,177,43.703738
70,99,127.192482
71,33,134.836490
72,185,72.650844
73,204,89.806845
74,104,46.819868
75,219,59.929488
76,4,126.892035
77,216,128.848626
78,136,118.251549
79,96,89.854390
80,66,111.820237
81,140,91.549201
82,224,65.745333
83,217,113.744654
84,249,94.519271
85,171,78.115696
86,94,152.598521
87,258,119.623495
88,91,138.202705
89,148,116.928844
90,5,138.129573
91,180,121.173319
92,105,115.385220
93,179,111.384123
94,63,146.195397
95,7,107.502020
96,213,50.803141
97,132,79.474362
98,255,134.629531
99,100,124.192482
100,186,101.565065
101,193,81.446927
102,16,45.851922
103,168,111.130289
104,116,41.819868
105,85,92.537901
106,26,136.105935
107,128,138.373717
108,244,124.868332
109,29,99.295004
110,20,104.003787
111,222,103.731224
112,213,42.294440
113,103,115.602425
114,253,87.356906
115,81,104.277123
116,118,27.502047
117,252,132.158561
118,3,4.242641
119,192,131.034041
120,199,103.816339
121,153,124.563928
122,237,54.597108
123,118,5.242641
124,137,122.746964
125,64,70.729144
126,116,29.738115
127,226,152.525077
128,179,113.373717
129,133,147.517912
130,49,142.218525
131,241,83.690659
132,171,76.645935
133,191,121.117155
134,59,116.266015
135,123,18.659049
136,233,96.047946
137,54,107.746964
138,21,100.993609
139,231,144.110634
140,104,64.623377
141,116,45.529804
142,254,133.059207
143,22,121.502347
144,152,111.584094
145,186,106.135503
146,135,23.758068
147,67,115.303339
148,114,92.742071
149,192,154.772828
150,58,108.728010
151,50,147.391915
152,246,87.418002
153,9,104.563928
154,4,120.372928
155,244,136.494327
156,160,106.062552
157,43,63.990141
158,20,113.268124
159,67,133.561753
160,246,76.993668
161,200,103.970900
162,181,62.095830
163,177,53.244628
164,140,73.167381
165,52,85.150505
166,19,87.266373
167,101,116.802266
168,56,104.727164
169,243,48.560173
170,125,90.853756
171,169,55.268377
172,215,74.716489
173,195,105.953654
174,196,123.217111
175,176,118.850795
176,233,91.192161
177,146,40.875311
178,109,119.910532
179,200,100.567469
180,208,95.096509
181,169,54.884728
182,28,110.090684
183,58,107.556437
184,144,121.432951
185,19,67.650844
186,172,91.269435
187,161,111.781150
188,164,104.231830
189,230,120.551105
190,112,56.716645
191,207,112.514829
192,152,117.881094
193,163,77.841375
194,42,112.790869
195,250,81.540543
196,236,116.813987
197,42,108.396420
198,73,90.806845
199,251,83.200811
200,251,90.369430
201,15,96.072750
202,68,155.653652
203,224,84.900092
204,250,83.975893
205,79,134.058462
206,217,120.812602
207,166,92.266373
208,25,70.016637
209,21,110.989528
210,227,108.773033
211,5,136.603900
212,45,135.577285
213,123,32.445582
214,11,80.405222
215,126,39.787991
216,180,100.195529
217,2,102.564314
218,184,123.669019
219,243,52.929488
220,183,116.775982
221,61,152.214249
222,85,83.115696
223,122,61.000233
224,69,55.745333
225,43,62.494106
226,136,104.110204
227,97,95.966785
228,27,129.873067
229,71,144.735985
230,170,99.456082
231,33,132.796926
232,209,135.748365
233,38,84.867606
234,19,103.758795
235,241,72.121911
236,111,109.813987
237,146,38.318288
238,131,93.888698
239,144,125.512482
240,255,139.188600
241,225,67.879271
242,56,89.465615
243,16,33.694104
244,100,121.262780
245,201,110.285420
246,141,61.341192
247,91,154.474970
248,9,117.359596
249,157,69.821092
250,69,58.737034
251,25,72.905181
252,222,105.587901
253,64,83.751355
254,138,113.642719
255,252,110.587901
256,223,82.587266
257,137,115.557214
258,164,101.238718
259,176,117.819215
260,156,120.484757
261,27,101.941126
262,96,84.744267
