node,parent,time
1,71,156.259742
2,82,118.852499
3,-1,0.000000
4,81,119.793345
5,133,119.345896
6,52,78.498792
7,74,90.564249
8,190,50.487029
9,101,117.806205
10,131,98.864029
11,223,65.306553
12,191,123.885706
13,214,119.198528
14,174,139.213945
15,146,106.251814
16,84,36.946629
17,55,126.108503
18,30,72.697047
19,112,66.655837
20,97,111.017657
21,213,118.731540
22,199,94.556841
23,120,105.218104
24,259,134.423652
25,104,57.254224
26,9,122.806205
27,250,116.650850
28,160,124.039860
29,132,103.987142
30,207,69.091496
31,185,128.483463
32,136,108.314526
33,19,91.655837
34,95,113.599773
35,260,124.891044
36,2,142.873323
37,6,92.100262
38,122,55.308458
39,16,64.405690
40,175,139.065341
41,227,120.436338
42,197,100.194119
43,38,70.960934
44,215,111.775726
45,179,120.269306
46,63,105.720348
47,168,109.115237
48,22,109.689587
49,12,129.270871
50,180,130.449203
51,59,105.160448
52,243,57.403769
53,137,103.086143
54,198,63.550671
55,168,111.790682
56,38,69.308458
57,11,78.760177
58,170,130.001412
59,52,72.403769
60,97,117.801496
61,5,137.373652
62,223,62.797778
63,251,96.776076
64,163,91.894028
65,250,151.820353
66,256,96.387558
67,59,97.243254
68,33,118.226498
69,237,73.324008
70,209,148.885956
71,185,134.056138
72,213,101.457604
73,96,49.397725
74,126,68.092044
75,219,118.251814
76,145,149.718494
77,46,129.574069
78,176,109.442551
79,262,81.165755
80,197,102.671330
81,172,115.321209
82,241,79.839680
83,195,135.718459
84,123,22.804494
85,181,90.452045
86,94,153.214853
87,164,145.060719
88,180,139.116638
89,193,132.978684
90,211,137.128673
91,216,122.419651
92,105,115.121785
93,46,112.791416
94,216,146.811729
95,246,108.500754
96,112,40.853721
97,132,91.782273
98,255,139.141520
99,209,146.225455
100,186,119.148056
101,203,94.719412
102,16,58.159833
103,113,108.475467
104,123,39.365681
105,171,92.274465
106,9,153.147399
107,252,149.098864
108,100,142.407463
109,29,111.602915
110,109,116.701935
111,85,112.812725
112,123,28.853721
113,66,104.003331
114,253,106.868967
115,145,127.324046
116,104,53.683502
117,255,137.031602
118,39,98.844041
119,239,130.845186
120,199,98.893549
121,153,151.291486
122,84,42.502209
123,3,5.000000
124,30,89.116480
125,163,97.492274
126,104,51.448727
127,259,152.441358
128,22,110.681357
129,5,146.658896
130,12,141.349955
131,57,86.822435
132,171,88.953846
133,191,118.345896
134,51,125.085306
135,122,62.725958
136,233,87.290730
137,54,75.919988
138,21,122.337092
139,231,144.540206
140,215,97.100877
141,104,47.968006
142,33,118.581661
143,120,117.141836
144,152,113.256653
145,186,123.718494
146,39,82.210184
147,136,136.484225
148,9,126.291486
149,192,156.445387
150,170,133.994413
151,50,147.913452
152,208,89.090561
153,26,131.291486
154,81,142.979843
155,244,154.077318
156,246,100.028532
157,249,71.457157
158,20,126.281994
159,51,142.362598
160,7,99.998230
161,200,106.208488
162,15,120.393950
163,249,80.492274
164,7,99.783793
165,8,100.527013
166,19,87.271365
167,214,132.194342
168,66,102.790682
169,243,60.868083
170,253,114.968116
171,169,67.576287
172,74,92.299480
173,204,78.315469
174,111,129.213945
175,242,111.208564
176,39,80.806909
177,237,70.526435
178,92,122.332887
179,200,102.805056
180,208,96.478627
181,169,67.192639
182,28,133.095245
183,82,137.874153
184,144,123.105511
185,19,67.655837
186,172,108.852426
187,161,114.018738
188,164,130.848242
189,9,138.202283
190,112,43.275926
191,166,109.743570
192,152,119.553653
193,203,93.774092
194,80,105.833608
195,177,109.641649
196,222,123.567961
197,256,96.588568
198,73,50.397725
199,25,78.278020
200,251,92.607017
201,226,116.816684
202,68,141.485904
203,11,78.908024
204,73,55.228677
205,262,124.731758
206,83,142.789526
207,96,53.060276
208,141,71.398755
209,21,132.333011
210,227,121.036031
211,133,133.966395
212,161,137.529407
213,8,67.487029
214,57,84.760177
215,116,65.085256
216,63,101.018717
217,195,124.641649
218,144,125.339699
219,15,111.251814
220,2,146.870350
221,211,150.729450
222,181,93.154149
223,122,48.905334
224,157,82.273810
225,43,79.905206
226,233,95.345774
227,29,108.229783
228,54,97.682767
229,71,143.955633
230,148,134.353744
231,68,133.226498
232,138,156.174940
233,39,76.110390
234,72,135.997436
235,157,81.655196
236,111,118.895488
237,62,66.920883
238,131,97.020474
239,156,120.028532
240,252,144.842032
241,11,68.134980
242,56,77.370716
243,16,46.002015
244,100,138.845771
245,226,130.856336
246,141,63.779394
247,91,155.721303
248,153,144.097735
249,62,65.626205
250,177,87.789111
251,25,75.142768
252,85,112.085353
253,101,103.263416
254,72,132.263448
255,105,115.099890
256,56,76.588568
257,18,82.697047
258,160,127.855006
259,242,116.930797
260,156,114.450737
261,198,70.247158
262,207,75.082992
