node,parent,time
1,71,154.657183
2,195,103.563485
3,-1,0.000000
4,164,131.034069
5,191,94.559702
6,116,108.156105
7,141,97.607088
8,112,55.710847
9,148,113.590363
10,241,106.077957
11,157,82.455767
12,198,87.053619
13,193,122.410612
14,174,136.638568
15,52,106.614673
16,243,80.210129
17,259,145.444125
18,73,68.827871
19,213,66.650844
20,97,125.292708
21,172,89.175923
22,37,135.058179
23,111,126.026000
24,75,124.276398
25,104,56.365670
26,148,108.710633
27,195,106.176606
28,160,131.082699
29,132,118.262193
30,73,66.816540
31,79,144.581772
32,75,102.334404
33,185,92.949066
34,95,146.811865
35,260,123.671965
36,183,130.515081
37,116,107.471950
38,122,84.664799
39,43,96.722515
40,24,130.600953
41,97,134.288512
42,10,121.077957
43,237,77.306027
44,37,123.124426
45,179,123.027958
46,180,105.712545
47,66,127.309388
48,196,120.457835
49,30,90.140347
50,91,131.501293
51,67,105.563485
52,16,97.180691
53,173,140.912789
54,204,108.799232
55,47,130.914939
56,38,98.664799
57,203,95.289555
58,2,121.283530
59,181,71.668615
60,20,133.354966
61,133,112.556428
62,249,58.820146
63,208,97.614480
64,224,71.353817
65,206,144.024351
66,56,116.129048
67,59,96.508100
68,33,119.519726
69,237,68.477605
70,209,119.330338
71,19,132.453580
72,166,89.977168
73,190,46.691928
74,126,76.350659
75,162,72.652760
76,115,124.685934
77,46,129.566265
78,226,104.907583
79,166,93.542572
80,242,120.844135
81,186,93.057300
82,157,71.028022
83,27,129.002030
84,123,23.047135
85,169,75.498047
86,94,153.947555
87,258,150.357545
88,91,139.043846
89,26,129.734429
90,5,112.364195
91,216,122.014460
92,105,112.767572
93,216,112.613525
94,63,147.544430
95,28,141.712845
96,112,54.294440
97,132,106.057324
98,117,140.914227
99,209,116.669837
100,186,93.352930
101,64,89.073862
102,15,110.737778
103,66,125.184433
104,118,38.477126
105,85,89.920253
106,153,148.976412
107,14,147.818908
108,145,117.220892
109,29,125.877966
110,109,130.976986
111,252,116.806455
112,213,42.294440
113,242,123.732229
114,253,94.064342
115,100,101.599141
116,8,79.311695
117,105,132.370223
118,3,4.242641
119,239,129.626107
120,22,139.530315
121,248,137.182027
122,62,71.858550
123,118,5.242641
124,137,134.329917
125,64,77.436580
126,215,59.707342
127,78,139.577455
128,22,151.182694
129,133,121.752535
130,30,103.531659
131,11,95.797431
132,85,103.228897
133,191,95.351777
134,51,125.488344
135,84,28.432299
136,162,88.505874
137,261,119.329917
138,21,92.781474
139,231,145.833435
140,126,94.492396
141,246,78.371704
142,234,119.980660
143,255,122.515463
144,152,112.803217
145,100,98.352930
146,16,100.825657
147,51,127.104144
148,101,105.105082
149,192,155.991951
150,58,125.283530
151,46,148.759031
152,246,88.637125
153,9,117.195914
154,115,119.847429
155,244,128.848814
156,246,98.809453
157,62,67.422471
158,227,140.309328
159,134,144.904832
160,7,107.041069
161,200,108.967141
162,181,69.824333
163,69,79.657945
164,7,106.826632
165,222,138.964952
166,96,65.956343
167,114,123.593988
168,56,121.988606
169,84,56.288675
170,253,102.163490
171,132,124.606455
172,213,66.504354
173,261,111.180652
174,143,126.638568
175,136,116.577212
176,38,102.692555
177,135,47.745507
178,227,144.436546
179,200,105.563709
180,251,95.514505
181,169,62.613230
182,28,140.138085
183,58,124.111957
184,144,122.652075
185,19,67.650844
186,172,83.057300
187,63,115.642236
188,164,137.891081
189,9,133.986441
190,118,17.281045
191,207,86.749452
192,152,119.100217
193,125,91.996799
194,256,124.690076
195,125,91.858785
196,255,115.358816
197,256,122.129048
198,190,47.645498
199,251,84.549844
200,208,95.365670
201,67,109.546505
202,68,142.779133
203,82,93.875341
204,250,97.397477
205,79,137.746644
206,27,134.968966
207,96,66.500995
208,25,71.365670
209,21,102.777393
210,41,135.288512
211,5,110.838522
212,143,155.272141
213,123,32.445582
214,11,92.304625
215,104,49.657466
216,180,100.613525
217,2,119.119834
218,144,124.886263
219,52,105.180691
220,183,133.331501
221,61,126.448872
222,252,127.964952
223,122,78.261675
224,177,59.952063
225,43,86.250299
226,59,90.694913
227,29,122.504834
228,173,135.222282
229,71,142.353075
230,114,107.102746
231,68,134.519726
232,234,127.137306
233,15,117.660034
234,33,105.114591
235,241,86.975363
236,111,122.889218
237,249,62.074481
238,131,105.995470
239,156,118.809453
240,117,140.914227
241,82,82.732722
242,223,92.683880
243,169,71.154744
244,145,113.617267
245,201,123.759175
246,104,62.560315
247,88,155.687163
248,26,129.970925
249,177,55.991718
250,224,72.158618
251,25,74.254214
252,255,105.492747
253,64,90.458790
254,33,103.719395
255,169,100.492747
256,38,102.129048
257,18,78.827871
258,7,131.972768
259,176,129.319609
260,156,113.231658
261,250,102.125267
262,166,88.759852
