node,parent,time
1,231,200.398179
2,195,130.270484
3,-1,0.000000
4,140,125.035893
5,191,149.641252
6,16,100.502721
7,160,85.291280
8,3,12.649111
9,26,129.865729
10,214,97.644807
11,225,99.120094
12,133,158.049101
13,131,129.924414
14,143,164.199261
15,102,104.007872
16,116,83.859404
17,55,142.888972
18,54,140.562635
19,185,143.141633
20,227,157.796973
21,172,128.582936
22,199,134.334156
23,120,144.995419
24,259,150.405896
25,141,97.031540
26,148,124.865729
27,195,132.883605
28,95,152.313887
29,132,151.557222
30,207,137.613765
31,234,184.525140
32,78,140.674953
33,138,149.276495
34,188,144.834883
35,260,170.730007
36,183,149.143462
37,6,114.104191
38,146,113.991064
39,43,89.884767
40,259,155.584608
41,109,167.854240
42,197,116.870857
43,163,70.468279
44,25,123.957364
45,161,159.872958
46,63,145.409783
47,168,125.895707
48,22,149.466902
49,30,160.937573
50,216,170.371317
51,67,151.689635
52,243,104.316543
53,173,171.810987
54,204,129.160881
55,168,128.571151
56,256,104.439872
57,214,88.024307
58,170,140.510958
59,162,119.375838
60,29,164.710168
61,133,167.637978
62,223,96.464999
63,251,136.465511
64,250,109.363746
65,36,168.942452
66,242,113.168027
67,226,142.634250
68,142,158.285538
69,62,106.464999
70,108,147.494556
71,68,181.630773
72,74,139.956103
73,112,111.384507
74,141,98.725047
75,52,114.946689
76,154,148.741670
77,63,169.222190
78,136,136.551847
79,166,153.301854
80,256,117.084621
81,164,110.694392
82,157,95.143555
83,217,154.278341
84,146,94.989348
85,165,123.125198
86,151,193.220731
87,188,150.487359
88,216,178.849126
89,114,145.979212
90,5,167.445746
91,180,161.893887
92,105,160.394723
93,200,151.343720
94,50,187.835566
95,258,141.683741
96,73,119.928511
97,181,138.901879
98,255,170.809550
99,244,145.810661
100,145,128.224356
101,57,105.228958
102,39,99.884767
103,113,125.255936
104,8,42.615759
105,85,137.547403
106,9,165.206923
107,143,175.303928
108,244,141.170001
109,227,158.634696
110,29,163.722747
111,222,140.180507
112,215,91.160759
113,66,120.783800
114,253,117.378513
115,81,123.422314
116,104,56.933580
117,255,168.699632
118,123,88.017945
119,239,176.684149
120,199,138.670864
121,153,153.351010
122,157,107.538004
123,237,87.017945
124,137,156.530198
125,64,115.446509
126,118,112.716123
127,24,168.433652
128,22,150.458672
129,61,177.687854
130,30,174.328885
131,57,96.086565
132,181,136.523926
133,191,150.433328
134,162,171.489208
135,84,100.374513
136,176,114.348244
137,54,141.530198
138,21,132.188487
139,231,182.919528
140,7,95.489319
141,215,87.544707
142,209,156.049470
143,120,156.919152
144,180,159.817078
145,81,123.224356
146,249,88.281144
147,201,163.579128
148,101,121.260177
149,94,198.605896
150,58,144.510958
151,50,187.835566
152,208,125.619039
153,26,133.351010
154,115,141.670602
155,108,152.874701
156,152,145.867495
157,177,91.538004
158,97,167.694240
159,201,185.112469
160,104,75.857299
161,179,145.730823
162,52,115.133197
163,8,45.770101
164,160,88.022824
165,6,108.564979
166,198,125.715626
167,13,143.924414
168,66,119.571151
169,171,119.871450
170,253,125.477661
171,243,113.163246
172,164,105.911368
173,261,142.078849
174,48,155.549665
175,56,131.272688
176,39,106.285986
177,249,78.499599
178,105,165.006464
179,200,142.125272
180,152,135.817078
181,171,114.163246
182,95,148.963851
183,170,142.740338
184,144,169.665935
185,74,142.141633
186,172,122.464313
187,179,153.527026
188,258,134.834883
189,9,150.261807
190,123,99.059539
191,207,141.831003
192,144,166.141633
193,82,116.614466
194,197,118.650471
195,250,118.565784
196,111,150.180507
197,10,113.265306
198,112,112.373962
199,25,118.055336
200,208,131.927232
201,226,143.881412
202,99,177.716773
203,131,105.520546
204,198,117.759127
205,234,182.015408
206,114,160.978971
207,73,121.582546
208,246,107.927232
209,145,132.279741
210,97,167.537522
211,5,165.920073
212,161,177.051742
213,118,115.820822
214,235,82.024307
215,116,68.335334
216,251,140.639179
217,64,143.098002
218,184,171.902003
219,15,109.007872
220,183,151.959882
221,61,181.530422
222,165,119.564979
223,235,82.572555
224,163,50.242237
225,223,91.057836
226,136,122.410502
227,132,154.634696
228,261,166.008309
229,68,190.238629
230,148,129.322435
231,142,171.605819
232,99,157.893707
233,102,110.325073
234,209,149.999787
235,224,67.706486
236,37,144.974889
237,224,64.170625
238,10,104.924916
239,156,165.867495
240,98,176.809550
241,225,96.443001
242,43,87.672930
243,16,92.914789
244,115,137.564450
245,78,158.022758
246,7,98.707688
247,91,195.195539
248,153,146.157258
249,237,70.253388
250,177,95.762275
251,246,114.832204
252,85,144.758506
253,101,113.772961
254,21,144.738430
255,222,146.767920
256,242,97.159763
257,137,149.340448
258,140,131.834883
259,176,132.913040
260,156,160.289700
261,204,133.023464
262,166,148.519135
