node,parent,time
1,31,168.741888
2,125,80.338683
3,-1,0.000000
4,164,107.172377
5,191,89.150422
6,16,54.829666
7,104,84.280300
8,118,15.644395
9,114,94.289095
10,241,82.397877
11,225,61.841477
12,18,92.502742
13,193,100.054016
14,174,120.468207
15,102,45.196705
16,84,38.186349
17,259,105.318191
18,207,72.502742
19,166,73.338235
20,132,106.437052
21,72,103.417006
22,44,97.500020
23,111,100.955878
24,259,106.686531
25,141,75.983136
26,114,89.631896
27,204,74.914493
28,160,117.232421
29,97,100.445766
30,207,69.298578
31,79,138.377435
32,136,88.446202
33,185,98.417006
34,95,128.306472
35,260,143.419341
36,183,105.977191
37,6,68.431136
38,223,58.293938
39,62,67.180027
40,24,113.011087
41,210,115.107803
42,10,97.397877
43,122,45.599018
44,37,84.083612
45,23,130.024762
46,199,124.275619
47,175,98.710536
48,236,105.629346
49,54,96.679038
50,180,149.102547
51,67,96.122874
52,15,54.630686
53,137,102.972970
54,198,63.437498
55,175,98.769259
56,38,72.293938
57,11,75.295101
58,2,98.058728
59,75,62.228004
60,97,113.426585
61,133,107.147148
62,237,42.441393
63,251,115.504987
64,163,57.977100
65,173,110.451327
66,56,89.758187
67,59,87.067489
68,234,125.347354
69,190,35.395006
70,254,131.548015
71,205,149.653077
72,185,78.118785
73,112,49.284551
74,213,55.315963
75,219,57.128985
76,154,138.595036
77,187,146.109944
78,226,89.697334
79,19,87.338235
80,56,93.317734
81,164,105.636508
82,177,52.808410
83,261,97.152497
84,135,24.044213
85,243,75.098511
86,94,169.239439
87,4,135.029153
88,93,157.576181
89,101,108.658085
90,5,106.954916
91,93,140.975894
92,85,108.113659
93,161,127.047505
94,152,162.836314
95,160,123.207453
96,112,41.060803
97,59,87.407361
98,252,124.167006
99,254,128.603823
100,21,113.712636
101,224,73.049097
102,84,41.073600
103,113,101.846097
104,215,59.949250
105,169,87.107803
106,148,129.442931
107,174,131.563230
108,209,132.669937
109,227,107.524026
110,20,112.437052
111,165,91.736334
112,8,29.060803
113,66,97.373961
114,253,80.687624
115,81,118.364430
116,126,61.054854
117,252,122.934789
118,3,4.242641
119,239,149.373483
120,44,100.576035
121,153,117.894646
122,146,38.890814
123,118,5.242641
124,18,89.765419
125,64,64.059862
126,215,58.818786
127,78,124.367206
128,23,113.604989
129,12,114.525458
130,12,109.966992
131,241,74.864030
132,75,85.413256
133,191,89.942498
134,51,116.047733
135,123,18.659049
136,233,67.422406
137,54,75.806815
138,72,104.595189
139,231,151.661063
140,74,74.420936
141,74,66.496303
142,234,125.448600
143,48,113.245119
144,208,132.031887
145,81,118.166472
146,135,23.758068
147,67,114.086001
148,253,86.026345
149,94,173.606644
150,58,102.058728
151,152,164.357709
152,246,108.384501
153,9,97.894646
154,4,131.523968
155,209,144.083476
156,246,118.556829
157,249,50.232002
158,29,118.250260
159,51,133.325025
160,104,93.190791
161,22,119.431732
162,219,59.348529
163,69,46.575345
164,140,82.964940
165,6,62.891924
166,96,52.722707
167,101,108.404436
168,66,96.161312
169,243,62.107803
170,125,84.184474
171,162,67.158779
172,140,87.420936
173,204,78.202296
174,236,110.468207
175,176,90.225255
176,233,62.566622
177,190,37.284235
178,105,114.566863
179,22,116.473686
180,251,115.131971
181,162,66.559632
182,28,126.287806
183,2,99.574067
184,192,141.758593
185,166,73.118785
186,172,103.973882
187,161,127.241982
188,7,121.616610
189,170,113.390638
190,123,17.284235
191,30,81.340173
192,208,138.153042
193,224,69.640203
194,80,96.480012
195,177,76.399450
196,222,104.305736
197,242,95.510955
198,73,50.284551
199,37,91.625963
200,199,109.317769
201,226,96.955575
202,68,148.606761
203,11,75.442948
204,73,55.115503
205,79,131.542307
206,261,102.383015
207,96,53.267358
208,25,90.983136
209,138,115.640550
210,169,114.107803
211,5,105.429243
212,48,144.833938
213,8,32.644395
214,225,70.808606
215,213,48.768910
216,63,119.747628
217,27,90.725881
218,192,143.983993
219,102,50.128985
220,183,108.793611
221,129,120.850013
222,165,73.891924
223,122,45.293938
224,69,47.436600
225,223,53.779220
226,136,75.484664
227,132,103.524026
228,137,98.610323
229,31,156.625723
230,170,92.786799
231,68,140.347354
232,142,134.392872
233,15,56.242066
234,33,110.582531
235,43,59.491462
236,111,97.819096
237,146,38.318288
238,131,85.062069
239,156,138.556829
240,255,129.641454
241,43,59.052642
242,38,66.356196
243,16,47.241734
244,138,129.595189
245,78,111.168245
246,141,82.307691
247,187,173.045912
248,9,110.690314
249,237,44.401050
250,163,54.385595
251,25,93.871680
252,222,96.364129
253,64,77.082073
254,33,109.187336
255,85,101.040754
256,242,75.843029
257,30,82.451524
258,7,118.645981
259,176,89.193676
260,156,132.979034
261,198,70.133984
262,19,87.656056
