node,parent,time
1,-1,0.000000
2,12,76.502815
3,10,34.142136
4,11,58.284271
5,13,66.502815
6,5,76.502815
7,14,80.644951
8,7,90.644951
9,1,10.000000
10,9,20.000000
11,3,44.142136
12,11,54.142136
13,3,56.502815
14,13,66.502815
15,14,76.502815
16,15,86.502815
17,27,60.644951
18,9,24.142136
19,12,68.284271
20,10,42.360680
21,20,52.360680
22,29,70.644951
23,21,72.360680
24,23,82.360680
25,17,70.644951
26,34,62.426407
27,18,38.284271
28,18,46.502815
29,20,56.502815
30,21,66.502815
31,30,76.502815
32,23,86.502815
33,34,62.426407
34,27,52.426407
35,26,76.568542
36,28,56.502815
37,28,60.644951
38,29,70.644951
39,30,80.644951
40,31,90.644951
41,33,72.426407
42,33,76.568542
43,36,70.644951
44,36,66.502815
45,37,70.644951
46,37,74.787087
47,38,84.787087
48,38,93.005631
49,41,82.426407
50,43,84.787087
51,43,80.644951
52,44,76.502815
53,44,80.644951
54,45,84.787087
55,46,88.929222
56,47,98.929222
57,41,92.426407
58,50,94.787087
59,51,90.644951
60,52,86.502815
61,45,90.644951
62,46,94.787087
63,54,98.929222
64,55,103.071358
