node,parent,time
1,28,718.233953
2,40,1875.447861
3,46,2231.459106
4,19,2118.212049
5,39,2649.273147
6,1,1115.086570
7,9,1416.215375
8,92,1650.466628
9,51,1365.965997
10,49,1582.755796
11,32,1930.470084
12,77,2642.888707
13,82,2541.620621
14,34,2381.131358
15,32,2008.648318
16,53,2213.712055
17,15,2021.686723
18,79,1964.663777
19,90,1745.872150
20,77,2489.304977
21,63,2242.753640
22,16,2283.890399
23,91,1705.007199
24,18,2146.003237
25,51,1278.498973
26,4,2535.274394
27,62,2589.674495
28,58,302.597092
29,34,2083.611703
30,81,2268.020300
31,42,2120.362969
32,91,1728.616177
33,13,2642.283424
34,7,1783.110455
35,62,2525.992110
36,84,2044.816350
37,68,2628.063828
38,84,2061.332493
39,68,2211.887733
40,64,1538.942289
41,3,2682.246195
42,92,1891.343319
43,55,2206.910077
44,73,2039.759512
45,98,2027.308873
46,55,2092.196763
47,1,1147.430877
48,29,2605.627029
49,6,1162.160979
50,69,1627.190102
51,28,1024.268762
52,78,2593.364300
53,79,1958.020835
54,64,1639.186657
55,9,1663.524394
56,75,2450.951132
57,87,1758.972215
58,-1,0.000000
59,11,2291.741450
60,23,2050.331684
61,67,2419.996985
62,60,2201.384655
63,47,1568.310908
64,69,1458.493547
65,4,2265.388813
66,19,2242.987831
67,69,1822.991122
68,25,1723.026812
69,28,1161.115001
70,16,2428.560839
71,46,2630.873847
72,10,1852.407423
73,50,1807.015017
74,11,2259.164471
75,63,2080.951132
76,82,2620.533212
77,23,2087.244037
78,85,2553.364300
79,90,1735.011866
80,8,2088.974325
81,25,1329.977124
82,50,2141.774400
83,7,1685.898522
84,10,1722.791506
85,81,1844.226091
86,60,2508.960074
87,9,1561.455127
88,53,2187.772875
89,8,2066.795825
90,49,1370.285942
91,47,1513.372129
92,6,1444.161030
93,47,1680.457143
94,18,2306.583358
95,50,2380.638840
96,85,2487.233089
97,75,2317.494997
98,23,1812.942365
99,36,2344.524541
100,14,2649.299216
