node,parent,time
1,93,763.248868
2,44,2407.564508
3,46,2299.975771
4,97,1907.251655
5,85,2503.009128
6,63,1208.593411
7,87,1492.344976
8,92,1272.106941
9,83,2046.601730
10,49,1673.767045
11,32,1437.132537
12,57,1971.523481
13,82,2652.861784
14,29,2456.579536
15,11,1550.203311
16,53,2130.692053
17,11,1552.393111
18,79,2052.298340
19,49,1684.974266
20,57,1934.519965
21,72,2095.132218
22,53,2199.582102
23,91,1431.522694
24,18,2233.637801
25,81,1188.861997
26,4,2324.314001
27,12,2108.011575
28,58,302.597092
29,7,2155.538010
30,85,2148.532134
31,42,1552.522904
32,47,1235.278629
33,13,2753.524588
34,7,1859.240057
35,20,2227.535323
36,84,2135.827598
37,5,2572.240623
38,84,2152.343742
39,68,2033.116983
40,69,1900.184725
41,46,2750.741394
42,67,1323.503254
43,83,2282.235126
44,73,2151.000676
45,32,1457.118662
46,83,2160.713429
47,28,873.946372
48,30,2575.658579
49,63,1253.172228
50,81,1738.431266
51,87,1400.724091
52,96,2422.984956
53,90,1875.000833
54,40,2003.770438
55,9,2344.160127
56,8,1692.746930
57,51,1730.772572
58,-1,0.000000
59,21,2245.996395
60,23,1776.847179
61,28,930.212420
62,23,1924.564274
63,1,1051.335660
64,69,1833.241985
65,97,2049.637272
66,4,2123.365051
67,28,603.444229
68,81,1544.256062
69,25,1535.863438
70,19,2276.975110
71,34,2697.870488
72,10,1943.418672
73,50,1918.256180
74,72,2158.123120
75,6,1582.825959
76,82,2731.774376
77,98,1793.878099
78,39,2384.874002
79,90,1822.646429
80,8,1710.614638
81,61,1137.383847
82,50,2253.015564
83,87,1746.678406
84,10,1813.802754
85,68,1697.660756
86,20,2089.945188
87,61,1254.351279
88,79,2081.978263
89,42,1503.924983
90,6,1457.920505
91,47,1239.887624
92,1,1065.801343
93,28,350.273082
94,88,2242.857100
95,50,2491.880003
96,39,2316.754075
97,92,1583.021799
98,91,1339.295873
99,36,2435.535790
100,29,2724.709338
