node,parent,time
1,92,1869.065029
2,50,2174.676831
3,46,2323.674071
4,97,2100.459607
5,68,2459.080927
6,49,1237.438094
7,87,1500.850236
8,92,1772.818152
9,51,1458.180962
10,63,1453.992476
11,21,2223.310428
12,7,1716.963633
13,82,2672.982369
14,29,2507.898184
15,17,2280.039563
16,53,2159.536737
17,21,2267.001158
18,79,2356.506396
19,75,1773.764932
20,87,1652.984723
21,10,1874.379203
22,16,2229.715081
23,77,2411.457389
24,38,2303.507458
25,61,1094.924290
26,4,2517.521953
27,20,1833.553270
28,58,302.597092
29,83,2206.856659
30,85,2111.522786
31,42,2249.615929
32,11,2425.164336
33,13,2773.645172
34,83,1916.495708
35,86,1949.466673
36,84,2190.944451
37,5,2528.312422
38,84,2207.460595
39,85,2032.204903
40,44,2218.210905
41,3,2774.461160
42,8,2020.596279
43,55,2299.125042
44,73,1811.471430
45,11,2593.315833
46,55,2184.411729
47,1,2298.261953
48,30,2538.649231
49,63,1190.363685
50,73,1758.551850
51,61,1116.483727
52,96,2422.072875
53,90,1903.845517
54,40,2321.796618
55,9,1755.739359
56,97,1992.343147
57,9,1557.945685
58,-1,0.000000
59,72,2011.208009
60,62,2182.078987
61,28,930.212420
62,57,2031.026016
63,28,988.527117
64,44,2161.227059
65,4,2247.636372
66,19,2270.880613
67,93,2629.292885
68,81,1553.274656
69,68,2013.679912
70,19,2365.765777
71,46,2723.088812
72,10,1723.644103
73,25,1578.726935
74,72,1938.348551
75,49,1539.685886
76,13,2775.807463
77,57,2029.220552
78,39,2383.961921
79,53,2126.854485
80,42,2251.734766
81,25,1146.402440
82,50,2273.136148
83,7,1770.533384
84,90,1868.919608
85,81,1660.651407
86,20,1808.409946
87,51,1262.856539
88,16,2217.674504
89,8,2189.147349
90,6,1486.765189
91,98,2583.211027
92,6,1566.512554
93,1,2282.040815
94,22,2363.360133
95,82,2518.444118
96,39,2315.841995
97,75,1776.229751
98,77,2483.802778
99,36,2490.652643
100,30,2755.216036
