node,parent,time
1,142,1117.258855
2,144,1654.433455
3,34,1918.407785
4,97,2254.895446
5,101,2214.361994
6,1,1514.111473
7,9,1140.307733
8,1,1541.796250
9,87,1090.058355
10,63,1869.139395
11,109,1923.638989
12,57,1348.060970
13,116,2259.473725
14,132,2046.401171
15,32,2003.377839
16,88,2405.084748
17,32,2012.523844
18,90,2298.532017
19,75,1928.200771
20,145,1308.962888
21,47,2014.530932
22,88,2465.542933
23,98,1654.210022
24,84,2348.092499
25,61,734.014366
26,80,2633.779923
27,57,1456.904112
28,105,862.471521
29,135,1765.410099
30,107,1812.646255
31,89,1565.374897
32,109,1723.345698
33,13,2360.136529
34,117,1469.995029
35,86,1605.444838
36,10,2310.330964
37,101,2246.017653
38,84,2347.716092
39,68,1681.225654
40,64,1458.843095
41,3,2369.194874
42,133,1451.930169
43,83,1928.280556
44,114,1524.210760
45,91,1755.978546
46,34,1781.231273
47,93,1443.173776
48,112,2178.435173
49,6,1561.185882
50,73,1398.151118
51,125,777.261580
52,96,2071.093627
53,134,2170.728322
54,64,1559.087464
55,9,1387.616752
56,42,1822.124712
57,51,1107.310061
58,-1,0.000000
59,74,2143.483845
60,150,1809.954501
61,108,569.302497
62,150,1658.956652
63,130,1403.674037
64,69,1378.394354
65,97,2397.281062
66,19,2425.316451
67,108,513.053413
68,81,1192.364733
69,25,1081.015807
70,19,2520.201615
71,14,2313.953035
72,113,1975.901107
73,81,1218.326203
74,47,2054.483845
75,92,1694.121724
76,13,2362.298820
77,7,1700.323804
78,96,2033.016983
79,90,2128.164492
80,89,1630.896081
81,25,785.492517
82,50,1912.735417
83,117,1392.723836
84,10,2009.175105
85,68,1345.769427
86,20,1464.388111
87,125,894.569225
88,134,2346.946980
89,133,1377.603760
90,6,1763.438567
91,131,1576.933859
92,130,1335.652757
93,28,910.147510
94,106,2484.179004
95,116,2151.624752
96,39,1964.862746
97,75,1930.665589
98,93,1546.274856
99,36,2610.039155
100,132,2301.674192
101,85,1715.352976
102,104,2649.608954
103,147,2416.032088
104,38,2503.154183
105,67,633.207481
106,49,1966.924714
107,85,1722.197374
108,58,232.692931
109,131,1602.329170
110,77,1736.226450
111,38,2631.900891
112,140,1708.306467
113,63,1706.700438
114,73,1404.669972
115,149,1730.725555
116,50,1656.220876
117,145,1166.571233
118,80,2440.029568
119,122,2059.369196
120,149,1722.545253
121,107,1797.197374
122,42,1512.741352
123,55,1829.586208
124,56,2593.225224
125,61,753.555041
126,82,2063.483551
127,21,2255.821214
128,55,2098.769338
129,66,2694.050521
130,142,1050.380957
131,28,1144.175266
132,135,1795.670239
133,148,1145.737419
134,49,2123.346891
135,140,1327.733278
136,46,2076.312618
137,106,2219.995850
138,148,1281.651889
139,92,1691.496824
140,51,1145.568517
141,74,2124.068326
142,67,690.820114
143,56,1912.860593
144,69,1444.685988
145,87,917.569225
146,147,2429.641187
147,39,2007.967142
148,105,814.811445
149,7,1451.095442
150,20,1503.634407
