node,parent,time
1,111,2232.456232
2,161,982.667834
3,180,2116.183665
4,99,1653.276319
5,139,2148.590865
6,151,1035.665140
7,26,2308.874579
8,155,1562.797218
9,138,1957.630925
10,175,1076.256480
11,48,1928.770425
12,93,1449.129176
13,177,1595.776705
14,99,1401.601626
15,13,1830.118336
16,179,1876.224473
17,155,1859.591690
18,49,1342.187588
19,10,1234.145682
20,160,1880.939537
21,140,1547.888423
22,75,1470.111089
23,2,1332.148878
24,46,1981.133429
25,17,1961.184013
26,61,1938.133429
27,147,1902.049271
28,83,2154.599613
29,110,1441.274789
30,161,1047.186907
31,65,1474.001742
32,136,2009.678336
33,36,1183.722163
34,143,2098.694759
35,77,953.597706
36,192,1018.891947
37,184,1639.723335
38,72,2107.180717
39,83,2059.702955
40,12,1673.329979
41,167,1122.767097
42,186,1919.072968
43,105,2303.626957
44,66,1749.314626
45,33,1290.291389
46,18,1655.532446
47,31,1560.926997
48,119,1692.787375
49,149,1235.407440
50,168,1610.899784
51,63,2029.544288
52,11,1955.973366
53,111,2201.203696
54,6,1144.683487
55,47,1830.541537
56,178,2230.198476
57,36,1061.341918
58,146,2266.211404
59,69,2126.831580
60,128,317.494447
61,29,1766.654568
62,54,1603.033790
63,179,1907.245474
64,20,1905.678171
65,80,1214.585089
66,92,1558.975455
67,47,1727.759249
68,181,1495.454738
69,74,1655.807164
70,23,1668.863891
71,72,2044.710973
72,185,1792.512638
73,189,2126.189753
74,100,1297.856050
75,6,1303.530778
76,144,1772.911463
77,158,431.328618
78,138,2028.075941
79,13,1725.318204
80,151,957.857607
81,33,1300.722163
82,9,2137.057790
83,54,1628.419986
84,19,1955.589373
85,40,1979.527628
86,50,1922.227585
87,96,2106.920617
88,107,2253.712614
89,167,1321.458991
90,22,2013.781026
91,150,1536.613093
92,175,1143.194262
93,149,1065.937318
94,150,1661.587361
95,173,1675.740680
96,165,1824.693757
97,81,1420.938634
98,129,2125.699495
99,106,1156.275312
100,36,1178.001972
101,60,498.248424
102,169,2109.066195
103,146,1920.957493
104,10,1554.956804
105,86,2246.381869
106,101,895.101041
107,109,1161.458980
108,100,1572.412925
109,187,1111.209602
110,49,1367.864981
111,46,2103.751143
112,157,1353.988468
113,94,2264.942149
114,129,2072.001679
115,117,2194.890514
116,153,1834.890423
117,121,2181.852109
118,16,1999.545193
119,92,1313.206026
120,31,1672.730200
121,172,1789.230154
122,119,1900.760279
123,15,1867.561626
124,29,1861.905269
125,35,1181.204824
126,165,1985.474352
127,157,1462.831610
128,193,47.675990
129,134,1770.960154
130,185,1928.090503
131,156,1606.299681
132,12,1863.435826
133,94,2351.146640
134,75,1470.458906
135,120,1965.745558
136,61,1829.939637
137,86,2242.859773
138,184,1840.969020
139,50,1813.100179
140,30,1489.879803
141,103,2371.744583
142,74,1578.371647
143,22,1938.813553
144,23,1541.686464
145,40,2072.700734
146,134,1781.695151
147,163,1575.502184
148,39,2338.731628
149,106,942.175450
150,35,1415.122353
151,128,769.347660
152,196,2202.968152
153,66,1579.199203
154,140,1593.465516
155,109,1408.768000
156,57,1239.341918
157,187,1113.237560
158,128,350.273082
159,121,1940.094331
160,177,1656.489097
161,158,675.314617
162,160,1807.542068
163,93,1154.622154
164,30,1454.339213
165,104,1702.133568
166,104,1771.070200
167,77,822.227582
168,2,1323.814430
169,181,1535.800113
170,48,1933.263985
171,103,2321.962481
172,110,1637.516608
173,35,1236.599473
174,172,1852.221056
175,192,1065.960850
176,91,2364.258549
177,65,1465.465539
178,196,2164.891508
179,190,1716.112012
180,156,1520.142559
181,125,1232.682974
182,173,1927.999502
183,107,1431.142128
184,18,1502.428033
185,168,1477.219124
186,120,1828.155423
187,151,915.720472
188,44,1807.863750
189,180,1773.434880
190,93,1351.386088
191,163,1941.324766
192,60,707.491883
193,-1,0.000000
194,63,2078.093359
195,91,2168.658187
196,139,2096.737271
197,45,1344.853281
198,147,2005.196261
199,26,2095.743708
200,114,2340.169537
