node,parent,time
1,25,2554.368139
2,25,2532.164030
3,16,2310.257427
4,116,1929.454473
5,13,1930.581100
6,12,2444.193474
7,12,2425.884094
8,17,2027.108412
9,14,1946.767266
10,24,2350.306497
11,103,2326.295088
12,26,2061.705566
13,137,1648.457013
14,35,1414.036565
15,103,2166.281041
16,17,1798.318954
17,34,1696.005709
18,34,1746.360053
19,26,1849.884822
20,27,1983.048519
21,23,2135.236493
22,23,2131.079887
23,28,1957.895015
24,27,1819.689875
25,37,1707.677523
26,37,1676.665308
27,36,1787.689875
28,33,1925.895015
29,31,2120.010823
30,33,1944.087838
31,30,2000.390591
32,30,2036.011719
33,36,1767.068065
34,35,1075.250524
35,145,1005.036565
36,38,1474.568492
37,38,1375.393006
38,145,796.821489
39,155,1238.509085
40,45,2294.899970
41,43,1888.811137
42,39,1725.953441
43,42,1821.394522
44,42,1968.277604
45,44,2173.277604
46,39,1831.206310
47,46,1989.206310
48,44,2182.739722
49,48,2301.010597
50,47,2203.668427
51,43,2023.483611
52,46,1894.206310
53,52,1957.206310
54,51,2086.483611
55,47,2229.832576
56,51,2264.109878
57,53,2127.303341
58,52,2020.206310
59,56,2420.084234
60,154,1015.850905
61,60,1086.512068
62,63,1673.174059
63,60,1570.860815
64,69,2190.367091
65,66,1076.261590
66,164,1005.600426
67,69,2324.453374
68,72,2323.178227
69,74,1898.324286
70,75,1745.812076
71,72,2361.228865
72,76,2185.294218
73,75,1791.708150
74,70,1837.398101
75,81,1628.966023
76,74,2000.140228
77,73,1976.862140
78,73,2149.955272
79,80,2212.140228
80,76,2031.140228
81,66,1597.966023
82,79,2385.878537
83,84,2375.764091
84,80,2312.764091
85,84,2423.072748
86,81,1919.145101
87,65,1486.261590
88,66,1414.600426
89,81,1882.978303
90,88,1902.044782
91,86,2316.889994
92,86,2337.812033
93,89,2195.274637
94,87,1793.261590
95,87,1830.082764
96,92,2456.812033
97,92,2487.812033
98,99,2133.644568
99,88,2031.331324
100,196,1834.508634
101,89,2586.786516
102,93,2609.106729
103,28,2066.016391
104,41,2181.310710
105,53,2322.030925
106,111,2003.756748
107,111,1972.760221
108,208,1949.051518
109,122,2169.364942
110,122,2100.049194
111,126,1853.743415
112,115,1825.079395
113,123,1774.675581
114,131,1774.950637
115,127,1707.079395
116,127,1676.043740
117,128,1659.559772
118,141,1523.160288
119,141,1454.041465
120,126,1533.537592
121,130,1469.896336
122,131,1483.318296
123,130,1411.880873
124,129,1069.380059
125,128,1464.032615
126,134,1422.519575
127,134,1391.519575
128,135,1425.019797
129,132,1030.380059
130,142,1372.880873
131,142,1341.868658
132,146,998.380059
133,135,1405.974588
134,136,1359.519575
135,136,1296.202096
136,209,1239.899343
137,209,1219.792809
138,146,905.292912
139,140,1110.475027
140,147,1040.261068
141,148,698.866651
142,149,1040.596356
143,144,1045.818086
144,157,975.604128
145,150,525.084484
146,151,393.354439
147,148,423.530171
148,151,328.089089
149,150,608.462118
150,152,403.462118
151,159,265.089089
152,159,189.000000
153,154,678.907545
154,161,560.636670
155,145,753.863854
156,-1,0.000000
157,163,359.097031
158,157,422.097031
159,156,63.000000
160,159,268.000000
161,160,331.000000
162,160,482.462118
163,159,233.097031
164,161,486.974357
165,163,885.548562
166,170,1315.783420
167,168,902.542528
168,158,800.229283
169,210,817.243679
170,163,1033.659334
171,166,1622.783420
172,173,1009.859884
173,164,974.974357
174,167,1209.542528
175,168,1107.229283
176,173,1027.747456
177,210,1009.283758
178,169,1044.393409
179,175,1198.815308
180,175,1224.075336
181,169,1077.743199
182,177,1048.283758
183,176,1114.747456
184,177,1079.283758
185,181,1108.743199
186,180,1255.075336
187,176,1145.747456
188,183,1187.314666
189,182,1177.101458
190,183,1263.747456
191,182,1237.455637
192,167,1794.473579
193,179,1825.369376
194,180,1539.988298
195,186,1557.313652
196,187,1546.453084
197,187,1576.971296
198,184,1539.581487
199,200,2081.790610
200,179,2011.576651
201,184,1690.933984
202,201,1721.933984
203,186,1846.562445
204,195,1864.313652
205,200,2174.269613
206,202,1839.933984
207,201,1871.933984
208,137,1461.408206
209,149,842.310359
210,160,510.243679
211,110,2336.449278
212,118,1929.204620
213,231,1983.426216
214,215,2631.747430
215,229,2561.086266
216,217,1811.833448
217,119,1780.833448
218,313,2030.075362
219,230,2112.429447
220,119,1693.768393
221,118,1674.064231
222,313,1720.905673
223,228,2517.359309
224,228,2448.629895
225,232,1548.328081
