node,parent,time
1,25,2554.368139
2,25,2532.164030
3,16,2310.257427
4,116,1565.066249
5,13,1566.192875
6,12,2444.193474
7,12,2425.884094
8,17,2027.108412
9,14,1946.767266
10,24,2350.306497
11,103,2326.295088
12,26,2061.705566
13,137,1284.068789
14,35,1414.036565
15,103,2166.281041
16,17,1798.318954
17,34,1696.005709
18,34,1746.360053
19,26,1849.884822
20,27,1983.048519
21,23,2135.236493
22,23,2131.079887
23,28,1957.895015
24,27,1819.689875
25,37,1707.677523
26,37,1676.665308
27,36,1787.689875
28,33,1925.895015
29,31,2120.010823
30,33,1944.087838
31,30,2000.390591
32,30,2036.011719
33,36,1767.068065
34,35,1075.250524
35,145,1005.036565
36,38,1474.568492
37,38,1375.393006
38,145,796.821489
39,155,1238.509085
40,45,2294.899970
41,43,1888.811137
42,39,1725.953441
43,42,1821.394522
44,42,1968.277604
45,44,2173.277604
46,39,1831.206310
47,46,1989.206310
48,44,2182.739722
49,48,2301.010597
50,47,2203.668427
51,43,2023.483611
52,46,1894.206310
53,52,1957.206310
54,51,2086.483611
55,47,2229.832576
56,51,2264.109878
57,53,2127.303341
58,52,2020.206310
59,56,2420.084234
60,154,1015.850905
61,60,1086.512068
62,63,1673.174059
63,60,1570.860815
64,69,2190.367091
65,66,1076.261590
66,164,1005.600426
67,69,2324.453374
68,72,2323.178227
69,74,1898.324286
70,75,1745.812076
71,68,2375.951326
72,76,2185.294218
73,75,1791.708150
74,70,1837.398101
75,81,1628.966023
76,74,2000.140228
77,73,1976.862140
78,72,2366.826584
79,80,2212.140228
80,76,2031.140228
81,66,1597.966023
82,79,2385.878537
83,84,2375.764091
84,80,2312.764091
85,84,2423.072748
86,81,1919.145101
87,65,1486.261590
88,66,1414.600426
89,81,1882.978303
90,88,1902.044782
91,86,2316.889994
92,86,2337.812033
93,89,2195.274637
94,87,1793.261590
95,87,1830.082764
96,92,2456.812033
97,92,2487.812033
98,99,2133.644568
99,88,2031.331324
100,196,2093.118117
101,89,2586.786516
102,93,2609.106729
103,28,2066.016391
104,41,2181.310710
105,53,2322.030925
106,111,1639.368524
107,111,1608.371996
108,208,1577.457184
109,122,2169.364942
110,122,2100.049194
111,126,1489.355191
112,115,1460.691171
113,123,1774.675581
114,131,1774.950637
115,127,1342.691171
116,127,1311.655515
117,128,1295.171548
118,141,1523.160288
119,141,1454.041465
120,126,1169.149368
121,130,1469.896336
122,131,1483.318296
123,130,1411.880873
124,129,1069.380059
125,128,1099.644391
126,134,1058.131351
127,134,1027.131351
128,135,1060.631572
129,132,1030.380059
130,142,1372.880873
131,142,1341.868658
132,146,998.380059
133,135,1041.586364
134,136,995.131351
135,136,931.813872
136,209,875.511119
137,209,855.404585
138,146,905.292912
139,140,1110.475027
140,147,1040.261068
141,148,698.866651
142,149,1040.596356
143,144,1045.818086
144,157,975.604128
145,150,525.084484
146,151,393.354439
147,148,423.530171
148,151,328.089089
149,150,608.462118
150,152,403.462118
151,159,265.089089
152,159,189.000000
153,154,678.907545
154,161,560.636670
155,145,753.863854
156,-1,0.000000
157,163,359.097031
158,157,422.097031
159,156,63.000000
160,159,268.000000
161,160,331.000000
162,160,482.462118
163,159,233.097031
164,161,486.974357
165,159,885.192192
166,278,1772.353998
167,168,652.164123
168,163,549.850879
169,158,1028.687503
170,166,2054.478084
171,179,1521.461336
172,169,1222.669460
173,169,1253.298277
174,167,959.164123
175,168,856.850879
176,173,1306.071376
177,162,1168.760158
178,167,1039.107272
179,175,948.436904
180,179,987.436904
181,178,1078.107272
182,177,1207.760158
183,173,1373.838727
184,177,1238.760158
185,178,1109.107272
186,175,998.300516
187,183,1404.838727
188,172,1441.010936
189,172,1436.196976
190,188,1520.440150
191,181,1298.645250
192,193,1667.582826
193,180,1597.368867
194,186,1283.312797
195,186,1300.538833
196,183,1805.062566
197,188,1835.940044
198,180,1552.060672
199,200,1903.054398
200,195,1832.840439
201,181,1807.223175
202,191,1832.575957
203,194,1590.312797
204,195,1607.538833
205,200,1995.533402
206,191,1933.532642
207,185,1964.332388
208,135,1089.813872
209,152,477.922135
210,162,690.865573
211,110,2336.449278
212,109,2318.082795
213,220,2066.596772
214,226,2635.236118
215,233,2564.796817
216,217,1820.753611
217,118,1789.753611
218,313,2042.049403
219,222,2131.125868
220,119,1693.768393
221,118,1674.064231
222,313,1732.879713
223,235,2516.880202
224,235,2447.271704
225,232,1557.272486
226,234,1870.111291
